Incidence Rate Report for New York by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New York(6,10)",36000,***,131.3,130.3,132.2,15765,stable,0.9,-0.7,2.6
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Hamilton County(6,10)",36041,***,177.8,119.2,262.3,8,stable,7.8,-30.2,66.7
"Wyoming County(6,10)",36121,***,166.6,143.3,192.7,40,stable,6.2,-8.9,23.9
"Albany County(6,10)",36001,***,149,141,157.3,281,stable,3.8,-3.6,11.7
"Erie County(6,10)",36029,***,147.9,143.4,152.5,899,stable,0.8,-2.6,4.3
"Monroe County(6,10)",36055,***,146.9,141.9,152.1,690,stable,-0.5,-4.2,3.4
"Wayne County(6,10)",36117,***,146.9,133,162,87,stable,4.5,-7.7,18.4
"Nassau County(6,10)",36059,***,146.4,142.7,150.2,1295,stable,0.8,-2.9,4.5
"Greene County(6,10)",36039,***,143.1,124.3,164.3,47,stable,-9.3,-21.9,5.5
"Otsego County(6,10)",36077,***,142.7,125.9,161.3,59,stable,-2.9,-19.5,17
"Warren County(6,10)",36113,***,142.5,127,159.5,68,stable,5.5,-6.3,18.9
"Rockland County(6,10)",36087,***,142.1,134.3,150.1,269,rising,1.8,0.2,3.4
"Westchester County(6,10)",36119,***,142,137.7,146.4,878,stable,0.5,-2.2,3.3
"Genesee County(6,10)",36037,***,141.2,124.7,159.5,56,stable,0.6,-9.2,11.6
"Schenectady County(6,10)",36093,***,141.1,130.4,152.5,137,stable,3.9,-1.6,9.7
"Onondaga County(6,10)",36067,***,140.8,134.6,147.2,416,stable,0.9,-3.9,6
"Putnam County(6,10)",36079,***,140.3,127.2,154.5,89,stable,1.5,-6.4,10.2
"Suffolk County(6,10)",36103,***,139.4,136,142.9,1316,stable,-1.8,-4.6,1
"Dutchess County(6,10)",36027,***,138.4,130.8,146.3,262,stable,4.7,-0.6,10.2
"Broome County(6,10)",36007,***,138.2,128.8,148.1,178,stable,3.8,-1.6,9.5
"New York County(6,10)",36061,***,138,134.6,141.4,1335,stable,1.8,-2.1,5.7
"Cattaraugus County(6,10)",36009,***,137.4,123,153.2,71,stable,-7.1,-22.4,11.2
"Cortland County(6,10)",36023,***,137.3,118,159,39,falling,-12.5,-19.3,-5.1
"Livingston County(6,10)",36051,***,137.1,120.6,155.4,54,stable,4.6,-14.3,27.7
"Fulton County(6,10)",36035,***,135.8,118.8,154.6,50,stable,4.4,-0.7,9.7
"Richmond County(6,10)",36085,***,134.8,128.8,141,396,stable,0.1,-2.3,2.5
"Saratoga County(6,10)",36091,***,134.2,125.7,143.2,195,stable,0.9,-4,6
"Niagara County(6,10)",36063,***,133.9,125.3,143,195,stable,1.8,-7.1,11.7
"Chenango County(6,10)",36017,***,133.7,116,153.5,45,stable,4.4,-14.2,26.9
"Orange County(6,10)",36071,***,131.8,124.7,139.1,273,stable,2.8,-5.6,11.9
"Rensselaer County(6,10)",36083,***,131.6,121.4,142.5,132,stable,3.4,-0.1,7
"Yates County(6,10)",36123,***,131,106.2,160.1,22,stable,-1.8,-8.8,5.8
"Chautauqua County(6,10)",36013,***,129.1,118.1,140.9,115,stable,5,-2.8,13.4
"Herkimer County(6,10)",36043,***,128.5,113.1,145.6,56,stable,5.7,-1.3,13.2
"Tompkins County(6,10)",36109,***,127.2,113.1,142.6,64,stable,-0.2,-9.7,10.3
"Lewis County(6,10)",36049,***,126.9,103.8,154,22,stable,8.8,-22.7,53.2
"Tioga County(6,10)",36107,***,126.6,109.7,145.7,43,stable,7.2,-9.3,26.7
"Oneida County(6,10)",36065,***,126.6,118.3,135.4,192,rising,5.9,0.2,12
"Ontario County(6,10)",36069,***,126,114.4,138.5,94,stable,3.9,-2.1,10.3
"Allegany County(6,10)",36003,***,125.8,107.4,146.5,37,stable,-9.2,-20.4,3.6
"Chemung County(6,10)",36015,***,124.3,111.4,138.4,74,stable,-1.6,-8.1,5.5
"Seneca County(6,10)",36099,***,124.2,102.8,148.9,27,stable,-3.5,-14.7,9.2
"Madison County(6,10)",36053,***,123.8,109.3,139.9,57,stable,0.4,-8.3,9.8
"Columbia County(6,10)",36021,***,123.8,108.8,140.4,56,stable,5.7,-3,15.3
"Ulster County(6,10)",36111,***,123.6,114.6,133.2,153,stable,-0.1,-12.8,14.4
"Oswego County(6,10)",36075,***,122.9,111.5,135.3,89,stable,7.8,-4.4,21.5
"Essex County(6,10)",36031,***,120.9,102.5,142.2,35,stable,9.2,-5.7,26.4
"Montgomery County(6,10)",36057,***,120.8,104.3,139.2,42,stable,-1.3,-17,17.4
"Jefferson County(6,10)",36045,***,120.1,107.7,133.6,70,stable,2.5,-10.6,17.5
"Kings County(6,10)",36047,***,119,116.4,121.6,1716,stable,0,-3.9,4.1
"Schoharie County(6,10)",36095,***,117.9,97.7,141.5,26,stable,-2.3,-34.9,46.8
"Clinton County(6,10)",36019,***,114.8,101.4,129.6,56,stable,1.4,-16,22.5
