Incidence Rate Report for New York by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New York(6,10)",36000,***,60.2,59.8,60.7,13737,stable,-1.6,-3.2,0
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Oswego County(6,10)",36075,***,95.5,88.2,103.1,136,stable,0.1,-2.1,2.4
"Clinton County(6,10)",36019,***,92.9,84.5,101.9,92,stable,-5.7,-14.5,4
"Jefferson County(6,10)",36045,***,86.3,78.7,94.4,98,stable,4.2,-2.2,11
"Rensselaer County(6,10)",36083,***,85.8,79.9,92,166,stable,0.8,-4.7,6.6
"Fulton County(6,10)",36035,***,85.3,76.1,95.4,64,stable,3.4,-6.4,14.3
"Orleans County(6,10)",36073,***,85,74,97.2,45,stable,-2.8,-19.5,17.3
"Greene County(6,10)",36039,***,83.5,74.2,93.8,61,stable,-2,-10.9,7.8
"Hamilton County(6,10)",36041,***,83.4,58.2,120.4,8,stable,7.2,-33.4,72.4
"Niagara County(6,10)",36063,***,82.5,77.9,87.5,240,stable,1.8,-10.1,15.2
"Seneca County(6,10)",36099,***,80.8,69.5,93.6,38,stable,-0.8,-18.6,20.9
"Washington County(6,10)",36115,***,80.2,71.6,89.5,66,stable,-3.9,-9.5,2.1
"Columbia County(6,10)",36021,***,79.9,72,88.6,78,stable,-2.1,-12.1,9.2
"Cayuga County(6,10)",36011,***,79.6,72,87.9,83,stable,6.8,-7.6,23.5
"Warren County(6,10)",36113,***,79.6,71.7,88.3,77,rising,7,5.1,8.9
"Allegany County(6,10)",36003,***,78.8,69.1,89.5,49,stable,-4.5,-18.4,11.8
"Herkimer County(6,10)",36043,***,78.7,70.5,87.6,71,stable,2.5,-0.5,5.6
"Montgomery County(6,10)",36057,***,78.3,68.9,88.8,53,stable,-5.8,-19.8,10.7
"Steuben County(6,10)",36101,***,78.2,71.5,85.4,104,stable,-0.6,-3.5,2.3
"Oneida County(6,10)",36065,***,78,73.6,82.6,242,stable,-2.2,-6,1.7
"Franklin County(6,10)",36033,***,77.8,67.9,88.7,46,stable,4,-10.3,20.6
"Cortland County(6,10)",36023,***,76.5,66.5,87.6,43,stable,-3.2,-13.2,8
"Onondaga County(6,10)",36067,***,76.1,72.9,79.5,433,stable,0.4,-2.9,3.8
"Madison County(6,10)",36053,***,75.7,67.8,84.2,70,stable,4.5,-2.2,11.8
"Genesee County(6,10)",36037,***,75.2,66.8,84.4,60,stable,-3.1,-18.2,14.7
"Ontario County(6,10)",36069,***,74.7,68.5,81.4,111,stable,2.2,-14.5,22.1
"Schuyler County(6,10)",36097,***,74.7,60.8,91.4,21,stable,4.3,-24.3,43.9
"Erie County(6,10)",36029,***,74.6,72.4,76.9,890,stable,-2.1,-4.9,0.8
"Wayne County(6,10)",36117,***,74,67.1,81.4,88,stable,0.2,-9.9,11.5
"Cattaraugus County(6,10)",36009,***,73.9,66.6,81.9,78,stable,-6,-18,7.9
"Chemung County(6,10)",36015,***,73.1,66.2,80.6,85,stable,-4.4,-14,6.2
"Wyoming County(6,10)",36121,***,72.9,62.5,84.5,37,stable,-0.2,-16.1,18.7
"St. Lawrence County(6,10)",36089,***,72.6,66.2,79.4,99,stable,-3.4,-13.6,8
"Albany County(6,10)",36001,***,72.2,68.3,76.3,263,stable,-0.5,-8.8,8.5
"Chenango County(6,10)",36017,***,71.5,62.8,81.2,51,stable,-5.2,-15.8,6.7
"Essex County(6,10)",36031,***,71.2,62,81.7,44,stable,7.3,-18,40.5
"Saratoga County(6,10)",36091,***,70.8,66.3,75.5,195,rising,6,1.2,10.9
"Livingston County(6,10)",36051,***,69.5,61.4,78.5,55,stable,6.4,-1.7,15.2
"Schenectady County(6,10)",36093,***,69.4,64.1,74.9,136,stable,0.6,-14.4,18.1
"Sullivan County(6,10)",36105,***,68.7,61.5,76.6,69,stable,1.3,-6.5,9.7
"Ulster County(6,10)",36111,***,68.6,64,73.6,167,stable,1.3,-8,11.6
"Yates County(6,10)",36123,***,68.2,56.4,82.1,24,stable,-2.7,-11.3,6.7
"Chautauqua County(6,10)",36013,***,67.9,62.5,73.6,123,stable,0.7,-11.2,14.2
"Delaware County(6,10)",36025,***,67.6,59.4,76.7,52,stable,2.5,-1.6,6.7
"Suffolk County(6,10)",36103,***,66.7,65,68.5,1194,stable,-1.9,-4.7,1
"Orange County(6,10)",36071,***,66.6,62.9,70.5,252,stable,-3.3,-12.5,6.9
"Schoharie County(6,10)",36095,***,65,54.8,76.9,30,stable,9.4,-12.9,37.4
"Richmond County(6,10)",36085,***,64.7,61.7,67.9,352,stable,2.1,-3.1,7.6
"Tioga County(6,10)",36107,***,64.3,56,73.5,45,stable,-0.6,-8,7.3
"Broome County(6,10)",36007,***,63.8,59.4,68.4,166,stable,1.9,-5.9,10.3
"Putnam County(6,10)",36079,***,62.9,56.5,69.8,75,stable,-1.3,-15.3,15
