Incidence Rate Report for North Carolina by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"North Carolina(6,10)",37000,***,131,129.7,132.3,7854,stable,0.4,-1.4,2.1
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Camden County(6,10)",37029,***,154.1,113.4,205.7,10,stable,13.7,-26.1,74.8
"Durham County(6,10)",37063,***,151.7,142.9,160.9,232,stable,-1.9,-10.4,7.3
"Orange County(6,10)",37135,***,148.5,135.9,161.9,109,stable,3.1,-13,22.2
"Davie County(6,10)",37059,***,146.9,127.2,169,43,stable,11.7,-3.8,29.8
"Pamlico County(6,10)",37137,***,146.5,111.1,191.1,15,stable,-1.6,-13.7,12.2
"Martin County(6,10)",37117,***,145.7,120.7,174.8,27,stable,5.9,-13.8,30
"Iredell County(6,10)",37097,***,145.5,135,156.6,147,stable,-4.3,-17.2,10.7
"Franklin County(6,10)",37069,***,144.7,128.2,163,58,stable,3,-5.6,12.4
"Pasquotank County(6,10)",37139,***,144.4,123.6,167.9,37,stable,9,-11.6,34.2
"Guilford County(6,10)",37081,***,144.2,138.1,150.5,436,stable,-2,-9.3,5.8
"Cherokee County(6,10)",37039,***,143.7,119.3,172.3,31,stable,-1.5,-10.3,8.1
"Buncombe County(6,10)",37021,***,141.5,133.3,150.1,241,stable,-3.8,-9.3,2.1
"Wake County(6,10)",37183,***,141.4,136.6,146.2,708,stable,-0.4,-3.7,2.9
"Alamance County(6,10)",37001,***,141.4,131,152.3,145,stable,0.5,-1.8,2.9
"Forsyth County(6,10)",37067,***,140.9,133.8,148.2,314,stable,-1.5,-7.4,4.8
"Avery County(6,10)",37011,***,139.2,108.9,176.4,16,stable,0.8,-30.7,46.5
"Watauga County(6,10)",37189,***,138.9,118.5,161.9,37,stable,4.5,-16.9,31.5
"Cabarrus County(6,10)",37025,***,138.2,128.3,148.7,147,stable,4,-0.9,9.2
"Mecklenburg County(6,10)",37119,***,138.2,133.5,142.9,701,stable,0.2,-4.7,5.4
"Bertie County(6,10)",37015,***,137.9,110.2,171,20,stable,-12.7,-37.4,21.7
"Anson County(6,10)",37007,***,137,111.4,167.1,22,stable,-10.8,-31.7,16.6
"Chowan County(6,10)",37041,***,136.7,104,177,14,stable,7.2,-27.2,57.9
"Scotland County(6,10)",37165,***,136.6,115.2,161,31,falling,-10.8,-16.1,-5.1
"Rockingham County(6,10)",37157,***,136.5,123.5,150.6,88,stable,-4.1,-12.1,4.6
"Cleveland County(6,10)",37045,***,136.2,123.6,149.8,91,stable,0.6,-6.9,8.6
"Northampton County(6,10)",37131,***,135.6,109.4,166.8,23,stable,-3.2,-29.4,32.5
"Halifax County(6,10)",37083,***,135,118.2,153.7,52,stable,0.4,-14,17.1
"Caldwell County(6,10)",37027,***,134.5,120.8,149.5,75,stable,0,-17.7,21.6
"Swain County(6,10)",37173,***,134.5,103.3,173,13,stable,-13.2,-31.7,10.3
"Mitchell County(6,10)",37121,***,134.5,104,172.1,15,stable,2.1,-26.4,41.6
"Onslow County(6,10)",37133,***,132.3,120.3,145.1,92,stable,0.3,-6.6,7.7
"Tyrrell County(6,10)",37177,***,132.2,75.6,219.3,4,stable,-6.5,-31.3,27.4
"Nash County(6,10)",37127,***,131.1,118.1,145.1,81,stable,5,-10.7,23.6
"Chatham County(6,10)",37037,***,130.9,116.5,146.7,70,stable,3.7,-12.5,22.9
"Washington County(6,10)",37187,***,130.9,97.9,172.2,12,stable,-5.4,-18.5,9.9
"Pitt County(6,10)",37147,***,130.7,120,142,116,stable,4.7,-6.1,16.6
"Lenoir County(6,10)",37107,***,130.6,114.9,147.9,56,stable,0.3,-17.4,21.7
"Richmond County(6,10)",37153,***,129.6,110.9,150.7,37,stable,-8.9,-23.5,8.6
"Catawba County(6,10)",37035,***,129.5,119.4,140.2,129,stable,1.9,-8,12.8
"New Hanover County(6,10)",37129,***,129.1,120.3,138.4,170,stable,7.4,-1.7,17.4
"Union County(6,10)",37179,***,128.9,119.6,138.6,149,stable,4.1,-6.9,16.3
"Lincoln County(6,10)",37109,***,128.5,114.8,143.6,67,stable,2.6,-5.5,11.5
"Sampson County(6,10)",37163,***,128.5,112.8,145.9,51,rising,5.5,3.8,7.2
"Vance County(6,10)",37181,***,128.1,109.9,148.7,38,stable,-1.8,-12.1,9.7
"Macon County(6,10)",37113,***,128,108.2,150.9,37,stable,-1,-23.2,27.6
"Davidson County(6,10)",37057,***,128,118.4,138.2,138,stable,-2.5,-9.7,5.2
"Lee County(6,10)",37105,***,126.9,110.8,144.8,46,stable,-2.9,-14.1,9.8
"Surry County(6,10)",37171,***,126.9,113.5,141.6,69,stable,-0.9,-10.8,10.1
"Craven County(6,10)",37049,***,126.8,114.2,140.4,82,stable,1,-12,15.9
"Wilson County(6,10)",37195,***,126.6,113.1,141.4,68,stable,3.3,-10.1,18.8
"Randolph County(6,10)",37151,***,126.2,115.9,137.2,116,stable,-2.7,-9.2,4.3
"Carteret County(6,10)",37031,***,125.8,111.7,141.4,66,stable,2.8,-7.9,14.7
"Alleghany County(6,10)",37005,***,125.8,93.5,167.6,11,stable,-14.5,-36.8,15.7
"Gaston County(6,10)",37071,***,125.7,117.2,134.7,169,stable,2.8,-3.1,9.1
"Cumberland County(6,10)",37051,***,125.3,117.7,133.3,206,stable,4.3,-3.7,13
"Henderson County(6,10)",37089,***,125.3,114.3,137.3,112,stable,-2.2,-8.9,4.9
"Perquimans County(6,10)",37143,***,124.8,96.5,160.4,15,stable,-2.1,-27.2,31.7
"Beaufort County(6,10)",37013,***,124.1,107.2,143.1,44,stable,-5.9,-18.7,9
"Wayne County(6,10)",37191,***,123.6,112.5,135.5,95,stable,-3.4,-12.5,6.7
"Currituck County(6,10)",37053,***,123.1,99.2,151.5,20,stable,13.3,-4.5,34.5
"Edgecombe County(6,10)",37065,***,122.4,106.7,140,47,stable,-3.7,-16.8,11.4
"Haywood County(6,10)",37087,***,122.3,107.4,139,56,stable,5.1,-14.6,29.5
"Person County(6,10)",37145,***,122.1,103.3,143.5,32,stable,7.9,-12.4,32.9
"Graham County(6,10)",37075,***,122,84.6,172,8,stable,8.3,-15.4,38.6
"Alexander County(6,10)",37003,***,121.4,102.4,143.3,30,stable,-0.7,-21.7,26
"Pender County(6,10)",37141,***,121.4,105.2,139.4,43,stable,3.6,-21.4,36.5
"Ashe County(6,10)",37009,***,121.3,99.2,147.4,25,stable,10.1,-8.5,32.4
