Incidence Rate Report for North Carolina by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"North Carolina(6,10)",37000,***,69.2,68.5,69.9,7870,stable,-1.1,-2.5,0.4
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Pamlico County(6,10)",37137,***,91.7,74.3,113,22,stable,7,-31.3,66.5
"Yancey County(6,10)",37199,***,89.7,74.6,107.6,26,stable,-15.4,-38.5,16.3
"Onslow County(6,10)",37133,***,89.4,82.1,97.2,113,stable,-1.8,-14.5,12.8
"Scotland County(6,10)",37165,***,87,74.9,100.6,39,stable,4,-28.6,51.4
"Stokes County(6,10)",37169,***,86.6,76.9,97.4,60,stable,3.5,-6.1,14.1
"McDowell County(6,10)",37111,***,85.8,75.7,97,54,stable,-1.6,-14.2,12.8
"Rowan County(6,10)",37159,***,85.6,79.5,92,150,stable,-2.7,-13.6,9.6
"Rockingham County(6,10)",37157,***,85.4,78.4,92.9,113,stable,-0.6,-12.9,13.5
"Gaston County(6,10)",37071,***,85.2,80.1,90.6,215,stable,-2.9,-10,4.7
"Davidson County(6,10)",37057,***,85.2,79.7,91,183,stable,4.4,-1.8,10.9
"Burke County(6,10)",37023,***,85.2,78,92.9,106,stable,-1.1,-12.7,11.9
"Swain County(6,10)",37173,***,85,67.8,105.6,17,stable,-3.5,-22.2,19.7
"Randolph County(6,10)",37151,***,84.9,78.8,91.2,152,stable,2.2,-6.7,11.9
"Davie County(6,10)",37059,***,84.1,74,95.4,51,stable,-2.7,-19.9,18.2
"Caldwell County(6,10)",37027,***,83.9,76.3,92,94,stable,-1.3,-12.2,10.9
"Columbus County(6,10)",37047,***,83.8,74.8,93.7,65,stable,-2.3,-9.7,5.7
"Harnett County(6,10)",37085,***,83.2,75.8,91.2,96,stable,0.1,-10.9,12.5
"Sampson County(6,10)",37163,***,82,73.3,91.6,66,stable,1.8,-14,20.3
"Yadkin County(6,10)",37197,***,81.6,71,93.6,43,stable,-9.3,-23.4,7.4
"Haywood County(6,10)",37087,***,81.1,73.3,89.8,81,stable,4.3,-14.5,27.3
"Vance County(6,10)",37181,***,81.1,70.9,92.5,46,stable,1.9,-15.3,22.5
"Surry County(6,10)",37171,***,80.2,72.6,88.5,84,stable,-2.4,-14.3,11.1
"Stanly County(6,10)",37167,***,78.9,70.4,88.2,64,stable,-10.7,-20.2,0.1
"Granville County(6,10)",37077,***,78.9,69.8,88.9,57,stable,-4.5,-12.9,4.7
"Mitchell County(6,10)",37121,***,78.4,63.8,96.1,21,rising,10,2.4,18.1
"Anson County(6,10)",37007,***,78,64.9,93.2,26,stable,3,-16.6,27.3
"Craven County(6,10)",37049,***,77.4,70.8,84.5,103,stable,2,-7.3,12.2
"Rutherford County(6,10)",37161,***,77,69.4,85.5,76,stable,0.9,-8.6,11.4
"Johnston County(6,10)",37101,***,77,71.2,83.1,140,stable,1.2,-6.7,9.8
"Person County(6,10)",37145,***,76.6,66.1,88.4,40,stable,-6.8,-24.4,14.8
"Lenoir County(6,10)",37107,***,76.5,68,85.8,61,stable,2.5,-19.7,30.7
"Wilkes County(6,10)",37193,***,75.9,68.5,84.1,77,stable,0.9,-15.8,20.9
"Hoke County(6,10)",37093,***,75.9,63.6,89.8,30,stable,-13.6,-36.8,18.1
"Greene County(6,10)",37079,***,75.7,60.9,93.2,19,stable,1.2,-37.6,64
"Currituck County(6,10)",37053,***,75.7,62.1,91.5,23,stable,2.3,-6.4,11.7
"Lincoln County(6,10)",37109,***,75.1,67.3,83.5,73,stable,0.4,-6.6,7.9
"Wayne County(6,10)",37191,***,74.7,68.5,81.4,109,stable,-1.7,-23,25.5
"Tyrrell County(6,10)",37177,***,74.4,46.6,115.3,4,stable,-13.5,-57.8,77.4
"Beaufort County(6,10)",37013,***,74.4,65.5,84.4,54,stable,-8.2,-19.7,4.9
"Martin County(6,10)",37117,***,74.4,62,88.8,27,stable,13.6,-1.1,30.6
"Franklin County(6,10)",37069,***,73.8,65.2,83.3,56,stable,0.2,-4.7,5.5
"Robeson County(6,10)",37155,***,73.6,67.3,80.3,105,rising,2.2,0.1,4.4
"Cabarrus County(6,10)",37025,***,73.6,68.1,79.4,138,stable,-1.7,-8.7,5.9
"Alleghany County(6,10)",37005,***,73.5,57,94.6,14,stable,6.3,-27.1,55.1
"Cumberland County(6,10)",37051,***,73.2,68.7,77.8,212,stable,-3.2,-8.3,2.2
"Caswell County(6,10)",37033,***,73.1,60.7,87.8,25,stable,3.7,-27.8,48.9
"Halifax County(6,10)",37083,***,72.6,64.3,81.9,56,stable,4.6,-3.8,13.8
"Graham County(6,10)",37075,***,72.6,53.2,97.8,10,stable,17.8,-13,59.6
"Cherokee County(6,10)",37039,***,72.5,62.1,84.8,37,stable,-8,-34.5,29.4
"Nash County(6,10)",37127,***,72.1,65.3,79.4,86,stable,-1.1,-13.2,12.6
"Dare County(6,10)",37055,***,71.8,61.3,83.7,36,stable,11.4,-0.8,25
"Alexander County(6,10)",37003,***,71.3,61.1,82.8,37,stable,-4.8,-23.1,17.9
"Richmond County(6,10)",37153,***,71.2,61.8,81.7,43,stable,-14.3,-33.4,10.3
"Pasquotank County(6,10)",37139,***,71.2,60.6,83.1,33,stable,-2,-16.5,15.1
"Bladen County(6,10)",37017,***,71.1,60.8,82.8,36,stable,10.9,-2.8,26.6
"Jones County(6,10)",37103,***,71,53.9,92.9,12,stable,2.2,-7.8,13.3
"Forsyth County(6,10)",37067,***,70.8,67.2,74.6,291,stable,1.3,-1.8,4.6
"Cleveland County(6,10)",37045,***,70.7,64.3,77.7,91,stable,2.2,-14.4,22.1
"Alamance County(6,10)",37001,***,70.1,64.8,75.7,135,stable,1.2,-3.6,6.3
"Bertie County(6,10)",37015,***,70,57.2,85.4,21,stable,3.9,-23.5,41.2
"Pender County(6,10)",37141,***,69.8,61.4,79.2,52,stable,5,-2.5,13.1
"Macon County(6,10)",37113,***,69.6,60.6,79.9,45,falling,-7.5,-12.7,-2
"Montgomery County(6,10)",37123,***,69.5,58,82.8,27,stable,-1.5,-11.7,10
"Washington County(6,10)",37187,***,69.4,53.6,89.2,14,stable,13.9,-12,47.3
"Catawba County(6,10)",37035,***,69.4,64.1,74.9,135,stable,2.8,-10.4,17.9
"Lee County(6,10)",37105,***,69.2,60.7,78.6,49,stable,-1.7,-13.1,11.2
"Northampton County(6,10)",37131,***,68.7,56.5,83.3,24,stable,1,-18.1,24.6
"Hyde County(6,10)",37095,***,68.7,44.9,102.3,5,stable,-12.5,-29.9,9.3
"Carteret County(6,10)",37031,***,68.4,61.3,76.3,72,stable,-4.2,-16.3,9.7
"Edgecombe County(6,10)",37065,***,68.3,59.9,77.6,50,stable,3.7,-9.3,18.6
"Wilson County(6,10)",37195,***,68.2,61.2,75.9,70,stable,0.5,-7.1,8.8
"Duplin County(6,10)",37061,***,68.2,60,77.3,51,stable,-1,-15.4,15.7
