Incidence Rate Report for Oklahoma by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Oklahoma(6,10)",40000,***,118.4,116.3,120.5,2667,rising,1.3,0.2,2.4
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Tillman County(6,10)",40141,***,170.8,121.5,234.5,9,rising,48.2,1.7,115.9
"Major County(6,10)",40093,***,148,100.2,211.1,7,stable,-20.7,-61.3,62.5
"Blaine County(6,10)",40011,***,139.4,101.7,187.8,10,stable,-14.6,-31.8,6.9
"Grant County(6,10)",40053,***,137.1,84.5,214.1,5,stable,12,-23.4,63.8
"Nowata County(6,10)",40105,***,134.4,97.5,181.7,10,stable,-2.6,-45.2,72.9
"Dewey County(6,10)",40043,***,133.9,85,204.6,5,stable,22.2,-1.3,51.2
"Comanche County(6,10)",40031,***,133.4,120.6,147.2,82,stable,2.9,-2.3,8.3
"Alfalfa County(6,10)",40003,***,132.7,84.2,204,5,stable,29.8,-11.6,90.4
"McCurtain County(6,10)",40089,***,132.7,110.6,158,27,stable,6.6,-25,51.4
"Greer County(6,10)",40055,***,132.4,83.1,202.9,5,stable,0.6,-39.3,66.6
"Tulsa County(6,10)",40143,***,131.9,126.4,137.5,460,stable,1.1,-3.9,6.5
"Washington County(6,10)",40147,***,130.5,113.6,149.4,47,stable,-1.4,-18.8,19.8
"Creek County(6,10)",40037,***,129.5,114.9,145.5,61,stable,2.3,-11.2,17.7
"Beaver County(6,10)",40007,***,128.6,80,197.8,5,stable,27.6,-12,84.9
"Craig County(6,10)",40035,***,128.4,98.3,165.8,13,rising,18.5,5.4,33.1
"Oklahoma County(6,10)",40109,***,127.5,122.6,132.5,530,stable,4.6,-2.3,12.1
"Kingfisher County(6,10)",40073,***,127.2,95.9,165.7,12,stable,7.9,-23.5,52
"Kiowa County(6,10)",40075,***,127.1,89.1,177,8,stable,-4.2,-54.6,101.8
"Garfield County(6,10)",40047,***,126.8,110.7,144.7,48,stable,3.2,-13.6,23.2
"Canadian County(6,10)",40017,***,125.8,114,138.5,86,stable,-0.4,-5.1,4.6
"Woods County(6,10)",40151,***,125.4,78.7,188.6,5,stable,2,-37,65.2
"Cleveland County(6,10)",40027,***,123.6,115.3,132.4,172,stable,-5.7,-19.1,9.8
"McClain County(6,10)",40087,***,123.5,102.8,147.4,26,stable,11.3,-7.6,34.1
"Okfuskee County(6,10)",40107,***,121.6,87.8,164.9,9,stable,-10.2,-33.1,20.5
"Pottawatomie County(6,10)",40125,***,120.3,106,136.1,54,stable,-4.6,-28.7,27.6
"Cherokee County(6,10)",40021,***,119.3,101,139.9,33,stable,3.5,-7.7,16.1
"Okmulgee County(6,10)",40111,***,119.3,100.8,140.3,32,stable,-2.7,-18.9,16.7
"Rogers County(6,10)",40131,***,118.1,105.1,132.2,63,stable,-0.7,-12,12
"Stephens County(6,10)",40137,***,117.6,100.2,137.3,36,stable,-5.7,-25.7,19.8
"Carter County(6,10)",40019,***,117.5,100.4,136.8,36,stable,-1.3,-16.6,16.9
"Beckham County(6,10)",40009,***,117.5,90.6,149.8,14,stable,10.2,-12.4,38.7
"Ellis County(6,10)",40045,***,117.1,62.9,201,3,*,*,*,*
"Caddo County(6,10)",40015,***,117,94.1,144,20,rising,30.6,0.9,69
"Logan County(6,10)",40083,***,116.5,98.4,137,31,stable,-4.6,-29.7,29.4
"Payne County(6,10)",40119,***,116.4,100.5,134,41,stable,-10.5,-22.6,3.3
"Kay County(6,10)",40071,***,116.2,98.6,136.1,34,stable,3.1,-14.2,23.8
"Marshall County(6,10)",40095,***,115.8,88.6,149.5,14,stable,6.8,-26.5,55
"Delaware County(6,10)",40041,***,113.2,94.8,134.3,32,stable,1.5,-25.8,39
"Garvin County(6,10)",40049,***,111.2,89.8,136.5,20,stable,2.6,-30.7,51.8
"Woodward County(6,10)",40153,***,110.4,83.9,142.8,12,stable,8.8,-14.1,37.8
"Atoka County(6,10)",40005,***,109.3,79.5,147.4,10,stable,-7.1,-36.4,35.9
"Muskogee County(6,10)",40101,***,108.1,94.4,123.2,48,stable,3.5,-18.6,31.7
"Cotton County(6,10)",40033,***,105.7,64.1,166,4,stable,0.7,-19.9,26.7
"Bryan County(6,10)",40013,***,105.4,88,125.3,28,stable,-1.1,-16,16.4
"Wagoner County(6,10)",40145,***,104.1,90.9,118.8,48,stable,-2.2,-12.7,9.6
"Pushmataha County(6,10)",40127,***,102.8,72.5,142.7,9,stable,0.5,-33.1,51.2
"Texas County(6,10)",40139,***,101.6,75,134.5,10,stable,-8.1,-50.2,69.4
"Haskell County(6,10)",40061,***,101.4,71.3,140.4,8,stable,-14,-47.3,40.3
"Grady County(6,10)",40051,***,101.3,86.1,118.6,33,stable,6.2,-20.5,41.9
"Pittsburg County(6,10)",40121,***,101.2,85.5,119.2,32,stable,0,-21.3,27.1
"Pawnee County(6,10)",40117,***,101.1,75.5,133.2,11,stable,-3.5,-37.1,47.9
"Jefferson County(6,10)",40067,***,100.6,58.3,162.4,4,stable,59.7,-17.1,207.8
"Love County(6,10)",40085,***,99.5,66.7,143.9,6,stable,30.4,-29,139.5
"Choctaw County(6,10)",40023,***,99.5,72.9,133.1,10,stable,8.4,-21.5,49.7
"Coal County(6,10)",40029,***,99.2,58,160.2,4,stable,-6.4,-64.5,146.9
"Jackson County(6,10)",40065,***,98.4,76.9,124.2,15,stable,5.8,-36.4,76
"Mayes County(6,10)",40097,***,97.2,80.6,116.3,26,stable,-2.2,-9.3,5.4
"Washita County(6,10)",40149,***,96.3,66.3,135.7,7,stable,-1,-15.4,15.9
"McIntosh County(6,10)",40091,***,95.9,72.4,125.2,14,stable,5.3,-31.4,61.7
"Noble County(6,10)",40103,***,92.9,64.7,130.2,7,stable,-15.4,-36.7,13
"Osage County(6,10)",40113,***,92.6,77.7,109.7,30,stable,-5.9,-24.2,16.8
"Hughes County(6,10)",40063,***,90.5,65.4,123.7,9,stable,-11.7,-49.5,54.3
"Murray County(6,10)",40099,***,90.5,64.6,124.2,9,stable,7.9,-22.9,50.9
"Custer County(6,10)",40039,***,89.9,69.3,114.6,14,stable,-13.3,-29.9,7.2
"Seminole County(6,10)",40133,***,89.5,70.6,112.4,16,stable,3.4,-18,30.3
"Ottawa County(6,10)",40115,***,88.1,70.2,109.3,18,stable,2.5,-25.7,41.2
"Le Flore County(6,10)",40079,***,87.7,72.7,105,26,stable,11.1,-2.1,26
"Pontotoc County(6,10)",40123,***,86.8,70.4,106,21,stable,-11.9,-23.9,2
"Adair County(6,10)",40001,***,85.6,63.9,112.6,11,stable,16.4,-18.5,66.3
"Sequoyah County(6,10)",40135,***,84.4,68.9,102.4,22,stable,-4.3,-29.9,30.6
"Johnston County(6,10)",40069,***,78.6,52,115.2,6,stable,-4.5,-50.2,83
"Lincoln County(6,10)",40081,***,77.8,61.4,97.4,17,stable,1.4,-15.1,21.3
"Latimer County(6,10)",40077,***,69.6,43.6,106.3,5,stable,-1.1,-24.1,28.8
"Cimarron County(6,10)",40025,***,* ,*, *,3 or fewer,*,*,*,*
"Harmon County(6,10)",40057,***,* ,*, *,3 or fewer,*,*,*,*
"Harper County(6,10)",40059,***,* ,*, *,3 or fewer,*,*,*,*
"Roger Mills County(6,10)",40129,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:42 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
