Incidence Rate Report for Oklahoma by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Oklahoma(6,10)",40000,***,70.5,69.4,71.6,3111,stable,-1.8,-3.6,0
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Hughes County(6,10)",40063,***,101.6,82.5,124.4,20,stable,-2.1,-18.9,18.2
"Greer County(6,10)",40055,***,98.1,69.5,135.4,8,stable,8.8,-18.9,46.1
"Muskogee County(6,10)",40101,***,97.2,88.1,107.1,85,stable,-4.8,-18.4,11.1
"Kiowa County(6,10)",40075,***,92.5,70.9,119.5,13,stable,9.7,-11.1,35.4
"Harmon County(6,10)",40057,***,88.2,51.7,143.7,4,stable,15,-44.6,138.9
"Creek County(6,10)",40037,***,87.6,79.3,96.7,82,stable,-6,-12.8,1.3
"Atoka County(6,10)",40005,***,86.7,68.7,108.4,16,stable,5.8,-13.5,29.5
"Mayes County(6,10)",40097,***,85.3,74.4,97.4,46,stable,-1.1,-5.6,3.6
"Okmulgee County(6,10)",40111,***,85.2,74.2,97.5,44,stable,-5,-14.3,5.4
"Seminole County(6,10)",40133,***,83.9,70.5,99.3,28,falling,-4.7,-8.5,-0.8
"Caddo County(6,10)",40015,***,83.4,70.5,98.1,30,falling,-13.3,-19.6,-6.4
"McCurtain County(6,10)",40089,***,83.1,71.3,96.5,36,stable,-10.9,-42.2,37.3
"Pottawatomie County(6,10)",40125,***,82.8,74.3,91.9,72,stable,-6.6,-15.8,3.7
"Murray County(6,10)",40099,***,82.2,65.2,102.9,16,stable,-11.6,-35.2,20.5
"Cotton County(6,10)",40033,***,81.9,57.3,115.1,7,stable,11.8,-4.2,30.5
"Garvin County(6,10)",40049,***,81.4,68.5,96.1,29,stable,-1.2,-20.3,22.6
"Pittsburg County(6,10)",40121,***,81,71.2,91.9,51,stable,2.7,-14.9,24
"Bryan County(6,10)",40013,***,80.5,70.2,91.9,46,stable,-9.4,-28.5,14.7
"Pontotoc County(6,10)",40123,***,77.2,66.2,89.7,36,stable,3.3,-7,14.7
"Kay County(6,10)",40071,***,77.2,67.7,87.8,49,stable,1.8,-20.2,29.8
"Cherokee County(6,10)",40021,***,76.9,66.7,88.2,43,stable,4.3,-5.4,15
"Okfuskee County(6,10)",40107,***,76.8,58.7,99.3,12,stable,-4.5,-36.9,44.5
"McIntosh County(6,10)",40091,***,76.4,63.9,91.3,27,stable,-0.4,-13.9,15.2
"Carter County(6,10)",40019,***,76.2,66.5,86.9,46,stable,-3.5,-12.9,6.9
"Ottawa County(6,10)",40115,***,75.8,64.5,88.7,33,stable,3.3,-13,22.7
"Jefferson County(6,10)",40067,***,75.5,51.4,108.1,7,falling,-20.6,-34.9,-3.1
"Coal County(6,10)",40029,***,75.1,51.9,107.1,7,falling,-14.3,-23.4,-4.1
"Major County(6,10)",40093,***,74.5,53.1,102.5,8,stable,-0.5,-27.7,37.1
"Craig County(6,10)",40035,***,74.2,58.7,93.2,16,stable,0.6,-18.6,24.4
"Pawnee County(6,10)",40117,***,74,58.8,92.3,17,stable,13.8,-29.6,83.9
"Washington County(6,10)",40147,***,73.6,64.9,83.2,53,falling,-11.1,-19.9,-1.3
"Nowata County(6,10)",40105,***,73.6,55.4,96.5,11,stable,22.8,-2.9,55.3
"Comanche County(6,10)",40031,***,73.6,66.6,81,84,stable,-3.5,-19.8,16
"Stephens County(6,10)",40137,***,72.9,63.5,83.4,45,stable,2.4,-10.5,17.2
"McClain County(6,10)",40087,***,72.9,61.5,85.8,30,stable,1.9,-6.6,11.2
"Sequoyah County(6,10)",40135,***,71.8,61.9,83,39,stable,-1.7,-32,42.2
"Custer County(6,10)",40039,***,71.6,58.4,86.8,21,stable,-2.7,-18.7,16.3
"Wagoner County(6,10)",40145,***,71.5,63.5,80.3,62,stable,0.7,-16.1,20.8
"Blaine County(6,10)",40011,***,71.4,52.6,95.5,10,stable,-0.6,-21.4,25.8
"Logan County(6,10)",40083,***,70.9,60.9,82.1,37,stable,-0.4,-23.7,30.1
"Alfalfa County(6,10)",40003,***,70.7,47.7,102.8,6,stable,-14,-42,27.5
"Choctaw County(6,10)",40023,***,70.4,55.2,88.9,15,stable,-15.2,-29.9,2.6
"Oklahoma County(6,10)",40109,***,69.7,67.1,72.5,534,stable,0.1,-2.7,2.9
"Lincoln County(6,10)",40081,***,69.7,59.2,81.6,32,stable,-3.4,-25,24.3
"Marshall County(6,10)",40095,***,69.5,55.5,86.6,17,stable,8.5,-11.9,33.5
"Garfield County(6,10)",40047,***,68.9,60.6,78.1,51,rising,8.5,1,16.7
"Delaware County(6,10)",40041,***,68,59.3,77.8,47,stable,-7.5,-24.5,13.3
"Grady County(6,10)",40051,***,67.1,58.3,77,43,stable,-3,-24.5,24.7
"Tulsa County(6,10)",40143,***,66.8,64,69.7,438,stable,-0.8,-3.3,1.8
"Canadian County(6,10)",40017,***,65.8,59.4,72.7,82,stable,-8.4,-21.7,7.2
"Le Flore County(6,10)",40079,***,64,55.4,73.6,41,stable,-4.3,-22.2,17.6
"Adair County(6,10)",40001,***,63.7,50.4,79.7,16,stable,2.9,-28.1,47.2
"Jackson County(6,10)",40065,***,62.7,50.4,77.2,18,stable,-3.7,-17.4,12.2
"Kingfisher County(6,10)",40073,***,62.3,47,81.2,11,stable,-3.7,-24.9,23.4
"Rogers County(6,10)",40131,***,62.2,55.7,69.3,68,stable,-1.1,-7.3,5.5
"Cleveland County(6,10)",40027,***,62.1,57.8,66.7,158,stable,-2.4,-13.1,9.6
"Ellis County(6,10)",40045,***,61.7,36.5,100.3,4,stable,3.8,-39.1,76.9
"Payne County(6,10)",40119,***,61.5,53.4,70.5,42,stable,-4.3,-20.7,15.5
"Latimer County(6,10)",40077,***,61,44.5,82.3,9,stable,15.5,-21.6,70
"Pushmataha County(6,10)",40127,***,60.1,44.7,79.9,11,stable,15.7,-7.6,44.9
"Tillman County(6,10)",40141,***,59.2,40.7,84.4,7,stable,-2.2,-33.1,43.1
"Haskell County(6,10)",40061,***,56.9,42.1,75.7,10,stable,-14.9,-31.4,5.6
"Johnston County(6,10)",40069,***,56.9,41.1,77.5,9,stable,10.3,-7.9,32.2
"Osage County(6,10)",40113,***,56.7,48.9,65.6,39,stable,-1.7,-25.4,29.5
"Beckham County(6,10)",40009,***,55.3,42.7,70.4,13,stable,15.1,-10.5,48.1
"Noble County(6,10)",40103,***,54.1,39.1,73.7,9,stable,-9.9,-32.3,19.9
"Love County(6,10)",40085,***,52.9,36.4,75,7,stable,-1.8,-22.4,24.3
"Woods County(6,10)",40151,***,52,34.9,75.3,6,stable,-7.7,-30.7,22.9
"Grant County(6,10)",40053,***,50.1,28.7,83.6,3,*,*,*,*
"Washita County(6,10)",40149,***,47.2,32.6,66.4,7,stable,-6.2,-23.9,15.6
"Woodward County(6,10)",40153,***,43.7,32.6,57.5,10,stable,21.5,-19.7,83.9
"Dewey County(6,10)",40043,***,42.5,24.2,71.7,3,*,*,*,*
"Texas County(6,10)",40139,***,40.3,28.6,55,8,stable,-0.6,-36.4,55.3
"Beaver County(6,10)",40007,***,* ,*, *,3 or fewer,*,*,*,*
"Cimarron County(6,10)",40025,***,* ,*, *,3 or fewer,*,*,*,*
"Harper County(6,10)",40059,***,* ,*, *,3 or fewer,*,*,*,*
"Roger Mills County(6,10)",40129,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:15 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
