Incidence Rate Report for Oregon by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Oregon(6,10)",41000,***,124.9,122.9,127,3070,falling,-2.9,-4.9,-1
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Lake County(6,10)",41037,***,156.4,110.1,218,9,stable,-6.7,-24.4,15.2
"Josephine County(6,10)",41033,***,146.3,132.5,161.3,100,stable,-3.3,-13.3,7.9
"Clackamas County(6,10)",41005,***,141.4,134.7,148.4,358,stable,-3,-9.5,4
"Multnomah County(6,10)",41051,***,135.8,130.7,141,568,stable,-0.8,-3.4,1.9
"Jackson County(6,10)",41029,***,134.3,125.7,143.4,205,stable,-2.8,-14.6,10.6
"Crook County(6,10)",41013,***,132.9,106.8,164.1,22,stable,13.2,-9.2,41.2
"Hood River County(6,10)",41027,***,129,101.6,161.5,16,stable,-9.9,-39.8,34.9
"Polk County(6,10)",41053,***,128.9,114.2,145,61,falling,-14.8,-27.1,-0.5
"Washington County(6,10)",41067,***,128,122.2,133.9,389,stable,-2.9,-9.1,3.7
"Yamhill County(6,10)",41071,***,126.3,113.7,139.9,78,stable,-1.5,-11.3,9.4
"Lincoln County(6,10)",41041,***,126.1,109.6,144.9,52,stable,-4,-25.7,24.1
"Benton County(6,10)",41003,***,125,110.5,141,59,stable,2.3,-7.2,12.8
"Baker County(6,10)",41001,***,124.7,99.1,156.5,18,stable,-10.9,-31.4,15.9
"Jefferson County(6,10)",41031,***,123.8,97.4,155.5,17,stable,0.7,-15.4,20
"Coos County(6,10)",41011,***,122.5,107.6,139,60,stable,-3.8,-21.5,17.8
"Deschutes County(6,10)",41017,***,121.8,112.5,131.7,138,stable,-0.4,-16.5,18.6
"Wallowa County(6,10)",41063,***,120.9,83.4,174.2,8,stable,2,-40.5,74.9
"Columbia County(6,10)",41009,***,119.8,103.1,138.6,40,stable,-12.5,-31.1,11.1
"Marion County(6,10)",41047,***,118.6,111.5,126,221,stable,-2,-13.8,11.5
"Clatsop County(6,10)",41007,***,117.3,98.6,138.9,32,stable,-5.1,-39.1,47.9
"Union County(6,10)",41061,***,117.2,94.7,143.9,21,stable,6.1,-15.3,33
"Linn County(6,10)",41043,***,115.5,104.7,127.2,90,stable,-0.4,-7.6,7.4
"Curry County(6,10)",41015,***,112.5,89.5,140.7,23,stable,17.2,-5.4,45.2
"Klamath County(6,10)",41035,***,111.8,97.3,128,49,stable,-5.2,-11.5,1.6
"Malheur County(6,10)",41045,***,111,88,138.1,18,stable,-17.4,-44.3,22.5
"Grant County(6,10)",41023,***,109.6,68.8,167.9,6,stable,-7.1,-44.6,55.5
"Umatilla County(6,10)",41059,***,108,94.1,123.4,46,stable,-2.8,-9.1,3.9
"Tillamook County(6,10)",41057,***,106.2,86.2,130.3,23,stable,9.2,-8.6,30.4
"Lane County(6,10)",41039,***,105.4,99.2,111.9,244,stable,-4.1,-19.6,14.5
"Morrow County(6,10)",41049,***,104.7,71.1,149.3,7,stable,-1.2,-48.2,88.3
"Wasco County(6,10)",41065,***,103.3,81.7,129.2,18,stable,-11.6,-37.3,24.6
