Incidence Rate Report for Pennsylvania by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Pennsylvania(6,10)",42000,***,131,129.9,132.2,10934,stable,0.5,-0.3,1.2
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Sullivan County(6,10)",42113,***,161.3,112.8,229.2,9,stable,-7.7,-42.4,47.8
"Lycoming County(6,10)",42081,***,151.9,139.5,165.2,121,stable,1.1,-11.3,15.3
"Elk County(6,10)",42047,***,150.8,127.8,177.3,35,stable,-6,-13,1.5
"Centre County(6,10)",42027,***,144.7,132.4,157.9,108,stable,-1.7,-13,11.2
"Warren County(6,10)",42123,***,144.1,124.2,166.6,43,stable,-0.8,-21.4,25.1
"Montgomery County(6,10)",42091,***,142.3,137.7,147.1,755,stable,0.8,-5.3,7.2
"Chester County(6,10)",42029,***,142.2,136.1,148.4,440,stable,3.9,-1,9
"Mercer County(6,10)",42085,***,141.6,129.6,154.6,116,stable,-2,-6.4,2.7
"Delaware County(6,10)",42045,***,140.1,134.5,146,497,stable,-2.1,-6.1,2.2
"Allegheny County(6,10)",42003,***,139.3,135.5,143,1179,stable,1.5,-2.4,5.5
"Bucks County(6,10)",42017,***,139,133.8,144.4,582,stable,-1.7,-7.7,4.6
"Armstrong County(6,10)",42005,***,137.5,122.7,153.8,69,stable,3.4,-7.4,15.5
"Butler County(6,10)",42019,***,137.1,127.6,147.2,167,stable,-4,-11.1,3.5
"Beaver County(6,10)",42007,***,136.9,127.3,147,171,stable,-2.6,-18.8,16.7
"Fulton County(6,10)",42057,***,135.8,104.1,174.9,13,stable,0.8,-16.3,21.3
"Washington County(6,10)",42125,***,135.6,126.9,144.8,200,stable,0.5,-9.1,11.1
"Tioga County(6,10)",42117,***,135.3,116.1,157,39,stable,5.5,-19.7,38.6
"Erie County(6,10)",42049,***,134.4,126.5,142.6,237,stable,2.5,-1.4,6.5
"Lebanon County(6,10)",42075,***,133.9,123,145.5,123,stable,5.2,-7.2,19.2
"Westmoreland County(6,10)",42129,***,133.5,127.1,140.2,369,stable,1.5,-4.8,8.1
"Greene County(6,10)",42059,***,133.1,112.4,156.7,32,stable,12.1,-10,39.6
"Cumberland County(6,10)",42041,***,132.3,124.1,141,207,stable,-1.7,-5.6,2.3
"Cameron County(6,10)",42023,***,132,81.7,206.5,5,stable,-13.8,-54,61.7
"Northampton County(6,10)",42095,***,131.4,124.1,139,264,stable,-1.9,-13.6,11.6
"Crawford County(6,10)",42039,***,130.9,117.7,145.4,78,stable,-1.5,-9.1,6.7
"York County(6,10)",42133,***,129.8,123.7,136.1,361,stable,-0.1,-3.6,3.6
"Columbia County(6,10)",42037,***,129.3,114.3,145.9,59,stable,1.5,-12.2,17.3
"Bedford County(6,10)",42009,***,128.4,111.1,147.9,44,stable,-2.6,-23,23.2
"Wyoming County(6,10)",42131,***,128.1,105.7,154.4,25,stable,-7.4,-21.3,8.9
"Monroe County(6,10)",42089,***,127.8,118.1,138.2,135,stable,3.1,-9.9,18
"Dauphin County(6,10)",42043,***,127.2,119.6,135.2,221,stable,4,-3.1,11.6
"Lancaster County(6,10)",42071,***,126.3,120.7,132,417,stable,-0.8,-4.8,3.2
"Philadelphia County(6,10)",42101,***,126.3,122.9,129.7,1107,stable,-0.1,-3.4,3.3
"Berks County(6,10)",42011,***,125.9,119.7,132.4,326,stable,-1.9,-4.9,1.2
"Northumberland County(6,10)",42097,***,125.6,112.9,139.4,82,stable,4.5,-9.7,21
"Bradford County(6,10)",42015,***,125.5,110.3,142.4,55,stable,2,-3.5,7.8
"Lehigh County(6,10)",42077,***,125.4,118.7,132.3,280,stable,1.1,-10,13.6
"McKean County(6,10)",42083,***,125.2,106.7,146.3,35,stable,-2.1,-31.5,39.8
