Incidence Rate Report for South Dakota by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"South Dakota(6,10)",46000,***,134.3,129.6,139.2,659,stable,-2,-9.5,6
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Miner County(6,10)",46097,***,223.7,116.8,390.3,3,*,*,*,*
"Potter County(6,10)",46107,***,218.1,121.8,369.8,4,stable,-24.2,-66.3,70.6
"Haakon County(6,10)",46055,***,204.7,109.2,365.7,3,*,*,*,*
"Turner County(6,10)",46125,***,191.5,142,254.2,11,stable,-4.6,-38.3,47.4
"Lyman County(6,10)",46085,***,183.1,110.2,288.4,4,stable,7,-13.4,32.2
"Kingsbury County(6,10)",46077,***,168.9,110.6,249.9,6,stable,0.1,-42,72.6
"Fall River County(6,10)",46047,***,167.5,118.2,233.7,9,stable,-7.6,-41.9,46.9
"Gregory County(6,10)",46053,***,166,100.9,261.2,5,stable,4.6,-32.5,61.9
"Beadle County(6,10)",46005,***,164.1,128.9,206,17,rising,23.8,3.3,48.3
"Edmunds County(6,10)",46045,***,160,96.9,252.7,4,stable,12.4,-8.9,38.7
"Minnehaha County(6,10)",46099,***,158.2,146.8,170.3,151,stable,-3.1,-17.3,13.7
"Union County(6,10)",46127,***,156.5,120.1,200.7,14,stable,-13,-30.3,8.6
"Hughes County(6,10)",46065,***,154.9,122.5,193.6,17,stable,-5.3,-19.3,11.1
"Brookings County(6,10)",46011,***,154.3,125.4,187.8,21,stable,17.6,-31.7,102.5
"Lincoln County(6,10)",46083,***,147.4,125.8,171.6,35,stable,4.8,-2.9,13.1
"Charles Mix County(6,10)",46023,***,147.3,103.8,203.4,8,stable,-3.7,-49.1,82.3
"Clark County(6,10)",46025,***,143.2,74.8,248.5,3,*,*,*,*
"Hutchinson County(6,10)",46067,***,143.1,94.2,209.1,7,stable,-29.3,-61.8,31
"Roberts County(6,10)",46109,***,142.7,100.5,196.8,8,stable,4.1,-40.1,80.7
"Tripp County(6,10)",46123,***,142.3,89.2,217,6,stable,0.5,-43.8,79.9
"Brown County(6,10)",46013,***,138.8,116.7,163.8,31,rising,15,0.2,31.9
"Grant County(6,10)",46051,***,136.6,91.9,197.6,7,stable,-11.6,-46,44.8
"Spink County(6,10)",46115,***,134.3,90.2,195.1,7,stable,-7.6,-31.1,24
"McCook County(6,10)",46087,***,133.7,79.6,210.8,4,stable,6.8,-22.6,47.5
"Codington County(6,10)",46029,***,132,107.9,160.2,23,stable,-6.7,-36.6,37.1
"Hand County(6,10)",46059,***,130.4,71.4,225.8,4,stable,20.2,-12.4,64.9
"Dewey County(6,10)",46041,***,130.3,73.8,211.6,3,*,*,*,*
"Clay County(6,10)",46027,***,129.5,91.5,178.1,8,stable,-5.1,-49.3,77.8
"Shannon County(6,10)",46113,***,125.7,83.3,180.7,6,stable,1.1,-53.1,118
"Pennington County(6,10)",46103,***,124.1,111.4,137.9,76,falling,-6.4,-11,-1.5
"Lake County(6,10)",46079,***,123.7,90.5,166.3,10,stable,19.2,-16.9,71.1
"Bon Homme County(6,10)",46009,***,113,68.9,177.8,5,stable,-22.2,-63.6,66.5
"Lawrence County(6,10)",46081,***,111.4,87.6,139.9,18,stable,3.7,-19.3,33.2
"Yankton County(6,10)",46135,***,111.3,87.1,140.5,16,stable,-18.2,-42.4,16.1
"Custer County(6,10)",46033,***,111.3,72.6,165.6,7,stable,-0.1,-30.1,42.9
"Butte County(6,10)",46019,***,108,73.1,154.3,7,stable,-10.4,-44.2,44
