Incidence Rate Report for Tennessee by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Tennessee(6,10)",47000,***,122.2,120.6,123.8,4898,stable,-0.1,-2.6,2.5
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Haywood County(6,10)",47075,***,160,128.1,197.7,19,stable,-9.6,-27.2,12.4
"Moore County(6,10)",47127,***,150.9,101.6,218.2,7,stable,5,-45.5,102.3
"Williamson County(6,10)",47187,***,149,138.8,159.7,169,stable,4,-6.6,15.9
"Houston County(6,10)",47083,***,144.2,100.1,201.9,8,falling,-14.7,-26.9,-0.4
"Obion County(6,10)",47131,***,141.5,119.5,166.8,31,stable,0.7,-12.9,16.4
"Lake County(6,10)",47095,***,137.6,87.1,208.8,5,stable,-1,-14.3,14.3
"Cheatham County(6,10)",47021,***,137.5,116.5,161.4,32,stable,-1.5,-16.2,15.7
"Hickman County(6,10)",47081,***,134.7,108.7,165.5,20,falling,-7.3,-8.9,-5.7
"Loudon County(6,10)",47105,***,133.3,116.3,152.4,52,stable,0.4,-26.1,36.4
"White County(6,10)",47185,***,132.4,108.9,159.9,24,stable,-2.8,-34.3,43.9
"Humphreys County(6,10)",47085,***,131.1,103,165.2,16,falling,-27.1,-33.6,-20
"Marion County(6,10)",47115,***,130.4,107.7,156.7,26,stable,-4.1,-15.8,9.1
"Anderson County(6,10)",47001,***,130.3,116.5,145.4,71,stable,-0.4,-13.4,14.5
"Fayette County(6,10)",47047,***,130.2,110.9,152.3,35,stable,-4.5,-18.4,11.7
"Marshall County(6,10)",47117,***,129.9,107.6,155.6,25,stable,4.4,-11.4,22.9
"Clay County(6,10)",47027,***,129.2,87.6,185.3,7,stable,-7,-35.6,34.4
"Knox County(6,10)",47093,***,129.1,122.9,135.5,346,stable,1.8,-5.7,9.8
"Shelby County(6,10)",47157,***,128.7,124.3,133.2,679,stable,-1.8,-3.9,0.3
"Fentress County(6,10)",47049,***,128.5,101.1,161.7,17,falling,-19,-31.5,-4.2
"Rutherford County(6,10)",47149,***,128.2,119.6,137.2,173,stable,3.6,-4.9,12.9
"Hancock County(6,10)",47067,***,128.1,87,185.1,7,stable,8.7,-20.5,48.7
"Putnam County(6,10)",47141,***,127.8,113,144.1,58,stable,-2.1,-15.4,13.2
"Jackson County(6,10)",47087,***,126.6,94.2,168.3,11,stable,-4.4,-30.2,31.1
"Robertson County(6,10)",47147,***,126.4,111.1,143.3,51,stable,5.6,-15.9,32.5
"Sevier County(6,10)",47155,***,126.3,113.9,139.8,82,stable,-1.4,-8.8,6.7
"Sullivan County(6,10)",47163,***,126.1,116.8,136.1,148,stable,1.4,-12.7,17.7
"Claiborne County(6,10)",47025,***,125.4,104.3,149.9,27,rising,15.2,6.5,24.6
"Davidson County(6,10)",47037,***,125.2,119.9,130.7,438,stable,0.6,-4.2,5.7
"Sumner County(6,10)",47165,***,125.2,115.6,135.4,130,stable,-6.5,-14.7,2.6
