Incidence Rate Report for Texas by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Texas(6,10)",48000,***,111.7,110.9,112.5,15257,stable,0.4,-0.8,1.5
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Collingsworth County(6,10)",48087,***,192.1,109.4,313.6,4,stable,38.3,-14,122.3
"Runnels County(6,10)",48399,***,144.4,106.4,192.7,11,stable,-3.8,-16.4,10.8
"Karnes County(6,10)",48255,***,142.4,105.8,188.1,11,stable,16.9,-12,55.1
"Lavaca County(6,10)",48285,***,139.3,110.4,173.9,20,stable,-17.1,-40.2,15
"Delta County(6,10)",48119,***,138.3,87.7,210.2,5,stable,-16,-54.4,54.8
"Winkler County(6,10)",48495,***,135.7,88.5,199.4,5,stable,15.7,-31,94
"Rockwall County(6,10)",48397,***,133.7,119.1,149.7,62,stable,0,-10,11.1
"Freestone County(6,10)",48161,***,132.7,104.4,166.9,17,stable,-1.5,-20.9,22.6
"Garza County(6,10)",48169,***,131.9,78.6,209.5,4,stable,24.5,-21,96.2
"Parker County(6,10)",48367,***,130,118.1,142.8,93,stable,-4.4,-11.8,3.6
"Bell County(6,10)",48027,***,128.5,120.3,137.1,189,rising,5,3.6,6.6
"Kaufman County(6,10)",48257,***,128.2,115.3,142.2,74,stable,0.4,-4.4,5.4
"Comal County(6,10)",48091,***,127.6,116.2,139.8,101,stable,-0.1,-4.6,4.7
"Wheeler County(6,10)",48483,***,127.4,79.1,195.9,5,stable,-0.2,-45,81.2
"Polk County(6,10)",48373,***,127,108.8,147.6,41,stable,10.5,-19.2,51.2
"Yoakum County(6,10)",48501,***,126.7,81.5,187.5,5,stable,-2,-37.1,52.7
"Denton County(6,10)",48121,***,125.9,120.4,131.6,429,stable,-1.2,-3.7,1.3
"Morris County(6,10)",48343,***,125.8,93.5,166.4,12,stable,-5.4,-38,44.3
"Clay County(6,10)",48077,***,125.5,90.8,170.8,9,stable,-7.5,-34.7,31
"Randall County(6,10)",48381,***,125.4,113.9,137.8,91,stable,-1.8,-11.3,8.7
"Williamson County(6,10)",48491,***,125.1,118.8,131.8,299,stable,2.7,-3.8,9.7
"Erath County(6,10)",48143,***,125,103.8,149.1,26,stable,-7.9,-24.8,12.9
"Hamilton County(6,10)",48193,***,123.8,84,177.6,8,stable,-1.4,-39.6,61.1
"Collin County(6,10)",48085,***,123.7,118.9,128.6,536,stable,1.1,-5.5,8.2
"Taylor County(6,10)",48441,***,123.3,111.9,135.5,91,stable,-4.8,-14.4,5.8
"Gregg County(6,10)",48183,***,122.1,110.6,134.5,87,stable,4.7,-8.7,20.1
"Blanco County(6,10)",48031,***,120.9,87.4,164.9,10,stable,18.3,-23.1,82.1
"Kendall County(6,10)",48259,***,120.1,101.4,141.6,32,stable,-2.4,-20.1,19.2
"Palo Pinto County(6,10)",48363,***,119.6,96.9,146.3,21,stable,-12.3,-26.4,4.5
"Tarrant County(6,10)",48439,***,119.5,116.4,122.7,1151,stable,0.3,-3.9,4.7
"Travis County(6,10)",48453,***,119.2,114.8,123.7,593,stable,3.7,-0.2,7.7
"Gray County(6,10)",48179,***,118.9,92.9,150.1,16,stable,-16.4,-34.1,6.2
"Lamar County(6,10)",48277,***,118.5,101.9,137.1,39,stable,-0.1,-12.4,13.9
"Dallas County(6,10)",48113,***,118.2,115.4,121,1425,stable,1.5,-3,6.2
"Nolan County(6,10)",48353,***,118.2,87.9,155.8,11,stable,-7.3,-51.2,76.1
"Guadalupe County(6,10)",48187,***,118,107.4,129.4,93,stable,-2.9,-11.2,6.2
"Navarro County(6,10)",48349,***,117.9,100.7,137.2,36,stable,0.1,-27.6,38.6
"Mills County(6,10)",48333,***,117.7,73.4,184.6,5,stable,23.9,-6.8,64.7
"Walker County(6,10)",48471,***,117.7,100.1,137.4,34,stable,2.8,-19.9,31.8
"Cherokee County(6,10)",48073,***,117.6,100.4,137.1,35,stable,-4.3,-20.2,14.7
"Montgomery County(6,10)",48339,***,117.6,111.8,123.6,325,stable,-3.9,-10.3,2.9
"Lampasas County(6,10)",48281,***,117.4,92.3,147.8,16,stable,2.6,-28.3,46.8
"Scurry County(6,10)",48415,***,117.4,87.4,154.6,11,stable,-13.9,-40.2,24.1
"Bastrop County(6,10)",48021,***,117.3,102.9,133.2,51,stable,5.7,-12.7,28
"Ellis County(6,10)",48139,***,117.3,106.9,128.3,99,stable,-0.4,-3,2.2
"Kleberg County(6,10)",48273,***,116.6,93.2,144.1,18,stable,7.6,-6.2,23.3
"Aransas County(6,10)",48007,***,116.4,94.2,143,24,stable,15.1,-5.3,39.9
"Chambers County(6,10)",48071,***,116.1,94.7,140.9,22,stable,-8.6,-35.7,30
"Anderson County(6,10)",48001,***,115.5,97.8,135.6,33,stable,-1.6,-23.7,26.8
"San Patricio County(6,10)",48409,***,115.2,100,132.1,43,stable,10.4,-3,25.5
"Smith County(6,10)",48423,***,115,106.7,123.7,152,stable,-0.3,-6.9,6.8
"Fort Bend County(6,10)",48157,***,114.7,109.4,120.2,385,stable,-1.7,-4.4,1.1
"Hood County(6,10)",48221,***,114.4,99,131.8,47,stable,-3.3,-15,10
