Incidence Rate Report for Wisconsin by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Wisconsin(6,10)",55000,***,129.7,127.9,131.4,4512,stable,-0.3,-1.5,0.8
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Vilas County(6,10)",55125,***,155.2,127.3,188.5,29,stable,6.1,-21.7,43.9
"Sawyer County(6,10)",55113,***,151.6,120,189.8,19,stable,1.1,-24.4,35.2
"Washburn County(6,10)",55129,***,149.6,118,188.2,18,stable,-1.4,-40.4,62.9
"Waukesha County(6,10)",55133,***,149.3,142.5,156.4,388,stable,-1.1,-2.4,0.3
"Ozaukee County(6,10)",55089,***,145.8,131.8,160.9,87,stable,-0.1,-12.1,13.7
"Oneida County(6,10)",55085,***,144.7,124.7,167.6,43,rising,10.1,2.8,17.9
"La Crosse County(6,10)",55063,***,138.8,126.1,152.4,94,stable,-2.9,-12.9,8.4
"Lafayette County(6,10)",55065,***,137.9,105.5,177.3,14,stable,20.3,-11.9,64.2
"Dane County(6,10)",55025,***,136.2,129.8,142.7,368,stable,-1.8,-3.6,0.1
"Milwaukee County(6,10)",55079,***,135.7,131.2,140.4,702,stable,1.3,-4.5,7.5
"St. Croix County(6,10)",55109,***,134.2,119.5,150.3,63,stable,-8.8,-20,3.9
"Sheboygan County(6,10)",55117,***,134,122.1,146.9,99,stable,-1.3,-11.5,10
"Washington County(6,10)",55131,***,133.8,122.8,145.6,115,stable,6.6,-5.5,20.4
"Grant County(6,10)",55043,***,133.5,114.4,155.1,39,stable,6.4,-13.2,30.5
"Fond du Lac County(6,10)",55039,***,133.2,120.6,146.9,88,stable,-3.5,-16.5,11.6
"Outagamie County(6,10)",55087,***,132.9,122.9,143.5,136,stable,-2.7,-6.9,1.7
"Columbia County(6,10)",55021,***,132.6,115.7,151.5,47,stable,-1,-13.6,13.4
"Shawano County(6,10)",55115,***,132.1,113.1,153.6,38,stable,0.5,-14.2,17.8
"Winnebago County(6,10)",55139,***,132,121.7,143,129,stable,-0.9,-14,14.3
"Lincoln County(6,10)",55069,***,131.2,109.2,157,27,stable,-12.7,-29.6,8.3
"Sauk County(6,10)",55111,***,130.9,115.2,148.2,54,stable,-1.2,-14.8,14.7
"Monroe County(6,10)",55081,***,130,110.7,151.8,34,stable,0.7,-19.2,25.6
"Oconto County(6,10)",55083,***,129.9,110.1,152.5,33,stable,6.1,-1,13.7
"Walworth County(6,10)",55127,***,129.7,116.9,143.5,80,stable,-2.6,-12.1,7.8
"Marathon County(6,10)",55073,***,129.6,118.6,141.3,110,stable,-5.4,-21.7,14.3
"Door County(6,10)",55029,***,129.2,107.3,155.1,31,stable,0.9,-11.5,15
"Eau Claire County(6,10)",55035,***,128.8,115.6,143.1,74,stable,4.2,-18.2,32.7
"Racine County(6,10)",55101,***,128.6,119.5,138.3,154,stable,-1.1,-7.5,5.7
"Calumet County(6,10)",55015,***,128.2,110,148.7,37,stable,-1.6,-18.5,18.9
"Clark County(6,10)",55019,***,128,106.2,153.1,26,stable,-5.5,-23.2,16.3
"Chippewa County(6,10)",55017,***,127.4,111.3,145.3,49,stable,1.1,-12.5,16.8
"Jefferson County(6,10)",55055,***,126.8,112.8,142.1,63,stable,-0.5,-11.2,11.5
"Price County(6,10)",55099,***,126.8,97.4,164.2,14,stable,-10.2,-38.9,31.9
"Manitowoc County(6,10)",55071,***,125.9,112.2,141,69,stable,1.8,-16.1,23.4
"Wood County(6,10)",55141,***,125.9,111.9,141.3,65,falling,-8.5,-14.2,-2.4
"Dunn County(6,10)",55033,***,125.7,105.4,148.9,29,stable,-2.9,-24.5,24.9
"Juneau County(6,10)",55057,***,123.9,99.6,152.6,21,stable,2.7,-9.1,16.1
"Langlade County(6,10)",55067,***,123.8,97.7,155.5,18,stable,8.8,-13.5,36.7
"Waupaca County(6,10)",55135,***,123.5,107,142,44,stable,-2.9,-18.5,15.8
"Vernon County(6,10)",55123,***,123.5,100.9,149.7,24,stable,2.2,-28.9,46.9
"Kenosha County(6,10)",55059,***,123.4,113.3,134.1,116,stable,-2.4,-12.8,9.3
"Brown County(6,10)",55009,***,123.1,115,131.7,178,stable,0.8,-8.7,11.3
"Barron County(6,10)",55005,***,122.8,105.5,142.3,40,stable,4.7,-10.5,22.4
"Portage County(6,10)",55097,***,121,105.7,138,49,stable,0.6,-12.4,15.5
"Green Lake County(6,10)",55047,***,120.8,92.7,155.1,15,stable,-14.3,-49.1,44.4
"Marinette County(6,10)",55075,***,119.9,102.2,140.1,38,stable,11.9,-10.9,40.5
"Iowa County(6,10)",55049,***,119.3,95.9,147.3,19,stable,12.9,-6,35.6
"Iron County(6,10)",55051,***,118.6,81.5,174.9,7,stable,3,-37.3,69.4
"Bayfield County(6,10)",55007,***,116.7,88.3,152.9,14,stable,11.5,-15.7,47.3
"Rock County(6,10)",55105,***,116.4,106.9,126.6,115,stable,-0.9,-7.2,5.7
"Crawford County(6,10)",55023,***,113.6,86.3,147.7,14,stable,-0.5,-23.3,29.2
"Buffalo County(6,10)",55011,***,110.5,81.3,147.8,10,stable,-2.7,-18.6,16.4
"Taylor County(6,10)",55119,***,108.3,83.5,138.7,14,stable,-0.5,-15.5,17
"Marquette County(6,10)",55077,***,108.1,80.2,143.5,12,falling,-13.2,-20.8,-4.9
"Polk County(6,10)",55095,***,107.8,91.2,126.8,32,stable,6.3,-15.4,33.6
"Dodge County(6,10)",55027,***,106.1,93.8,119.7,57,stable,-6.5,-19.2,8.2
"Waushara County(6,10)",55137,***,106,83.7,133.2,18,stable,-5.5,-35.8,39.1
"Richland County(6,10)",55103,***,105,79.6,136.6,13,stable,-7.4,-26,16
"Trempealeau County(6,10)",55121,***,103.2,82.7,127.6,19,stable,8.5,-6.4,25.7
"Adams County(6,10)",55001,***,103.1,79,133.5,17,stable,-10.5,-32.4,18.5
"Douglas County(6,10)",55031,***,97.7,81.6,116.2,28,stable,2.6,-20.3,32
"Kewaunee County(6,10)",55061,***,96.7,73.3,125.6,13,rising,25,0.6,55.4
"Pierce County(6,10)",55093,***,96.4,78.1,117.7,20,stable,-6,-23.4,15.3
"Burnett County(6,10)",55013,***,96.2,73,126.5,13,stable,-5.6,-35.2,37.4
"Green County(6,10)",55045,***,95.1,77.7,115.4,23,stable,10.4,-5.2,28.6
"Florence County(6,10)",55037,***,91.4,54.4,157.1,4,*,*,*,*
"Ashland County(6,10)",55003,***,89.3,63.3,122.8,9,stable,5,-6.1,17.3
"Rusk County(6,10)",55107,***,88.8,64.2,121,10,stable,-3.3,-25.6,25.7
"Pepin County(6,10)",55091,***,82.2,51.7,127.4,5,stable,-2.5,-52.7,101
"Jackson County(6,10)",55053,***,79.8,58.5,106.8,10,stable,7.6,-38.2,87.5
"Forest County(6,10)",55041,***,72.6,45.1,112.7,5,stable,-6.5,-39,43.5
"Menominee County(6,10)",55078,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:48 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
,,,,,,,,,,
"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. ",,,,,,,,,,
,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,
,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,
