Incidence Rate Report for Alabama by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Alabama(6,10)",1000,***,67.7,66.8,68.7,3967,falling,-3,-3.4,-2.7
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Walker County(6,10)",1127,***,94.5,85.7,104,88,stable,-2.1,-10.4,7
"Lawrence County(6,10)",1079,***,88.9,76.6,102.7,39,stable,-7.1,-22.7,11.7
"Clay County(6,10)",1027,***,87.1,69.3,108.7,17,stable,1.7,-26.9,41.4
"Geneva County(6,10)",1061,***,86.6,74.1,101,35,stable,2.2,-12.9,20.1
"Lamar County(6,10)",1075,***,84.1,67.5,104.2,18,stable,-0.6,-16.3,18.1
"Cleburne County(6,10)",1029,***,82.5,65.4,103,17,stable,-2.4,-11,7
"Cherokee County(6,10)",1019,***,81.9,69.6,96,33,stable,-9.6,-29.2,15.4
"Russell County(6,10)",1113,***,80.7,70.8,91.5,50,stable,-2.2,-9.8,6
"Covington County(6,10)",1039,***,80.5,70.2,92.1,45,stable,-7.6,-24.2,12.7
"Jackson County(6,10)",1071,***,79.9,71,89.8,60,stable,1.9,-14.2,21
"Winston County(6,10)",1133,***,79.5,66.8,94.3,29,stable,-5.7,-21.1,12.8
"Calhoun County(6,10)",1015,***,77.7,71.4,84.5,114,stable,-4.4,-11.4,3.1
"Dale County(6,10)",1045,***,77.7,68,88.5,47,stable,-0.4,-14.6,16.2
"Bibb County(6,10)",1007,***,77,62.8,93.6,21,stable,-5.7,-14.8,4.4
"Marshall County(6,10)",1095,***,76.9,69.9,84.4,91,stable,-1.7,-11.4,9
"Etowah County(6,10)",1055,***,76.6,70.1,83.5,106,stable,-5.8,-15.4,4.8
"Autauga County(6,10)",1001,***,76.5,66.8,87.2,46,stable,-5.1,-21,13.9
"Tallapoosa County(6,10)",1123,***,76.3,66.4,87.4,45,stable,-1.8,-15.7,14.4
"St. Clair County(6,10)",1115,***,76.2,68.7,84.4,79,stable,-3,-9.8,4.4
"Talladega County(6,10)",1121,***,75.2,67.7,83.3,77,stable,-3.1,-7.4,1.5
"Dallas County(6,10)",1047,***,74.7,64.3,86.5,39,stable,-3.6,-29.8,32.5
"Crenshaw County(6,10)",1041,***,74.6,58.1,94.7,14,stable,6.9,-11.2,28.8
"Bullock County(6,10)",1011,***,74.1,54.1,99.4,9,rising,13.9,7.5,20.6
"Escambia County(6,10)",1053,***,73.8,63.4,85.6,37,stable,-10.3,-24.7,6.9
