Incidence Rate Report for Alaska by Borough or Census Area,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
Borough Or Census Area, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Alaska(6,10)",2900,No,42,39.6,44.5,269,stable,1.3,-1.5,4.2
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"North Slope Borough(6,10)",2185,No,109.8,66.4,167.8,6,stable,-11.5,-58.5,88.4
"Yukon-Koyukuk Census Area(6,10)",2290,No,93.5,61.2,137,6,stable,-18.7,-55,46.9
"Dillingham Census Area(6,10)",2070,No,92,53,147.7,4,stable,3.3,-59.8,165.4
"Northwest Arctic Borough(6,10)",2188,No,91.5,55.7,139.9,4,stable,7.4,-44.1,106.3
"Bethel Census Area(6,10)",2050,No,90.4,64.2,122.9,9,stable,26.8,-4.1,67.8
"Wade Hampton Census Area(6,10)",2270,No,83.7,44,140.9,3,*,*,*,*
"Nome Census Area(6,10)",2180,No,78.5,48.9,118,5,rising,11.4,0.6,23.4
"Wrangell-Petersburg Census Area(6,10)",2280,No,53.8,30.5,88.2,3,*,*,*,*
"Prince of Wales-Outer Ketchikan Census Area(6,10)",2201,No,47.3,26.2,80.1,3,*,*,*,*
"Ketchikan Gateway Borough(6,10)",2130,No,43.2,28.6,62.5,6,stable,-9.4,-21.6,4.8
"Kenai Peninsula Borough(6,10)",2122,Yes,39.6,32.5,47.7,26,stable,15.1,-12.2,50.9
"Matanuska-Susitna Borough(6,10)",2170,Yes,39.4,33.1,46.5,33,stable,2.4,-20.5,32.1
"Anchorage Municipality(6,10)",2020,Yes,39,35.4,42.9,101,stable,-1,-11.1,10.2
"Southeast Fairbanks Census Area(6,10)",2240,Yes,38.1,21,64.5,3,*,*,*,*
"Valdez-Cordova Census Area(6,10)",2261,Yes,38,20,65,4,stable,-4.5,-55.5,104.9
