Incidence Rate Report for Colorado by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Colorado(6,10)",8000,Yes,33.8,33.1,34.5,1812,falling,-1.6,-2.9,-0.2
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Kit Carson County(6,10)",8063,No,52.5,34.6,77.1,6,stable,3.8,-35.3,66.4
"Custer County(6,10)",8027,No,51.5,26.3,94.9,3,*,*,*,*
"Yuma County(6,10)",8125,No,49.4,33.4,70.8,6,stable,-13.2,-43.5,33.5
"Bent County(6,10)",8011,No,45.5,25.8,75.6,3,*,*,*,*
"Alamosa County(6,10)",8003,No,45.3,31,63.8,7,stable,3.6,-33.7,61.9
"Washington County(6,10)",8121,No,44.8,24.9,76.5,3,*,*,*,*
"Otero County(6,10)",8089,No,43.8,33.1,57.3,12,stable,-5.4,-24,17.7
"Moffat County(6,10)",8081,No,43.6,29.1,62.9,6,stable,-6.8,-62.3,130.7
"Pueblo County(6,10)",8101,No,41.1,37.1,45.4,81,stable,3.5,-13.8,24.2
"Logan County(6,10)",8075,No,41,30.9,53.7,11,stable,6.8,-18,39.2
"Prowers County(6,10)",8099,No,40.9,27.6,58.8,6,stable,23.6,-11.6,72.9
"Adams County(6,10)",8001,Yes,39.5,36.7,42.5,155,stable,0.8,-9.6,12.3
"Fremont County(6,10)",8043,Yes,38.6,32.1,46.3,26,stable,-8.6,-24.4,10.5
"Las Animas County(6,10)",8071,Yes,38.2,27.8,52,9,stable,-8.7,-36.4,31
"Denver County(6,10)",8031,Yes,37.9,35.6,40.2,224,stable,2,-0.7,4.7
"Rio Grande County(6,10)",8105,Yes,36.8,24.5,53.7,6,stable,-20.2,-49.6,26.2
"El Paso County(6,10)",8041,Yes,36.1,33.9,38.3,221,stable,-1.9,-8.5,5.1
