Incidence Rate Report for Florida by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Florida(6,10)",12000,***,97.4,96.7,98.2,12667,falling,-10.8,-13.4,-8.1
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Union County(6,10)",12125,***,201,167.1,241.1,28,stable,2.5,-23.7,37.7
"Duval County(6,10)",12031,***,118.6,113.9,123.4,526,falling,-17.6,-21.9,-13.2
"Bay County(6,10)",12005,***,118.4,109.2,128.2,127,falling,-16.5,-22.2,-10.4
"Hillsborough County(6,10)",12057,***,115.7,112,119.5,760,falling,-15,-21,-8.6
"Polk County(6,10)",12105,***,114.7,110.1,119.4,486,falling,-10,-15.2,-4.5
"Miami-Dade County(6,10)",12086,***,113.6,111.1,116.2,1593,falling,-7.3,-9.2,-5.4
"Osceola County(6,10)",12097,***,110.5,102.8,118.6,163,falling,-9.3,-16.9,-1
"Lake County(6,10)",12069,***,110.4,104.6,116.5,287,stable,-14.1,-26.8,0.9
"Marion County(6,10)",12083,***,108.7,103.3,114.4,323,falling,-16.5,-25,-7
"Nassau County(6,10)",12089,***,106.5,94.6,119.7,62,falling,-12.9,-18.5,-6.9
"Orange County(6,10)",12095,***,106,102,110.1,577,falling,-8.4,-10.1,-6.6
"Palm Beach County(6,10)",12099,***,103.9,101,106.8,1006,falling,-9.4,-12.7,-5.9
"Gadsden County(6,10)",12039,***,103.4,86.8,122.4,29,stable,-7.3,-27.4,18.5
"St. Johns County(6,10)",12109,***,100.4,93,108.3,144,falling,-11.8,-19.1,-3.7
"Broward County(6,10)",12011,***,99.4,96.7,102.2,1049,falling,-10.4,-15.4,-5.1
"Escambia County(6,10)",12033,***,99.2,92.6,106.1,177,falling,-10.8,-17.8,-3.2
"Seminole County(6,10)",12117,***,98,92.3,104,235,stable,-7.7,-16.7,2.3
"Martin County(6,10)",12085,***,97.6,90.2,105.5,137,falling,-8.6,-15.1,-1.6
"Clay County(6,10)",12019,***,97.4,89,106.3,109,falling,-12.9,-23.6,-0.7
"Jefferson County(6,10)",12065,***,96.9,72.5,128.3,11,stable,-19.6,-46.6,21.2
"Sumter County(6,10)",12119,***,96.3,88.4,105.3,169,falling,-18.4,-27.7,-7.8
"Pasco County(6,10)",12101,***,95.9,91.4,100.6,347,falling,-16.8,-19,-14.5
"Leon County(6,10)",12073,***,95.1,87.4,103.4,121,stable,-14.8,-30.8,4.9
"Brevard County(6,10)",12009,***,94.8,90.7,99.1,410,stable,-9.9,-22.6,4.7
"Alachua County(6,10)",12001,***,93.8,86,102.1,114,stable,-7.1,-24.7,14.5
"Baker County(6,10)",12003,***,92.7,70.1,120.1,13,falling,-31.7,-51.1,-4.6
"Santa Rosa County(6,10)",12113,***,92.4,83.6,101.9,86,stable,-14.7,-27.5,0.3
"Putnam County(6,10)",12107,***,89.5,78.6,101.6,51,stable,-15.7,-33.6,6.9
"Citrus County(6,10)",12017,***,89.4,82.4,97,138,falling,-17.8,-30.6,-2.7
"Columbia County(6,10)",12023,***,89.3,77.1,103,40,stable,-4.4,-12.4,4.2
"Sarasota County(6,10)",12115,***,89,84.7,93.5,360,stable,-5,-13.3,4.1
"St. Lucie County(6,10)",12111,***,87.4,81.8,93.3,190,falling,-7.4,-13.6,-0.7
"Hernando County(6,10)",12053,***,86.5,80,93.6,135,falling,-22.4,-34.7,-7.7
"Hendry County(6,10)",12051,***,86.5,69,107,17,falling,-10.9,-20,-0.7
