Incidence Rate Report for Georgia by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Georgia(3,8)",13000,No,41.8,41.2,42.4,4230,stable,-0.1,-1.5,1.3
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
Turner County(7),13287,No,88.6,63.3,120.8,9,*,*,*,*
Chattahoochee County(7),13053,No,81.5,46.4,130.6,3,*,*,*,*
"Peach County(7,8)",13225,No,66.7,53.6,82.1,19,stable,0.9,-2.7,4.6
"Terrell County(7,8)",13273,No,66,45.3,93.2,7,stable,-1.9,-4.8,1.1
Clinch County(7),13065,No,65,41,98.1,5,*,*,*,*
"Mitchell County(7,8)",13205,No,63.6,50.5,79.2,17,stable,1.2,-2,4.5
"Meriwether County(7,8)",13199,No,63.1,50.5,78.1,18,stable,3.7,-0.6,8.3
"Evans County(7,8)",13109,No,61.3,43,85,7,stable,-1,-5,3.1
Stewart County(7),13259,No,59.1,35.8,93.1,4,*,*,*,*
Hancock County(7),13141,No,58.1,39.2,83.5,7,*,*,*,*
"Worth County(7,8)",13321,No,56,43.4,71.1,15,stable,1.2,-2.5,5.1
"Chattooga County(7,8)",13055,No,55.8,44.6,69.2,18,stable,1.5,-2.2,5.4
"Heard County(7,8)",13149,No,55.6,38.8,77.5,8,stable,-1.1,-4.8,2.8
Jefferson County(7),13163,No,55.5,42,72.2,12,*,*,*,*
"Upson County(7,8)",13293,No,55.2,44.4,67.9,19,stable,-2,-4.8,0.9
"Madison County(7,8)",13195,No,54.8,43.8,68,18,stable,-0.2,-2.7,2.3
"Grady County(7,8)",13131,No,54.8,43.5,68.2,17,stable,-1.1,-4.3,2.2
"Jenkins County(7,8)",13165,No,54.5,36.2,79.2,6,falling,-3.5,-6.8,-0.1
"Stephens County(7,8)",13257,No,54.3,43.3,67.3,18,stable,-1.4,-4.3,1.7
"Effingham County(7,8)",13103,No,53.6,44.5,64,27,stable,-0.9,-2.7,0.9
"Wilcox County(7,8)",13315,No,53,35.6,76.7,6,stable,2.1,-2.1,6.4
"Dougherty County(7,8)",13095,No,53,46.6,60,52,stable,-1.1,-3.2,1.1
"Lee County(7,8)",13177,No,52.9,40.6,67.6,14,stable,0,-3.6,3.8
Morgan County(7),13211,No,52.8,40.2,68.5,12,*,*,*,*
"Talbot County(7,8)",13263,No,52.7,33.6,80.6,5,stable,0.3,-5,5.9
"Macon County(7,8)",13193,No,52.6,37.6,71.8,9,stable,0.6,-2.7,4.1
"Burke County(7,8)",13033,No,52.5,40.4,67.1,14,stable,-0.5,-3.8,2.9
"Polk County(7,8)",13233,No,52.4,43.2,63,23,stable,-0.7,-3.4,2.1
"Wilkinson County(7,8)",13319,No,51.8,35.5,73.8,7,stable,-1.1,-5,3.1
