Incidence Rate Report for Indiana by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Indiana(6,10)",18000,***,92.7,91.2,94.1,3313,falling,-6.2,-9.7,-2.6
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Posey County(6,10)",18129,***,124.4,100.3,152.8,20,stable,-15.8,-36.2,11.1
"Hendricks County(6,10)",18063,***,117.9,106.9,129.8,91,stable,-5.5,-12,1.6
"Porter County(6,10)",18127,***,114.6,104.7,125.1,109,stable,-5.5,-16,6.3
"Union County(6,10)",18161,***,114.5,72.8,173,5,stable,-25.3,-52.6,17.7
"Morgan County(6,10)",18109,***,114.2,99.9,130.1,50,stable,-1.2,-11.9,10.7
"Randolph County(6,10)",18135,***,114.1,92.1,140.3,19,stable,-12.2,-42.2,33.3
"LaPorte County(6,10)",18091,***,113.8,102.2,126.3,76,falling,-6.3,-10.3,-2.2
"Lake County(6,10)",18089,***,112.1,106.4,118.1,302,stable,-3.2,-8.7,2.7
"Grant County(6,10)",18053,***,110.9,97.1,126.1,49,falling,-10.7,-14.2,-7.1
"Decatur County(6,10)",18031,***,110.6,88,137.6,17,stable,-15.2,-31.9,5.5
"Warrick County(6,10)",18173,***,109.9,95,126.7,41,stable,-8.3,-20.2,5.3
"Benton County(6,10)",18007,***,109.9,73,160,6,stable,17.5,-40,129.9
"Vermillion County(6,10)",18165,***,109.5,81.8,144.4,11,stable,-5.4,-23.4,16.8
"Hamilton County(6,10)",18057,***,108.9,100.7,117.6,145,stable,4.5,-4,13.8
"Dubois County(6,10)",18037,***,108,90.5,128.1,28,stable,-8.3,-25.5,13
"Wayne County(6,10)",18177,***,107.3,93.6,122.7,45,stable,-12.5,-28.5,7.1
"Jefferson County(6,10)",18077,***,106.8,86.7,130.5,21,stable,-0.4,-26.4,34.7
"Pulaski County(6,10)",18131,***,105.4,77.3,141.5,10,stable,-9.5,-28.9,15.3
"Blackford County(6,10)",18009,***,104.9,76.4,141.9,9,stable,-9.2,-32.3,21.9
"Pike County(6,10)",18125,***,102.6,74.7,138.9,9,stable,0.8,-29.9,45
"Delaware County(6,10)",18035,***,102.5,91.8,114.3,68,stable,-10.2,-21.4,2.5
"Gibson County(6,10)",18051,***,102.5,83.5,124.7,21,stable,-14.2,-33.6,10.9
"Knox County(6,10)",18083,***,102,83.6,123.4,22,stable,-14.1,-28.5,3.2
"Monroe County(6,10)",18105,***,101.8,90.5,114.2,62,stable,0.6,-9.7,12.1
"Madison County(6,10)",18095,***,101.2,91.4,111.8,81,falling,-16.8,-26.8,-5.4
"Dearborn County(6,10)",18029,***,100.3,85.1,117.6,33,stable,-9.7,-23.6,6.8
"Owen County(6,10)",18119,***,99.1,76.4,126.9,14,stable,1.4,-30.3,47.6
"Wabash County(6,10)",18169,***,98.8,80.7,120.3,21,stable,-11.1,-37.5,26.6
"Vanderburgh County(6,10)",18163,***,98.8,90.2,108.1,101,stable,-5.1,-13.4,4
"Clay County(6,10)",18021,***,96.9,76.7,121.2,16,stable,1.2,-32.2,50.9
"Adams County(6,10)",18001,***,96.4,76.7,119.7,17,stable,-11.3,-25.6,5.6
