Incidence Rate Report for Louisiana by Parish,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
Parish, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Louisiana(3,8)",22000,No,46.5,45.6,47.4,2347,falling,-2.1,-2.3,-1.8
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"East Carroll Parish(7,8)",22035,No,77.3,52.4,110.1,6,stable,2,-1.4,5.6
"Evangeline Parish(7,8)",22039,No,73.1,61.1,86.8,27,stable,1.3,-1,3.7
"St. Landry Parish(7,8)",22097,No,65.2,58,73,63,stable,0.7,-1.1,2.6
"East Feliciana Parish(7,8)",22037,No,64.4,50.7,81,16,stable,1.3,-2,4.6
"Catahoula Parish(7,8)",22025,No,62.5,43.7,86.9,8,stable,-0.7,-5,3.7
"Franklin Parish(7,8)",22041,No,60.2,47.3,75.6,16,stable,0.8,-1.7,3.4
"St. Martin Parish(7,8)",22099,No,58.5,49.8,68.3,34,stable,0.3,-1.9,2.5
"Winn Parish(7,8)",22127,No,58.1,43.1,76.9,10,stable,-1.7,-5.1,1.8
"Assumption Parish(7,8)",22007,No,57.4,44.9,72.4,15,stable,-1.5,-4.1,1.2
"Morehouse Parish(7,8)",22067,No,57.3,46.3,70.3,20,stable,-1.5,-5.1,2.1
"Acadia Parish(7,8)",22001,No,57.3,49.4,66.1,40,stable,-1.3,-2.6,0.1
"Iberia Parish(7,8)",22045,No,56.5,49.3,64.6,45,stable,0.2,-1.6,2
"Jefferson Davis Parish(7,8)",22053,No,55.5,45,67.8,20,stable,0.8,-1.6,3.4
"Madison Parish(7,8)",22065,No,55.1,37.9,77.5,7,stable,2.2,-2.9,7.6
"West Carroll Parish(7,8)",22123,No,55.1,38.7,76.4,8,stable,1.4,-2.4,5.3
"Iberville Parish(7,8)",22047,No,55,44.6,67.1,21,stable,-24.9,-44.7,2.1
"Allen Parish(7,8)",22003,No,54.9,43.2,68.8,16,stable,-0.3,-3.1,2.6
"Avoyelles Parish(7,8)",22009,No,54,45.1,64.2,27,falling,-3,-5.2,-0.7
"St. James Parish(7,8)",22093,No,53.7,41.4,68.5,14,stable,-2.3,-5.4,0.9
"St. Mary Parish(7,8)",22101,No,53.2,45.2,62.2,33,falling,-1.9,-3.6,-0.1
"Vermilion Parish(7,8)",22113,No,52.6,45,61.2,35,stable,-0.3,-2.1,1.4
"Terrebonne Parish(7,8)",22109,No,52.4,46.6,58.7,62,falling,-1.7,-3.1,-0.2
"Concordia Parish(7,8)",22029,No,52.3,39.7,67.7,12,stable,0.4,-3.7,4.7
"St. Bernard Parish(7,8)",22087,No,51.5,41.2,63.5,18,stable,-1.1,-4.2,2.1
"Jackson Parish(7,8)",22049,No,51.5,38.3,68,11,stable,-1.3,-3.7,1.2
Cameron Parish(7),22023,No,51.1,31.3,79.7,4,*,*,*,*
"Calcasieu Parish(7,8)",22019,No,50.9,46.7,55.4,110,falling,-1.3,-2.4,-0.2
"Pointe Coupee Parish(7,8)",22077,No,50.2,39.1,63.6,15,stable,-1.6,-4.3,1.1
"Lafayette Parish(7,8)",22055,No,49.7,45.6,54.1,112,falling,-1.5,-2.8,-0.2
"Richland Parish(7,8)",22083,No,49.4,37.3,64.3,12,stable,0.7,-3.2,4.7
"De Soto Parish(7,8)",22031,No,49,38.5,61.6,16,falling,-3.5,-5.4,-1.5
"West Baton Rouge Parish(7,8)",22121,No,48.8,37.4,62.6,13,falling,-3.9,-7.4,-0.3
"Caldwell Parish(7,8)",22021,No,48.5,31.8,71,6,stable,-2.2,-6,1.8
"Rapides Parish(7,8)",22079,No,48.5,43.6,53.8,73,falling,-2.5,-3.9,-1
"La Salle Parish(7,8)",22059,No,48,34.6,65.1,9,stable,-3.3,-6.7,0.3
"Bienville Parish(7,8)",22013,No,47.9,34.6,65.1,9,stable,-2.2,-5.5,1.3
"Caddo Parish(7,8)",22017,No,47.6,44,51.5,136,falling,-2.2,-3.3,-1.1
"Natchitoches Parish(7,8)",22069,No,47.5,38.5,57.9,21,stable,-1.3,-3.6,1.2
