Incidence Rate Report for Mississippi by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Mississippi(6,10)",28000,***,130.6,128.1,133.2,2123,stable,-4.1,-10.7,3
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Wilkinson County(6,10)",28157,***,235,179.6,302.7,13,stable,12.5,-7.2,36.3
"Jefferson County(6,10)",28063,***,227.4,164.7,306.5,9,stable,2.5,-23.2,36.8
"Franklin County(6,10)",28037,***,209.8,157.2,276.2,11,stable,3.8,-24.8,43.3
"Bolivar County(6,10)",28011,***,203.6,172.3,239,33,stable,8.7,-21.2,50.1
"Grenada County(6,10)",28043,***,187.4,154.1,226.1,23,stable,2,-4.3,8.7
"Calhoun County(6,10)",28013,***,185.8,147,232.3,16,stable,-9.7,-33.7,22.8
"Yalobusha County(6,10)",28161,***,176.1,137.1,223.8,15,stable,-3.7,-23.5,21.3
"Forrest County(6,10)",28035,***,174,154.4,195.3,60,stable,-0.1,-7.5,7.9
"Lee County(6,10)",28081,***,164.5,147.5,183,71,stable,-3.8,-10.2,3
"Walthall County(6,10)",28147,***,164.2,127.3,208.9,14,stable,4.1,-17.4,31.3
"Jefferson Davis County(6,10)",28065,***,162.8,125.2,209.6,13,stable,9.5,-3.1,23.8
"Tallahatchie County(6,10)",28135,***,162.4,124,209.1,13,stable,9.7,-31,74.3
"Amite County(6,10)",28005,***,160.4,125.3,203.7,15,stable,-4.7,-37.4,45.1
"Jones County(6,10)",28067,***,159.4,141.9,178.6,63,stable,-5.5,-19.3,10.7
"Clay County(6,10)",28025,***,157,127,192.6,20,stable,10,-24.2,59.6
"Pike County(6,10)",28113,***,156.5,133.8,182,35,falling,-18.7,-28.5,-7.6
"Covington County(6,10)",28031,***,155.9,125.2,192.2,18,falling,-11.8,-18.3,-4.8
"Wayne County(6,10)",28153,***,155.6,124.1,192.9,18,stable,-4.7,-16.6,8.9
"Kemper County(6,10)",28069,***,155.3,114.5,207,10,stable,-9.4,-37.7,31.9
"Holmes County(6,10)",28051,***,153.7,119.4,194.9,14,stable,2.3,-16.2,24.9
"Tunica County(6,10)",28143,***,153.6,103.7,218.6,7,stable,3.6,-22.9,39.2
"Lowndes County(6,10)",28087,***,153.3,133.9,174.7,49,stable,-11.3,-31.8,15.4
"Lamar County(6,10)",28073,***,150.4,129.5,173.7,40,stable,-2.2,-19.5,18.8
"Sunflower County(6,10)",28133,***,149.4,118.9,185.1,19,stable,1.9,-18.4,27.1
"Marion County(6,10)",28091,***,149,122.5,179.7,23,stable,14.3,-16.2,55.7
"Leflore County(6,10)",28083,***,148.9,121.2,181,21,stable,3.2,-31,54.3
"Chickasaw County(6,10)",28017,***,147.3,114,187.5,14,stable,-11.2,-29.2,11.5
"Monroe County(6,10)",28095,***,147.2,124.9,172.5,33,stable,-6.7,-24.4,15
"Panola County(6,10)",28107,***,146.9,122.5,174.8,27,stable,-8.8,-27.5,14.7
"Adams County(6,10)",28001,***,146.7,123.3,173.4,29,stable,3.3,-18,30.1
"Coahoma County(6,10)",28027,***,146.3,116.3,181.8,18,stable,7.1,-8.5,25.3
"Humphreys County(6,10)",28053,***,141.2,96.6,200.4,7,stable,-5.6,-37.3,41.9
"Winston County(6,10)",28159,***,141.2,111.8,176.5,16,stable,1.4,-13.8,19.2
"Hinds County(6,10)",28049,***,140.7,130.9,151.2,163,stable,-4.9,-14.6,5.8
"Jasper County(6,10)",28061,***,139.7,111.2,174.4,17,stable,-3.1,-28.3,30.9
"Quitman County(6,10)",28119,***,139.2,94.4,199.7,7,stable,13,-26,72.5
"Stone County(6,10)",28131,***,138.9,107.7,176.8,15,stable,-11.7,-40.2,30.4
"Webster County(6,10)",28155,***,137.6,99.4,187.1,9,stable,-13.2,-31.8,10.5
"Marshall County(6,10)",28093,***,136.7,115.5,161,31,stable,-7.3,-27.2,18
"Lincoln County(6,10)",28085,***,135,112.7,160.6,27,stable,-11.4,-26,6.1
"Lafayette County(6,10)",28071,***,134.9,113.6,158.9,30,stable,-2.9,-22.3,21.3
"Copiah County(6,10)",28029,***,133.5,109.4,161.5,23,stable,-9.9,-28.6,13.7
"Yazoo County(6,10)",28163,***,132.6,105.8,164.2,18,stable,-5.8,-14.6,4
"Washington County(6,10)",28151,***,130.9,111.3,153,34,stable,-0.7,-28.6,38
"Pontotoc County(6,10)",28115,***,130.7,106.8,158.5,22,stable,2.1,-15.3,23.1
"Scott County(6,10)",28123,***,129.9,104.8,159.4,19,stable,-6.8,-18,5.9
"Noxubee County(6,10)",28103,***,127.5,90,175.9,8,stable,-6.4,-43.7,55.4
"Madison County(6,10)",28089,***,126.9,112.7,142.3,64,stable,5.4,-11.1,24.9
"Jackson County(6,10)",28059,***,123.3,112.6,134.9,103,stable,-6,-22,13.3
"Newton County(6,10)",28101,***,123.1,96.8,154.7,15,stable,-1.4,-19.3,20.3
"DeSoto County(6,10)",28033,***,121,110.1,132.7,98,stable,2.1,-5.4,10.3
"Choctaw County(6,10)",28019,***,118.8,81.5,169.3,7,stable,-4.4,-28,26.8
"Tate County(6,10)",28137,***,118.3,94.9,146,19,stable,4.9,-21.5,40.4
"Lawrence County(6,10)",28077,***,117.4,83.6,160.9,9,stable,-20.9,-48,20.3
"Harrison County(6,10)",28047,***,116.6,107.2,126.6,120,stable,-8,-21.8,8.3
"Perry County(6,10)",28111,***,115.7,82.8,158.4,9,rising,21.2,5.1,39.8
"Benton County(6,10)",28009,***,113.8,77,163.9,6,falling,-17.6,-26,-8.3
"Clarke County(6,10)",28023,***,113.8,87,147.2,13,stable,2.2,-28.3,45.6
"Claiborne County(6,10)",28021,***,113.4,75.8,164.9,6,stable,-4.7,-63.1,146.7
"Carroll County(6,10)",28015,***,112.8,80.4,155.6,9,stable,9.7,-15,41.7
"Pearl River County(6,10)",28109,***,112.5,97.4,129.6,41,stable,-6.3,-19.5,9.1
"Union County(6,10)",28145,***,112.5,89.7,139.5,17,stable,-20.1,-36.6,0.7
"Oktibbeha County(6,10)",28105,***,111.4,91,135.1,21,stable,4.5,-11.1,22.9
"Tishomingo County(6,10)",28141,***,109.5,85.2,139.3,15,stable,-4.9,-29.4,28
"Lauderdale County(6,10)",28075,***,106.7,93.4,121.4,48,stable,-2.4,-24.4,26
"Itawamba County(6,10)",28057,***,106.7,83.7,134.4,15,falling,-19.8,-31.7,-5.8
"Smith County(6,10)",28129,***,106,78.7,140.4,11,stable,9,-3.7,23.4
"Hancock County(6,10)",28045,***,104.7,88.7,123,32,stable,3.3,-18.7,31.2
"Simpson County(6,10)",28127,***,103.3,81.8,128.9,17,stable,-1.6,-26.4,31.4
