Incidence Rate Report for Missouri by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Missouri(6,10)",29000,***,98,96.5,99.5,3455,stable,-6.9,-14.1,0.8
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Mississippi County(6,10)",29133,***,142.6,107.8,185.3,12,stable,22.4,-5.1,58
"St. Louis County(6,10)",29189,***,128.4,124.2,132.6,763,stable,-4.9,-13.5,4.4
"St. Charles County(6,10)",29183,***,123.2,116.3,130.5,247,stable,-5.7,-11.9,1
"Pettis County(6,10)",29159,***,119.9,100.6,141.8,28,stable,4.1,-12.8,24.4
"St. Louis City(6,10)",29510,***,119.4,111.3,127.9,181,stable,-6.3,-15.5,4
"Stoddard County(6,10)",29207,***,118.6,98,142.6,24,stable,-0.2,-15.5,17.9
"Iron County(6,10)",29093,***,118.3,85.6,161.4,9,stable,-13.2,-49.7,49.9
"New Madrid County(6,10)",29143,***,117.8,90.5,151.3,13,stable,-9.9,-41.2,38
"Scott County(6,10)",29201,***,117.4,97.8,140,26,stable,-4.9,-24.7,20.2
"Montgomery County(6,10)",29139,***,115.9,86.4,153.8,11,stable,-12.3,-45.5,41
"Pike County(6,10)",29163,***,113.2,87.5,144.4,14,stable,-9.9,-40,35.3
"Cape Girardeau County(6,10)",29031,***,108.8,95.2,123.9,47,stable,-8.6,-16.6,0
"Audrain County(6,10)",29007,***,108.4,86.1,135.2,17,stable,-7.7,-24.4,12.7
"Grundy County(6,10)",29079,***,107.5,75.6,150,8,stable,-8.2,-32.8,25.3
"Webster County(6,10)",29225,***,107,87.9,129.2,23,stable,-10.2,-29.9,14.9
"Gentry County(6,10)",29075,***,106.9,69.1,160.7,5,stable,-25.8,-58.3,32.2
"Callaway County(6,10)",29027,***,106.8,89.2,126.9,28,stable,-10.6,-26.2,8.4
"Boone County(6,10)",29019,***,106.5,95.6,118.2,76,falling,-16.1,-23.5,-8
"Laclede County(6,10)",29105,***,106,87.4,127.6,23,stable,-5.8,-26.2,20.4
"Chariton County(6,10)",29041,***,104.7,68.3,155.8,6,falling,-27.1,-40.8,-10.3
"Ralls County(6,10)",29173,***,104,72.5,146.3,8,falling,-28.9,-49.2,-0.5
"Pulaski County(6,10)",29169,***,103.8,81.8,129.5,17,stable,-1.8,-33.4,44.7
"Marion County(6,10)",29127,***,102.7,81.9,127.3,18,stable,-3.8,-19.7,15.1
"Benton County(6,10)",29015,***,102.1,82.4,127,20,stable,-8.2,-31.5,23
"Linn County(6,10)",29115,***,101.9,74,138.2,9,stable,-16.2,-47.9,34.9
"Livingston County(6,10)",29117,***,101.1,74.2,135.8,10,stable,-5,-33,34.8
"Buchanan County(6,10)",29021,***,100.8,88.2,114.7,48,stable,-4.9,-13.5,4.5
"Ray County(6,10)",29177,***,100.3,78.7,126.6,15,stable,-9.9,-31.8,19
"Warren County(6,10)",29219,***,100.3,82.2,121.5,22,stable,-19.3,-38.8,6.5
"Gasconade County(6,10)",29073,***,100,75.4,131.4,11,stable,-9.3,-30.1,17.6
"Greene County(6,10)",29077,***,98.7,91.7,106.2,150,stable,-8,-18.8,4.2
"Carroll County(6,10)",29033,***,98.6,66.9,142.2,6,stable,15.4,-13.2,53.4
"Caldwell County(6,10)",29025,***,97.4,65.8,140.7,6,stable,-10.1,-44.5,45.4
"Clark County(6,10)",29045,***,96.5,61.5,147,5,stable,13.4,-21.4,63.6
"Stone County(6,10)",29209,***,95.6,80.5,113.9,30,stable,-9.4,-21.8,5
"Jefferson County(6,10)",29099,***,95.6,87.8,103.9,122,stable,-5.6,-14,3.6
"Monroe County(6,10)",29137,***,94.4,64.4,136.2,7,stable,0,-14.6,17
"Andrew County(6,10)",29003,***,94.3,70,125.1,11,falling,-20.9,-35.4,-3.1
"Clay County(6,10)",29047,***,94.1,86.1,102.7,109,falling,-16.3,-21.7,-10.7
"Barton County(6,10)",29011,***,93.9,65.8,131,7,stable,2.6,-12.9,20.9
"Platte County(6,10)",29165,***,93.6,81.6,106.9,49,stable,-12.4,-28.9,7.9
"Johnson County(6,10)",29101,***,93.5,77.2,112.1,24,falling,-23.5,-37.6,-6.3
"Daviess County(6,10)",29061,***,93.3,61,138.6,6,stable,1.5,-32.8,53.3
"Nodaway County(6,10)",29147,***,93,70.1,121.6,11,stable,-17.6,-36.3,6.6
"Putnam County(6,10)",29171,***,91.5,53.8,150.9,4,stable,-28.6,-68.1,59.8
"Harrison County(6,10)",29081,***,91.2,60.1,134.5,6,*,*,*,*
"Cole County(6,10)",29051,***,91,78.7,104.8,42,falling,-9.1,-15.9,-1.7
"Franklin County(6,10)",29071,***,90.8,80.3,102.3,58,stable,-0.7,-16,17.4
"Dallas County(6,10)",29059,***,90.7,68.2,119.4,11,stable,1.5,-16.9,23.9
"Pemiscot County(6,10)",29155,***,90.5,64.9,123.1,9,stable,-0.4,-38.8,61.8
"Lafayette County(6,10)",29107,***,90.2,73.2,110.3,20,stable,-7.3,-26.9,17.7
"Vernon County(6,10)",29217,***,89.6,68.5,115.9,12,falling,-15.5,-28.4,-0.3
"Butler County(6,10)",29023,***,89.5,74.4,107.1,25,stable,-7.2,-21.1,9.2
"Lincoln County(6,10)",29113,***,88.9,73.6,106.6,25,stable,-9.7,-26.8,11.4
"Ste. Genevieve County(6,10)",29186,***,87.1,65.3,114.8,11,stable,-11.2,-42.8,37.9
"Adair County(6,10)",29001,***,87.1,64.7,114.9,10,stable,-22,-40.4,2.2
"Ripley County(6,10)",29181,***,87.1,63.1,118.4,9,falling,-15.8,-26.9,-2.9
"Shelby County(6,10)",29205,***,87,49.8,143.5,3,*,*,*,*
"Christian County(6,10)",29043,***,86.8,74.7,100.4,38,falling,-6.5,-11.4,-1.3
"Crawford County(6,10)",29055,***,86.5,67.9,109.3,15,stable,-10.4,-22.7,3.9
"Osage County(6,10)",29151,***,86.5,61.3,119.5,8,stable,-14,-46.2,37.5
"Polk County(6,10)",29167,***,86.2,68.3,107.7,16,stable,-13.1,-33.8,14.3
"Jasper County(6,10)",29097,***,86.1,75.7,97.4,52,stable,9.6,-16.2,43.3
"McDonald County(6,10)",29119,***,85.5,62.9,113.7,10,stable,-1,-34.4,49.4
"Madison County(6,10)",29123,***,83.4,57.8,117.7,7,stable,-5.4,-22.2,15
"DeKalb County(6,10)",29063,***,83.1,56.2,118.6,6,stable,-19.2,-41.5,11.5
"Jackson County(6,10)",29095,***,81.7,77.4,86.1,293,stable,-5.7,-15.1,4.7
"St. Francois County(6,10)",29187,***,81.4,69,95.4,32,stable,-7.4,-21,8.7
"Clinton County(6,10)",29049,***,81.1,61,106.2,11,stable,-6.6,-28.3,21.6
"Saline County(6,10)",29195,***,80.8,61,105.4,12,falling,-14.2,-25.4,-1.3
"Taney County(6,10)",29213,***,80.7,68.3,94.9,31,stable,-0.7,-10.1,9.7
"Lawrence County(6,10)",29109,***,79.8,64.6,97.7,20,stable,-7.1,-24.1,13.8
"Wayne County(6,10)",29223,***,79.6,57.4,109.3,9,stable,0.9,-36.6,60.6
"Sullivan County(6,10)",29211,***,79.5,46,130.2,3,*,*,*,*
"Camden County(6,10)",29029,***,77.5,65.3,91.9,32,falling,-13.9,-23.6,-2.9
"Bates County(6,10)",29013,***,76.9,54.7,105.8,8,stable,-14.8,-41.8,25
"Howard County(6,10)",29089,***,76.8,49.4,115.2,5,stable,-9.6,-33.1,22.1
"Macon County(6,10)",29121,***,76.7,55.3,104.7,9,stable,-21.8,-50,22.4
"Miller County(6,10)",29131,***,76.6,59,98.3,13,rising,13.2,5.4,21.6
"Dade County(6,10)",29057,***,76.2,49,116.8,5,stable,0.9,-31,47.5
"Perry County(6,10)",29157,***,76.1,55.5,102.5,9,stable,-2.2,-32.1,40.7
"Randolph County(6,10)",29175,***,75.9,56.8,99.5,11,stable,-12.7,-40.9,28.8
"Cooper County(6,10)",29053,***,75.5,53.6,103.8,8,stable,4.4,-34,65.2
"Morgan County(6,10)",29141,***,75.5,58.4,97.2,14,stable,-15.2,-33.1,7.5
"Washington County(6,10)",29221,***,74.8,57.2,96.6,13,stable,-2.9,-23.2,22.7
"Henry County(6,10)",29083,***,74.4,56.5,97,12,stable,-16.3,-33.2,4.9
"Atchison County(6,10)",29005,***,73.5,43,123.6,4,stable,-0.1,-26.7,36.2
"Reynolds County(6,10)",29179,***,73.3,45.2,117.1,4,*,*,*,*
"Douglas County(6,10)",29067,***,73,51.2,102.6,8,stable,-5.3,-21.7,14.4
"Shannon County(6,10)",29203,***,72.5,43.2,116.2,4,stable,-31.4,-76.5,100.5
"Moniteau County(6,10)",29135,***,71,48.7,100.4,7,stable,-12,-39.1,27.1
"Barry County(6,10)",29009,***,70.7,57,87.1,19,stable,-7.2,-37.1,37
"Cedar County(6,10)",29039,***,70.6,50.3,98.1,8,stable,-14.4,-40.9,24
"Wright County(6,10)",29229,***,70.5,51.3,95.3,9,stable,-13.5,-30,6.9
"Bollinger County(6,10)",29017,***,69.4,46.8,100.7,6,stable,-16.3,-39.9,16.6
"Phelps County(6,10)",29161,***,67.8,53.8,84.5,17,stable,-3.6,-24,22.3
"Ozark County(6,10)",29153,***,65.9,43.7,99.2,6,stable,-12.3,-41.5,31.4
"Dunklin County(6,10)",29069,***,65.9,50.3,85.2,12,stable,-5,-22.4,16.3
"Dent County(6,10)",29065,***,59.3,41.2,84.1,7,stable,18.4,-5.4,48.2
"Newton County(6,10)",29145,***,58.1,47.4,70.7,21,stable,-2,-20.1,20.3
"Cass County(6,10)",29037,***,56.1,47.8,65.6,33,stable,-5.2,-20.2,12.5
"Texas County(6,10)",29215,***,54.9,40.9,72.8,10,stable,-9,-37.4,32.2
"St. Clair County(6,10)",29185,***,51.9,32.3,82.6,4,stable,-5.7,-33.3,33.3
"Hickory County(6,10)",29085,***,51.5,32.6,83.1,5,stable,-11.5,-39.5,29.6
"Maries County(6,10)",29125,***,50.7,29.4,84.1,3,*,*,*,*
"Howell County(6,10)",29091,***,49.8,38.3,64,13,stable,2,-5.1,9.6
"Carter County(6,10)",29035,***,* ,*, *,3 or fewer,*,*,*,*
"Holt County(6,10)",29087,***,* ,*, *,3 or fewer,*,*,*,*
"Knox County(6,10)",29103,***,* ,*, *,3 or fewer,*,*,*,*
"Lewis County(6,10)",29111,***,* ,*, *,3 or fewer,*,*,*,*
"Mercer County(6,10)",29129,***,* ,*, *,3 or fewer,*,*,*,*
"Oregon County(6,10)",29149,***,* ,*, *,3 or fewer,*,*,*,*
"Schuyler County(6,10)",29197,***,* ,*, *,3 or fewer,*,*,*,*
"Scotland County(6,10)",29199,***,* ,*, *,3 or fewer,*,*,*,*
"Worth County(6,10)",29227,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:58 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
