Incidence Rate Report for North Carolina by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"North Carolina(6,10)",37000,Yes,37.5,37,38,4176,stable,-1,-2.8,0.9
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Washington County(6,10)",37187,No,62.4,46.9,82.1,12,stable,5.9,-34.8,72.1
"Swain County(6,10)",37173,No,59.4,44,78.8,11,stable,-13.9,-34,12.5
"Warren County(6,10)",37185,No,52,40.4,66.2,15,stable,-1.1,-24.7,29.8
"Vance County(6,10)",37181,No,50.8,42.4,60.4,27,stable,-3.1,-19.3,16.4
"Anson County(6,10)",37007,No,49.2,38.8,61.6,16,stable,-0.8,-22.8,27.5
"Scotland County(6,10)",37165,No,47.9,38.7,58.6,20,stable,7.3,-17.1,38.9
"Martin County(6,10)",37117,No,47.7,37.8,59.8,17,stable,5.7,-10.1,24.4
"Granville County(6,10)",37077,No,47.6,40.4,55.7,33,stable,-5,-21,14.2
"Burke County(6,10)",37023,No,47.4,41.9,53.5,57,stable,-3.1,-16.5,12.5
"Rockingham County(6,10)",37157,No,47.2,42,53.1,61,stable,-3.2,-19.4,16.3
"Northampton County(6,10)",37131,No,47,36.5,60,15,stable,4.1,-18.2,32.6
"McDowell County(6,10)",37111,No,46.9,39.2,55.8,28,stable,-2.6,-23.2,23.4
"Bladen County(6,10)",37017,No,46.2,37.7,56.1,23,stable,-8,-27.7,17.2
"Cleveland County(6,10)",37045,No,45.8,40.5,51.7,56,stable,1.2,-15.7,21.5
"Person County(6,10)",37145,No,45.8,37.5,55.5,23,stable,0,-19.8,24.6
"Lee County(6,10)",37105,No,45.5,38.4,53.4,31,stable,-3.2,-17.6,13.7
"Pasquotank County(6,10)",37139,No,45.3,36.9,55.2,21,stable,0.6,-11.4,14.2
"Macon County(6,10)",37113,No,45.3,36.8,55.3,25,stable,0.5,-15,18.7
"Hertford County(6,10)",37091,No,45,35.1,57.1,15,stable,5.1,-8.1,20.1
"Lenoir County(6,10)",37107,No,44.8,38.1,52.4,34,stable,-3.2,-21.6,19.5
"Caswell County(6,10)",37033,No,44.4,34.5,56.7,15,stable,4.2,-29.4,53.7
"Montgomery County(6,10)",37123,No,44.4,35,55.7,16,stable,-10.5,-47.7,53.1
"Richmond County(6,10)",37153,No,44.2,36.7,52.9,25,stable,-0.8,-9.3,8.5
"Halifax County(6,10)",37083,No,44,37.2,51.9,31,stable,-2.1,-14.5,12.2
"Pamlico County(6,10)",37137,No,43.6,31.2,60.3,9,stable,44.2,-12.5,137.4
"Rutherford County(6,10)",37161,No,43.5,37.5,50.2,40,stable,-0.2,-12.5,13.7
"Clay County(6,10)",37043,No,43.4,30.2,61.9,8,stable,25.2,-32.5,132.3
"Gaston County(6,10)",37071,No,43.3,39.7,47.3,105,stable,-1,-8.1,6.6
"Caldwell County(6,10)",37027,No,43.2,37.6,49.4,46,stable,0.1,-15.5,18.4
