Incidence Rate Report for North Carolina by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"North Carolina(6,10)",37000,***,120.9,119.5,122.2,6583,stable,-6.2,-13.6,1.9
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Hoke County(6,10)",37093,***,160.8,134,191.3,30,falling,-21,-33.6,-6.1
"Scotland County(6,10)",37165,***,160.8,136.4,188.3,34,stable,-10,-25.3,8.5
"Hertford County(6,10)",37091,***,155.8,129,187,25,stable,-7.5,-22.2,10
"Robeson County(6,10)",37155,***,144.2,131.3,158.2,101,falling,-17.1,-23.2,-10.5
"Guilford County(6,10)",37081,***,143.6,137.1,150.4,379,stable,-6.2,-18.5,7.9
"Camden County(6,10)",37029,***,142.1,102,194,9,stable,2.8,-22.2,35.9
"Pasquotank County(6,10)",37139,***,139.4,118.1,163.6,32,stable,-5.9,-21.6,12.8
"Columbus County(6,10)",37047,***,139.2,121.8,158.6,50,falling,-13.2,-17.6,-8.5
"Cumberland County(6,10)",37051,***,138.2,129.2,147.7,188,stable,-7.6,-15.4,1
"Mecklenburg County(6,10)",37119,***,138.1,132.8,143.6,566,stable,-0.8,-10.6,10
"Lenoir County(6,10)",37107,***,138,121,157,50,stable,-0.8,-19.3,21.8
"Jones County(6,10)",37103,***,138,101.3,185.3,10,stable,-5,-37,43.2
"Northampton County(6,10)",37131,***,137.5,112.2,167.8,22,falling,-13.3,-20.7,-5.1
"Forsyth County(6,10)",37067,***,137.4,129.9,145.2,264,falling,-7.6,-10.9,-4.2
"Bertie County(6,10)",37015,***,135.9,109.7,167.3,19,stable,-2.8,-24.2,24.7
"Randolph County(6,10)",37151,***,135.1,123.9,147.1,114,stable,-5.9,-12.9,1.6
"Halifax County(6,10)",37083,***,135,117.6,154.4,45,stable,-10,-25.9,9.5
"Perquimans County(6,10)",37143,***,133.6,103,172,14,stable,-9,-34.8,27
"Wayne County(6,10)",37191,***,132.8,120.2,146.4,86,falling,-5.3,-8.7,-1.7
"Rockingham County(6,10)",37157,***,132.8,119.9,146.8,82,stable,-8.9,-18,1.2
"Lee County(6,10)",37105,***,130.7,113.2,150.2,43,stable,-2.8,-16.9,13.7
"Wake County(6,10)",37183,***,129.9,124.7,135.1,544,stable,-3.1,-17.1,13.2
"Montgomery County(6,10)",37123,***,129.5,106.1,156.9,23,stable,-8.6,-39.4,38
