Incidence Rate Report for North Dakota by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"North Dakota(6,10)",38000,***,121,116.2,126,497,stable,-4.2,-15.6,8.7
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Emmons County(6,10)",38029,***,176.7,115.7,269.6,6,stable,0.5,-42.1,74.5
"Mercer County(6,10)",38057,***,173.1,128.4,230.1,11,stable,-12,-47,46.1
"Grant County(6,10)",38037,***,158.7,95.2,269.2,4,stable,13.6,-33.1,92.8
"Hettinger County(6,10)",38041,***,158.1,93.2,265.2,4,falling,-34.5,-48.7,-16.2
"Morton County(6,10)",38059,***,155.5,129.7,185.2,27,stable,4.2,-14.2,26.5
"Bottineau County(6,10)",38009,***,148.6,104.1,208.6,8,stable,-6.1,-32.6,30.8
"McIntosh County(6,10)",38051,***,144.7,86.5,244.1,4,stable,23.9,-3.7,59.2
"Cavalier County(6,10)",38019,***,137.8,88.5,213.5,5,stable,9.1,-8.9,30.6
"Stark County(6,10)",38089,***,137.8,111.5,168.4,20,stable,1.4,-29.5,45.9
"Ransom County(6,10)",38073,***,136.4,88.7,203.8,5,stable,-17.5,-59.9,69.8
"Burleigh County(6,10)",38015,***,136.4,121.6,152.5,65,stable,-1.5,-13.2,11.8
"Stutsman County(6,10)",38093,***,136,109.5,167.3,19,stable,-18.1,-34.2,2
"McHenry County(6,10)",38049,***,135.8,91.3,197.4,6,stable,-32.2,-60.5,16.3
"McLean County(6,10)",38055,***,134.3,100.1,178.8,11,stable,2.2,-27.5,44.1
"LaMoure County(6,10)",38045,***,132,81.2,208.8,5,stable,8.1,-33.8,76.6
"Wells County(6,10)",38103,***,122.6,78.5,191.9,5,stable,-5.6,-34.7,36.6
"Traill County(6,10)",38097,***,121.8,82.7,174.4,6,stable,-7.9,-43.5,50.3
"Ward County(6,10)",38101,***,121.5,104.6,140.2,39,stable,-8,-29.6,20.3
"Cass County(6,10)",38017,***,120.5,109.4,132.5,92,stable,5.2,-19.8,37.9
"Ramsey County(6,10)",38071,***,114.4,84,153.6,10,stable,1.7,-7.9,12.4
"Grand Forks County(6,10)",38035,***,113.6,97,132.2,36,falling,-14.3,-25.8,-1
"Mountrail County(6,10)",38061,***,111,71.5,164.1,5,stable,-5.4,-30.6,28.9
