Incidence Rate Report for Ohio by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Ohio(6,10)",39000,No,41.7,41.2,42.2,5786,stable,0.3,-1.6,2.3
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Guernsey County(6,10)",39059,No,63.3,53.6,74.4,32,stable,-0.9,-15.8,16.5
"Marion County(6,10)",39101,No,57.1,49.9,65.1,47,stable,2.1,-18.3,27.6
"Van Wert County(6,10)",39161,No,55.5,45.2,67.7,21,stable,-0.5,-10.2,10.2
"Adams County(6,10)",39001,No,54,43.5,66.5,19,stable,3.4,-19.2,32.4
"Mercer County(6,10)",39107,No,53.2,44.5,63.2,28,stable,-5.9,-21.9,13.4
"Darke County(6,10)",39037,No,51.9,44.5,60.3,37,stable,-0.4,-23.5,29.6
"Brown County(6,10)",39015,No,50.5,42.4,59.9,28,stable,-5.5,-16.4,6.8
"Preble County(6,10)",39135,No,50.2,41.7,59.9,26,stable,1.1,-5.6,8.3
"Athens County(6,10)",39009,No,49.9,42,59,29,stable,-8.2,-26.1,14.1
"Erie County(6,10)",39043,No,49.9,44,56.4,55,stable,2.3,-18.2,27.8
"Morrow County(6,10)",39117,No,49.5,40.3,60.3,21,stable,-9.7,-18.9,0.6
"Hocking County(6,10)",39073,No,49.2,39.2,61.1,17,stable,7.8,-17,40.1
"Highland County(6,10)",39071,No,48.7,40.5,58.1,26,stable,-3.6,-23.2,21
"Sandusky County(6,10)",39143,No,48.3,41.5,56,38,stable,-1,-8.9,7.7
"Mahoning County(6,10)",39099,No,48.2,44.8,51.8,159,stable,2.1,-5.3,10.2
"Hardin County(6,10)",39065,No,48.1,38.4,59.6,17,stable,8.6,-15.4,39.4
"Holmes County(6,10)",39075,No,48,38.9,58.6,20,stable,-0.6,-20,23.5
"Henry County(6,10)",39069,No,47.6,37.9,59.1,17,stable,7.1,-6.3,22.3
"Fulton County(6,10)",39051,No,47.5,39.2,57.1,24,stable,4.6,-9.3,20.7
"Ashland County(6,10)",39005,No,47.4,40.3,55.4,33,stable,2.1,-25.5,39.9
"Columbiana County(6,10)",39029,No,47.1,42,52.6,67,stable,-0.3,-16.7,19.4
