Incidence Rate Report for Tennessee by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Tennessee(6,10)",47000,No,40.4,39.7,41.1,3024,stable,-0.6,-3.9,2.7
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Trousdale County(6,10)",47169,No,70,48,99.2,7,stable,3.6,-50,114.6
"Grundy County(6,10)",47061,No,63.3,47.2,83.5,11,stable,-2.5,-26.4,29.2
"Lauderdale County(6,10)",47097,No,63,50.6,77.6,19,stable,0.7,-9.8,12.3
"Stewart County(6,10)",47161,No,59.4,43.7,79.3,10,stable,-3.8,-26.9,26.8
"Perry County(6,10)",47135,No,57.5,38,84.1,6,stable,2.8,-36.8,67.2
"Dickson County(6,10)",47043,No,55.6,47.2,65.1,32,stable,2,-11.5,17.5
"Overton County(6,10)",47133,No,55.5,43.8,69.7,16,stable,5.8,-14.7,31.3
"Haywood County(6,10)",47075,No,54.3,41.4,70.3,13,stable,-6.6,-25.3,16.7
"Smith County(6,10)",47159,No,53.9,41,69.9,12,stable,-4.4,-23.1,18.8
"Pickett County(6,10)",47137,No,52.3,31.7,84,4,stable,12.2,-9.8,39.7
"Giles County(6,10)",47055,No,51.2,41.5,62.7,20,falling,-10.7,-17.1,-3.9
"McNairy County(6,10)",47109,No,50.3,40,62.8,17,stable,-2.7,-33.9,43.4
"Clay County(6,10)",47027,No,49.8,33.2,73.3,6,stable,4,-35.5,67.6
"Marshall County(6,10)",47117,No,49.7,39.8,61.5,18,stable,-0.1,-21.9,27.8
"Fentress County(6,10)",47049,No,49.5,37.4,64.7,12,stable,3.6,-21,35.9
"Lincoln County(6,10)",47103,No,49.5,40.4,60.3,22,stable,-8.9,-29,16.9
"Houston County(6,10)",47083,No,49,31.2,73.8,5,stable,7.3,-19.6,43.2
"Claiborne County(6,10)",47025,No,48.6,39.1,59.9,19,stable,1.8,-13.5,19.8
"Henderson County(6,10)",47077,No,48.3,38.4,60.2,17,stable,5.3,-24.1,46
"Decatur County(6,10)",47039,No,47.3,34.1,64.9,9,stable,5.6,-30.1,59.6
"Van Buren County(6,10)",47175,No,46.7,27.1,76.7,4,stable,-21.2,-60.4,57
"Meigs County(6,10)",47121,No,46.6,32.3,65.7,7,stable,-5.2,-21.8,14.9
"Rhea County(6,10)",47143,No,46.3,37.2,57,19,stable,-0.1,-27.8,38.3
"Jackson County(6,10)",47087,No,46.3,31.7,65.8,7,stable,-12.9,-40.5,27.3
"Scott County(6,10)",47151,No,45.8,34.6,59.6,12,stable,-16.1,-33,5.2
"Franklin County(6,10)",47051,No,45.7,37.9,54.8,25,stable,-2.9,-33.3,41.3
