Incidence Rate Report for Texas by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Texas(6,10)",48000,***,95.4,94.6,96.2,11572,falling,-6.1,-9.5,-2.6
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Sutton County(6,10)",48435,***,149.4,85.8,243.7,4,stable,14.3,-12.5,49.3
"Coke County(6,10)",48081,***,137,81.2,227.7,4,stable,-12.8,-44.9,38
"Wheeler County(6,10)",48483,***,134.1,86.4,201.3,5,stable,-6.9,-53.3,85.3
"Washington County(6,10)",48477,***,132,112.1,154.7,32,stable,-3.8,-8.6,1.2
"Terry County(6,10)",48445,***,130.4,93.9,176.4,9,stable,-3.4,-39,53.1
"Angelina County(6,10)",48005,***,130.2,116,145.7,63,stable,-6.4,-13.6,1.5
"Gregg County(6,10)",48183,***,129.1,116.7,142.5,82,stable,1.9,-10.3,15.7
"Lee County(6,10)",48287,***,128.7,100.2,163.5,14,stable,9.5,-29,69
"McCulloch County(6,10)",48307,***,125.7,89.2,174.6,8,stable,22.2,-7.9,62
"Dawson County(6,10)",48115,***,124.9,89.8,168.9,8,stable,-19.5,-49.6,28.5
"Lamar County(6,10)",48277,***,124.1,107.2,143.1,40,stable,-8.4,-31.9,23.3
"El Paso County(6,10)",48141,***,123.8,118.5,129.3,419,stable,-2.5,-7,2.2
"Polk County(6,10)",48373,***,123.8,107.6,142,45,falling,-10.4,-17.9,-2.3
"Sabine County(6,10)",48403,***,120.6,91.6,159.6,13,stable,1.9,-18.3,27.2
"Lubbock County(6,10)",48303,***,120,111.4,128.9,153,falling,-9.6,-15.3,-3.5
"Gray County(6,10)",48179,***,119.8,94.9,149.4,16,stable,-6.6,-30.8,26.1
"Parmer County(6,10)",48369,***,119.6,78.5,174.1,6,stable,-2.8,-44,68.8
"Falls County(6,10)",48145,***,117.9,90.7,151.4,13,stable,-7.5,-41.1,45.1
"Brazos County(6,10)",48041,***,115.5,103.9,127.9,77,falling,-10.4,-16.8,-3.5
"Milam County(6,10)",48331,***,115.4,93.3,141.8,19,stable,4.8,-18.3,34.4
"Randall County(6,10)",48381,***,115.3,103.5,128,74,stable,-6,-22,13.4
"Morris County(6,10)",48343,***,114.6,85,152.4,10,stable,-10.6,-40.9,35.4
"Austin County(6,10)",48015,***,114.1,93.3,138.5,22,stable,2.6,-13.4,21.5
"Wilbarger County(6,10)",48487,***,113.4,82.2,153.3,9,stable,-9.2,-33.3,23.6
"Red River County(6,10)",48387,***,113.1,84.8,149.7,11,stable,-15,-28.8,1.5
"Mitchell County(6,10)",48335,***,112.5,72.9,165.7,5,stable,14,-36.7,105.5
"Potter County(6,10)",48375,***,111,98.6,124.5,62,stable,-4.6,-20.4,14.5
"Tarrant County(6,10)",48439,***,110.9,107.5,114.4,902,falling,-5,-9.3,-0.4
"Bell County(6,10)",48027,***,110.4,102.1,119.1,139,stable,2.1,-3.2,7.6
"Starr County(6,10)",48427,***,109.9,92,130.2,27,stable,14.1,-10.7,45.9
"Hopkins County(6,10)",48223,***,109.4,90.8,131,25,stable,-7.2,-27.7,19.1
"Robertson County(6,10)",48395,***,108.9,82.7,141.6,12,stable,-11,-30.7,14.2
"Childress County(6,10)",48075,***,108.6,64.7,170.6,4,stable,-10,-38.3,31.3
"Marion County(6,10)",48315,***,107.1,77.7,146.8,9,falling,-16.8,-24.3,-8.5
"Gillespie County(6,10)",48171,***,106.3,87.6,128.9,25,stable,-5.8,-24.2,17.1
"McLennan County(6,10)",48309,***,105.6,97.4,114.3,127,stable,-6.3,-21.6,12
"Kimble County(6,10)",48267,***,105.4,63.6,171.9,4,stable,4.4,-33.5,63.9
"Camp County(6,10)",48063,***,104.8,75.4,143,9,stable,-7.5,-23.6,12
"Denton County(6,10)",48121,***,104.5,98.7,110.6,293,stable,-8.3,-19.5,4.5
"Coryell County(6,10)",48099,***,104.5,87,124.3,27,stable,1,-12.7,16.9
"Tom Green County(6,10)",48451,***,104.2,93.1,116.4,65,stable,-7.2,-25.3,15.2
"Val Verde County(6,10)",48465,***,104.2,86.4,124.6,24,stable,-8.8,-24.1,9.7
"Matagorda County(6,10)",48321,***,104.1,85.7,125.6,24,stable,-4.4,-19.6,13.6
"Fort Bend County(6,10)",48157,***,103.8,98.1,109.7,307,falling,-6.2,-10.5,-1.7
"Scurry County(6,10)",48415,***,103.5,75.6,138.3,9,stable,-1.6,-15.3,14.4
"Freestone County(6,10)",48161,***,103.4,80,132.2,14,stable,-8.8,-41.9,43
"Delta County(6,10)",48119,***,103.2,63.4,163.9,4,stable,32.4,-13.8,103.2
"Harris County(6,10)",48201,***,102.5,100.2,104.8,1748,falling,-9.6,-13.8,-5.2
"Ellis County(6,10)",48139,***,102.2,91.8,113.5,78,stable,-6.1,-16.8,6
"Dallas County(6,10)",48113,***,102.2,99.2,105.2,1022,falling,-7.2,-11.4,-2.8
"Smith County(6,10)",48423,***,101.9,93.9,110.4,123,stable,4.9,-9.7,22
"Cherokee County(6,10)",48073,***,100.5,84.6,118.6,30,stable,2.2,-21.9,33.8
"Titus County(6,10)",48449,***,100.4,79.6,125,17,stable,-13.4,-32,10.4
"Nacogdoches County(6,10)",48347,***,100.3,85.1,117.5,33,stable,-7.3,-28.6,20.5
"Burnet County(6,10)",48053,***,100.1,85.1,117.3,33,stable,-3,-13.6,9.1
"Galveston County(6,10)",48167,***,99.8,92.6,107.3,159,stable,-4.3,-12.6,4.7
"Walker County(6,10)",48471,***,99.7,84.9,116.3,36,stable,-4.2,-16.4,9.7
"Madison County(6,10)",48313,***,99.3,69.9,137.1,8,stable,-11,-29.8,12.8
"Kerr County(6,10)",48265,***,98.9,85.6,114.2,42,falling,-10.1,-17.8,-1.6
"Grayson County(6,10)",48181,***,98.9,89,109.7,75,stable,-2.6,-16.8,14.1
"Deaf Smith County(6,10)",48117,***,98.7,70.6,134,8,stable,0.3,-32.7,49.6
"Brazoria County(6,10)",48039,***,98.5,91.3,106.2,152,stable,-3.1,-6.8,0.8
"Brewster County(6,10)",48043,***,97.4,67.1,139.1,7,stable,-2,-54.4,110.2
"San Augustine County(6,10)",48405,***,97.4,68.2,138.5,7,stable,-3,-40.2,57.5
"Williamson County(6,10)",48491,***,97.2,91,103.6,200,stable,-6.5,-13.1,0.5
"Jefferson County(6,10)",48245,***,97.1,89.6,105.1,130,stable,-6.8,-21.4,10.5
"Mills County(6,10)",48333,***,97.1,59.7,156.6,4,stable,-10.5,-24,5.4
"Johnson County(6,10)",48251,***,96.1,86.6,106.3,81,stable,-4.5,-12.5,4.3
"Lampasas County(6,10)",48281,***,96,73.8,123.4,13,stable,-0.4,-12.4,13.3
"Van Zandt County(6,10)",48467,***,95.5,81.9,111.1,36,stable,-10.6,-22.4,2.9
"Bowie County(6,10)",48037,***,95.5,83.9,108.3,51,falling,-17.1,-25.6,-7.7
"Howard County(6,10)",48227,***,95.1,75.9,117.5,18,stable,-16,-39.5,16.5
"Bailey County(6,10)",48017,***,95.1,57,149.8,4,stable,7.6,-19.1,43
"Jasper County(6,10)",48241,***,94.1,77.1,114.1,22,stable,-3.3,-23.4,22
"Taylor County(6,10)",48441,***,92.4,82.3,103.5,61,rising,12,1.9,23.2
"Lavaca County(6,10)",48285,***,92.4,71.7,118.1,14,stable,0,-13.6,15.7
"Kaufman County(6,10)",48257,***,92.2,80.4,105.3,49,stable,-10.2,-21.5,2.7
"Leon County(6,10)",48289,***,92.2,70.2,120.1,13,stable,-14.2,-37.2,17.3
"Bandera County(6,10)",48019,***,92.2,72.5,116.9,17,stable,-3.5,-20.8,17.7
"Limestone County(6,10)",48293,***,92.1,70.9,117.9,13,stable,-11.2,-34.6,20.7
"Collin County(6,10)",48085,***,92.1,87.4,97,337,stable,-6,-14.2,2.9
"Burleson County(6,10)",48051,***,92,69.6,120.2,12,stable,-19.2,-44.6,17.7
"Wood County(6,10)",48499,***,91.9,78.3,107.9,35,stable,-7.2,-23.6,12.6
"Hutchinson County(6,10)",48233,***,91.7,69.3,119.2,12,stable,4,-22.1,38.9
"Brown County(6,10)",48049,***,91.6,75.5,110.5,23,stable,1.1,-22.9,32.5
"Panola County(6,10)",48365,***,91.6,70.4,117.5,14,stable,-2.8,-35.8,47.3
