Incidence Rate Report for Utah by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Utah(3,8)",49000,Yes,30.6,29.6,31.7,730,falling,-3.1,-3.8,-2.3
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Carbon County(7,8)",49007,No,45.6,34.1,59.9,11,falling,-1.8,-3.2,-0.4
"Uintah County(7,8)",49047,No,44.8,34.2,57.5,12,stable,1.3,-0.4,3
"Grand County(7,8)",49019,No,44,27.6,66.9,5,stable,1.2,-1.7,4.2
"Duchesne County(7,8)",49013,No,43.6,30.5,60.2,7,stable,-0.7,-3,1.6
"Iron County(7,8)",49021,No,40.2,31.6,50.4,16,rising,20.4,6.2,36.5
"Millard County(7,8)",49027,Yes,38.8,24.7,58,5,stable,0.7,-1.8,3.3
Juab County(7),49023,Yes,34.4,19.5,55.9,3,*,*,*,*
Kane County(7),49025,Yes,33.8,19.3,56.3,4,*,*,*,*
"Weber County(7,8)",49057,Yes,32.4,29,36,69,falling,-2.9,-4.8,-0.9
"Utah County(7,8)",49049,Yes,32.1,29.5,35,109,stable,-0.8,-1.6,0.1
"Sanpete County(7,8)",49039,Yes,32,23,43.5,8,stable,-1.7,-3.8,0.4
"Washington County(7,8)",49053,Yes,31.6,27.8,35.7,58,falling,-2,-2.9,-1.2
"Tooele County(7,8)",49045,Yes,29.8,23.2,37.6,15,falling,-2.5,-3.8,-1.2
"Box Elder County(7,8)",49003,Yes,29.6,23.1,37.3,14,stable,-1.9,-4,0.3
"Salt Lake County(7,8)",49035,Yes,29.5,27.9,31.2,266,falling,-3.4,-4.4,-2.3
"Davis County(7,8)",49011,Yes,28.6,25.7,31.8,72,falling,-5.7,-9.4,-1.8
"Wasatch County(7,8)",49051,Yes,28.1,19,39.8,7,stable,-2.3,-4.8,0.4
"Sevier County(7,8)",49041,Yes,27.3,18.5,38.9,6,stable,-1.8,-4.2,0.5
"Cache County(7,8)",49005,Yes,27,22.1,32.5,22,falling,-2.4,-3.6,-1.1
Emery County(7),49015,Yes,25.6,14.4,42.3,3,*,*,*,*
"Summit County(7,8)",49043,Yes,17.9,11.7,26.2,6,stable,-1.9,-4.3,0.6
Beaver County(7),49001,***,* ,*, *,3 or fewer,*,*,*,*
Daggett County(7),49009,***,* ,*, *,3 or fewer,*,*,*,*
Garfield County(7),49017,***,* ,*, *,3 or fewer,*,*,*,*
Morgan County(7),49029,***,* ,*, *,3 or fewer,*,*,*,*
Piute County(7),49031,***,* ,*, *,3 or fewer,*,*,*,*
