Incidence Rate Report for Utah by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Utah(3,8)",49000,***,120.9,118.1,123.8,1426,falling,-8.5,-10.8,-6
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Tooele County(7,8)",49045,***,174.5,150.1,201.6,41,stable,-0.4,-1.8,1.1
"Washington County(7,8)",49053,***,145.6,134.9,157.1,142,falling,-1.4,-2.2,-0.5
"Davis County(7,8)",49011,***,140.4,130.9,150.5,171,stable,-8.3,-16.7,1
"Emery County(7,8)",49015,***,135.4,95.9,186.1,8,stable,-1.8,-4.2,0.6
"Utah County(7,8)",49049,***,131.2,123.1,139.6,205,stable,-2.8,-17,13.9
Beaver County(7),49001,***,130.1,79.4,200.9,4,*,*,*,*
"Weber County(7,8)",49057,***,123.4,114,133.4,133,falling,-9.8,-16.6,-2.4
"Kane County(7,8)",49025,***,123.1,84.9,175.9,7,falling,-3.4,-5.6,-1.2
"Garfield County(7,8)",49017,***,121.9,78.9,185,5,falling,-5.5,-8.5,-2.4
"Carbon County(7,8)",49007,***,121.4,94.6,153.7,15,falling,-2,-3.7,-0.3
"Summit County(7,8)",49043,***,119.4,96.4,146.2,24,falling,-2.5,-4.4,-0.6
"Morgan County(7,8)",49029,***,119.3,79.1,172.8,6,stable,-1.8,-4,0.4
"Box Elder County(7,8)",49003,***,117.6,99.2,138.5,29,falling,-6.7,-9.2,-4.1
"Iron County(7,8)",49021,***,113,93.5,135.4,25,falling,-3,-4.6,-1.4
