Incidence Rate Report for Virginia by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Virginia(6,10)",51000,***,58.9,58.1,59.6,5330,falling,-2.7,-5,-0.3
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Emporia City(6,10)",51595,***,101.6,71,142,7,rising,20.8,5.6,38.3
"Covington City(6,10)",51580,***,91.9,64,129.2,7,stable,-19.2,-40.2,9.1
"Louisa County(6,10)",51109,***,91.8,79.5,105.7,42,stable,4.9,-10.9,23.4
"Gloucester County(6,10)",51073,***,91.3,79.6,104.5,45,stable,-2.8,-15.3,11.5
"Hopewell City(6,10)",51670,***,89.6,74.3,107.3,24,stable,-5.5,-18.9,10.2
"Sussex County(6,10)",51183,***,89.3,69,114.4,13,stable,23.4,-0.2,52.4
"Petersburg City(6,10)",51730,***,89.1,76.3,103.5,36,stable,-6.3,-20.3,10.3
"King and Queen County(6,10)",51097,***,88.9,65.5,119.5,10,stable,0.5,-24.2,33.2
"King George County(6,10)",51099,***,88.2,71,108.1,20,stable,-12.4,-35.9,19.8
"Martinsville City(6,10)",51690,***,86.2,68.7,107.5,18,stable,-11.9,-54.3,69.7
"Smyth County(6,10)",51173,***,85.2,73.5,98.5,40,stable,-0.5,-7.2,6.6
"Essex County(6,10)",51057,***,84.6,65.4,108.4,14,stable,-5.7,-26.8,21.4
"Dinwiddie County(6,10)",51053,***,84.5,71.2,99.6,30,stable,-2.2,-28.1,33
"Fredericksburg City(6,10)",51630,***,83.7,67.2,102.8,18,stable,9.6,-18.3,47
"Bland County(6,10)",51021,***,83.6,59.3,116.2,8,stable,-5.5,-34.2,35.8
"Charlotte County(6,10)",51037,***,82.7,64.9,104.6,15,stable,10.8,-24.1,61.6
"Greensville County(6,10)",51081,***,82.2,62.7,106.4,12,rising,25.9,12,41.5
"Westmoreland County(6,10)",51193,***,81.7,67.4,98.9,24,stable,-4,-12.4,5.2
"Radford City(6,10)",51750,***,80.3,58.1,108.2,9,stable,-0.4,-18.8,22.2
"Accomack County(6,10)",51001,***,80.1,69.4,92.2,42,stable,-4,-10.8,3.4
"Prince George County(6,10)",51149,***,80,67.3,94.4,30,stable,0.6,-11.9,14.9
"Mecklenburg County(6,10)",51117,***,79.9,69,92.4,42,stable,-5.9,-24,16.4
"Dickenson County(6,10)",51051,***,79.9,63.7,99.5,17,stable,4,-16.5,29.7
"Galax City(6,10)",51640,***,79.9,56.4,110.9,8,stable,8.6,-23.3,54
"Giles County(6,10)",51071,***,79.3,64.2,97.5,20,stable,4.5,-12.6,24.8
"Caroline County(6,10)",51033,***,79.3,66.5,94.1,28,falling,-18.2,-25.3,-10.4
"Madison County(6,10)",51113,***,77.7,61.3,97.9,16,stable,4.5,-23.2,42.2
"Richmond County(6,10)",51159,***,77.2,57.5,102.7,10,stable,4.3,-25.8,46.6
"Lunenburg County(6,10)",51111,***,76.6,60,97.2,15,stable,1.2,-23.6,33.9
