Incidence Rate Report for Washington by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Washington(5,10)",53000,***,106.8,105.3,108.4,4148,falling,-9.2,-14,-4.1
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Douglas County(6,10)",53017,***,159.7,137.6,184.4,39,stable,-5.7,-21.7,13.7
"Columbia County(6,10)",53013,***,156,103.3,235.3,6,stable,-15.3,-33.1,7.1
"Kitsap County(7,8)",53035,***,142,133.6,150.8,231,falling,-1.5,-2.2,-0.8
"Jefferson County(7,8)",53031,***,135.8,117.4,157.7,45,stable,-15.2,-31.1,4.4
"Grays Harbor County(7,8)",53027,***,135,121,150.4,71,stable,-9.9,-22,4
"Chelan County(6,10)",53007,***,130.4,116.2,145.9,64,stable,-6,-13.9,2.7
"Walla Walla County(6,10)",53071,***,123.9,107.8,141.9,44,stable,-5,-20.2,13.2
"Island County(7,8)",53029,***,117.5,105.5,130.7,74,falling,-8.5,-13.9,-2.8
"Pierce County(7,8)",53053,***,115.4,110.6,120.2,482,falling,-9.5,-13.7,-5.2
"San Juan County(7,8)",53055,***,114.6,91.1,145,19,falling,-10.3,-15.3,-5.1
"King County(7,8)",53033,***,113.9,110.8,117,1155,falling,-6,-7.4,-4.6
"Thurston County(7,8)",53067,***,112.7,105,120.8,171,falling,-1.8,-2.8,-0.8
"Okanogan County(6,10)",53047,***,112.3,95.8,131.1,35,stable,-6.7,-21.8,11.4
"Whatcom County(7,8)",53073,***,111.3,103,120.1,141,falling,-7.1,-8.4,-5.7
"Lincoln County(6,10)",53043,***,108,79.2,146.7,10,stable,-22.6,-59.8,49
"Skagit County(7,8)",53057,***,107,96.9,117.9,85,falling,-21.9,-32.8,-9.2
"Snohomish County(7,8)",53061,***,106.8,101.9,111.8,404,falling,-10,-15.1,-4.7
"Klickitat County(6,10)",53039,***,106.4,85.1,132.4,19,stable,-10.9,-21.1,0.7
"Adams County(6,10)",53001,***,105.9,75.8,143.6,8,stable,-27.2,-49.2,4.2
"Kittitas County(6,10)",53037,***,104.1,86.2,125,25,stable,-12.8,-26.3,3.3
"Franklin County(6,10)",53021,***,101.1,84.6,119.5,30,stable,-12.5,-36.5,20.7
"Wahkiakum County(6,10)",53069,***,97.6,58.7,165.7,4,falling,-41,-59.9,-13
"Grant County(6,10)",53025,***,95.3,83,108.9,46,stable,0.7,-13.1,16.8
"Benton County(6,10)",53005,***,94.8,86.2,104,97,stable,-9.9,-20.1,1.6
"Clallam County(7,8)",53009,***,94.7,84.5,106.2,64,falling,-7.5,-10.2,-4.9
"Mason County(7,8)",53045,***,94.1,82.1,107.7,46,falling,-2.8,-3.8,-1.9
"Lewis County(6,10)",53041,***,94,82.8,106.5,53,stable,-2.7,-13.6,9.6
"Spokane County(6,10)",53063,***,93.6,88.5,99.1,259,stable,-16.4,-35.8,8.7
"Cowlitz County(6,10)",53015,***,87.9,78.2,98.6,62,stable,-6.5,-26.3,18.7
"Pacific County(6,10)",53049,***,87.3,70,109.3,18,stable,-16,-37.9,13.6
"Yakima County(6,10)",53077,***,87.2,79.6,95.3,102,falling,-14,-21.1,-6.3
"Stevens County(6,10)",53065,***,81,67.6,96.7,29,stable,-0.9,-26.4,33.4
"Clark County(6,10)",53011,***,77.4,72.4,82.8,190,stable,-9,-18.6,1.9
"Whitman County(6,10)",53075,***,76.5,59.3,97.3,14,stable,-23.8,-49.9,15.8
"Pend Oreille County(6,10)",53051,***,71.4,51.7,99,9,stable,-9.1,-23.1,7.6
"Asotin County(6,10)",53003,***,70.8,53.6,92.6,12,stable,12.5,-13.2,45.8
"Skamania County(6,10)",53059,***,61.4,39.5,93.2,5,stable,-5.9,-35.9,38.2
"Ferry County(6,10)",53019,***,46,26,80.6,4,stable,-17.8,-41.1,14.8
"Garfield County(6,10)",53023,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:29 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
5 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission. State rates include rates from metropolitan areas funded by SEER [http://seer.cancer.gov/registries/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
7 Source: SEER November 2017 submission.,,,,,,,,,,
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2016 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2017 data. ",,,,,,,,,,
