Incidence Rate Report for West Virginia by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"West Virginia(6,10)",54000,***,80.3,78.7,81.9,2039,stable,-1.5,-3.1,0.2
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Mingo County(6,10)",54059,***,114.7,98.3,133.2,37,stable,5.3,-16.5,32.8
"Logan County(6,10)",54045,***,114.6,101.3,129.4,57,stable,-1.8,-17.1,16.4
"Boone County(6,10)",54005,***,110.2,94,128.6,35,stable,5.3,-5.6,17.6
"McDowell County(6,10)",54047,***,107.8,91.5,126.6,33,stable,-6.4,-25.7,17.9
"Pleasants County(6,10)",54073,***,107.7,80.4,142.1,11,stable,-2.6,-32.3,40.2
"Lincoln County(6,10)",54043,***,105.9,89.6,124.5,32,stable,0.3,-7.1,8.4
"Clay County(6,10)",54015,***,105.9,81.5,135.9,14,stable,4,-7.5,16.9
"Fayette County(6,10)",54019,***,94.1,83.7,105.7,61,stable,0,-10.8,12
"Lewis County(6,10)",54041,***,90.3,74.2,109.3,23,stable,6.2,-13,29.5
"Wirt County(6,10)",54105,***,89.5,63.4,124.6,8,stable,-1.7,-49.4,91.1
"Ritchie County(6,10)",54085,***,89.2,69.1,114.4,14,stable,-13.5,-42.2,29.5
"Wayne County(6,10)",54099,***,88,77.4,99.7,52,stable,0.7,-9.1,11.6
"Wyoming County(6,10)",54109,***,87.7,73.1,104.7,27,stable,2.6,-23,36.7
"Webster County(6,10)",54101,***,85.5,64.5,112.2,12,stable,-10.2,-38.7,31.5
"Harrison County(6,10)",54033,***,85.4,77.2,94.3,82,stable,2.6,-4.6,10.4
"Berkeley County(6,10)",54003,***,85.4,77.8,93.5,100,stable,-2.2,-8.4,4.5
"Mercer County(6,10)",54055,***,84.8,76.3,94.1,76,stable,-6.9,-19.7,7.9
"Cabell County(6,10)",54011,***,84.8,77.6,92.6,105,stable,-2.2,-8.8,5
"Hampshire County(6,10)",54027,***,83.7,70.1,99.4,29,stable,1,-13.9,18.4
"Marion County(6,10)",54049,***,83.5,74.6,93.3,66,stable,2,-17.9,26.7
"Mason County(6,10)",54053,***,82.6,70.2,96.8,32,stable,-2.8,-14.8,11
"Kanawha County(6,10)",54039,***,81.4,76.5,86.5,220,stable,-5,-12.1,2.8
"Wood County(6,10)",54107,***,79.8,72.8,87.4,97,stable,-3.5,-23.4,21.6
"Hancock County(6,10)",54029,***,79.2,67.9,92,37,stable,-5.2,-17.9,9.5
"Mineral County(6,10)",54057,***,78.9,66.9,92.7,32,stable,-5.8,-22.8,14.9
"Jackson County(6,10)",54035,***,77.7,66.3,90.9,33,stable,8.8,-6.6,26.9
"Marshall County(6,10)",54051,***,77.5,66.7,89.8,38,stable,-6.2,-21.7,12.3
"Upshur County(6,10)",54097,***,77.4,64.4,92.5,26,stable,-1.3,-13.5,12.7
"Roane County(6,10)",54087,***,76.9,61.2,96,17,stable,11.2,-16.4,47.9
"Monroe County(6,10)",54063,***,76.6,60.4,96.6,16,stable,-4,-20.7,16.2
"Putnam County(6,10)",54079,***,76.6,67.6,86.5,55,stable,-4.1,-15.9,9.3
"Gilmer County(6,10)",54021,***,76.4,54.2,105.5,8,stable,31.3,-3.7,78.9
"Brooke County(6,10)",54009,***,76.2,64,90.5,29,stable,4.1,-9.7,20
"Tucker County(6,10)",54093,***,76.2,54.2,105.9,8,stable,7.9,-25.4,56
"Nicholas County(6,10)",54067,***,75.5,63.4,89.6,29,stable,3.3,-14.3,24.4
"Pocahontas County(6,10)",54075,***,75.5,56.5,100.3,11,stable,-6.5,-27.4,20.5
"Greenbrier County(6,10)",54025,***,75.3,65.4,86.6,43,stable,12.6,-13.4,46.4
"Raleigh County(6,10)",54081,***,74.8,67.6,82.6,83,stable,-0.5,-5,4.2
"Wetzel County(6,10)",54103,***,74.6,60.2,91.9,19,stable,-4.4,-22.6,18.1
"Doddridge County(6,10)",54017,***,73.8,52.5,102,8,stable,4.4,-38.2,76.5
"Tyler County(6,10)",54095,***,73.7,54.9,98.2,11,stable,-11.8,-44.6,40.3
"Randolph County(6,10)",54083,***,70.4,59.3,83.1,30,stable,3.8,-18.6,32.3
"Taylor County(6,10)",54091,***,69.7,55.3,87.2,17,stable,-4.3,-15.1,7.7
"Morgan County(6,10)",54065,***,69.1,55.5,85.8,18,rising,17.4,3.9,32.6
"Jefferson County(6,10)",54037,***,67.7,58.6,77.9,42,stable,-5.4,-24.4,18.5
"Ohio County(6,10)",54069,***,66.6,57.8,76.6,44,stable,4.8,-14.9,29.1
