Incidence Rate Report for Wyoming by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Wyoming(6,10)",56000,Yes,33.3,31.3,35.4,212,falling,-5.3,-9.2,-1.1
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Fremont County(6,10)",56013,No,46.5,38.1,56.3,23,stable,1.8,-13,19.1
"Hot Springs County(6,10)",56017,No,41.4,23.2,71.3,3,*,*,*,*
"Washakie County(6,10)",56043,No,40.2,25.8,61,5,stable,6.2,-46.3,109.8
"Johnson County(6,10)",56019,No,39.9,24.5,62.2,5,stable,4.9,-25.9,48.4
"Big Horn County(6,10)",56003,Yes,38,26.1,54.4,7,stable,5.2,-8.9,21.6
"Sheridan County(6,10)",56033,Yes,35.8,27.6,45.7,14,stable,-12.5,-32.7,13.9
"Natrona County(6,10)",56025,Yes,35.1,29.5,41.3,30,stable,-11.8,-26.4,5.6
"Goshen County(6,10)",56015,Yes,33.9,22.7,49.1,7,stable,14.1,-17.3,57.4
"Laramie County(6,10)",56021,Yes,33.8,28.9,39.3,35,stable,-5.9,-12.2,0.7
"Albany County(6,10)",56001,Yes,33.8,24.7,45,10,stable,2.2,-10.9,17.2
"Converse County(6,10)",56009,Yes,33.3,21.6,49.4,5,stable,-21.1,-51,27
"Carbon County(6,10)",56007,Yes,32.6,21.5,47.4,6,stable,-34,-56.8,0.9
"Platte County(6,10)",56031,Yes,31.6,19,50.7,4,stable,-20.7,-39.2,3.4
"Lincoln County(6,10)",56023,Yes,30.5,20.7,43.7,7,stable,-1.2,-14.4,14.2
"Sweetwater County(6,10)",56037,Yes,29.5,22.1,38.5,12,stable,-8.8,-31.4,21.4
"Park County(6,10)",56029,Yes,29.4,22.1,38.7,12,stable,7.8,-8.7,27.3
"Campbell County(6,10)",56005,Yes,27.2,19.3,37,10,stable,-7.7,-39.8,41.6
"Uinta County(6,10)",56041,Yes,26.8,16.9,40.1,5,*,*,*,*
"Teton County(6,10)",56039,Yes,25.4,16.7,37,6,stable,-2.2,-46.4,78.7
"Crook County(6,10)",56011,***,* ,*, *,3 or fewer,*,*,*,*
"Niobrara County(6,10)",56027,***,* ,*, *,3 or fewer,*,*,*,*
"Sublette County(6,10)",56035,***,* ,*, *,3 or fewer,*,*,*,*
"Weston County(6,10)",56045,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:56 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
