Incidence Rate Report for Wyoming by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Wyoming(6,10)",56000,***,44.5,42.2,46.9,288,stable,-2.9,-10.5,5.3
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Campbell County(6,10)",56005,***,58.1,45.6,72.6,19,stable,6.4,-14.6,32.6
"Hot Springs County(6,10)",56017,***,57.4,37,88.7,5,stable,4.6,-30.6,57.6
"Converse County(6,10)",56009,***,56.3,41,75.7,9,stable,-16.5,-38.1,12.5
"Carbon County(6,10)",56007,***,55.1,40.4,73.6,10,stable,-5.1,-16.9,8.4
"Natrona County(6,10)",56025,***,54.1,47.2,61.8,46,stable,-3.5,-14.7,9.3
"Sweetwater County(6,10)",56037,***,50,39.7,62,18,stable,4.8,-13.6,27.2
"Crook County(6,10)",56011,***,47.4,30,72.4,5,stable,0.6,-34.6,54.8
"Laramie County(6,10)",56021,***,47.3,41.5,53.7,50,stable,-0.6,-16,17.6
"Goshen County(6,10)",56015,***,47,34.7,63.1,10,stable,-13.2,-38.3,22.2
"Sheridan County(6,10)",56033,***,45.1,36.2,55.8,19,falling,-13.5,-25.1,-0.1
"Washakie County(6,10)",56043,***,44.3,29.3,65.5,6,stable,-15.9,-44.3,26.9
"Johnson County(6,10)",56019,***,43.7,29.3,64.1,6,stable,16.8,-18.2,67
"Fremont County(6,10)",56013,***,42.7,34.9,51.9,22,stable,-4.2,-28.5,28.5
"Big Horn County(6,10)",56003,***,40,27.7,56.8,7,stable,27.3,-4.7,70.1
"Platte County(6,10)",56031,***,39.5,26.3,58.6,6,stable,-20,-45.3,17
"Albany County(6,10)",56001,***,37.2,27.7,49,11,stable,4.8,-30.9,58.8
"Park County(6,10)",56029,***,33.9,26.5,43.1,15,stable,-3.1,-14,9.1
"Uinta County(6,10)",56041,***,32.6,21.6,47,6,stable,0.7,-45.9,87.4
"Lincoln County(6,10)",56023,***,31.1,21.6,43.7,7,stable,-12.4,-44.8,39.1
