Region,City,County,State,Zip Code,Site Name
1,FAIRHAVEN,BRISTOL,Massachusetts,2719,ATLAS TACK CORP.
1,LONDONDERRY,ROCKINGHAM,New Hampshire,3053,AUBURN ROAD LANDFILL
1,HOLBROOK,NORFOLK,Massachusetts,2343,BAIRD & MCGUIRE
1,BARKHAMSTED,LITCHFIELD,Connecticut,6063,BARKHAMSTED-NEW HARTFORD LANDFILL
1,BEACON FALLS,NEW HAVEN,Connecticut,6403,BEACON HEIGHTS LANDFILL
1,PLAISTOW,ROCKINGHAM,New Hampshire,3865,BEEDE WASTE OIL
1,BENNINGTON,BENNINGTON,Vermont,5201,BENNINGTON MUNICIPAL SANITARY LANDFILL
1,ROCKINGHAM,WINDHAM,Vermont,5101,BFI SANITARY LANDFILL (ROCKINGHAM)
1,FRANKLIN,NORFOLK,Massachusetts,2038,BJAT LLC
1,WALPOLE,NORFOLK,Massachusetts,2081,BLACKBURN & UNION PRIVILEGES
1,EAST WINDSOR,HARTFORD,Connecticut,6016,BROAD BROOK MILL
1,BRUNSWICK,CUMBERLAND,Maine,4011,BRUNSWICK NAVAL AIR STATION
1,WOODFORD,BENNINGTON,Vermont,5201,BURGESS BROTHERS LANDFILL
1,BROOKSVILLE (CAPE ROSIER),HANCOCK,Maine,4617,CALLAHAN MINING CORP
1,BRIDGEWATER,PLYMOUTH,Massachusetts,2324,CANNON ENGINEERING CORP. (CEC)
1,JOHNSTON,PROVIDENCE,Rhode Island,02919-4512,CENTRAL LANDFILL
1,NORTH PROVIDENCE,PROVIDENCE,Rhode Island,2911,CENTREDALE MANOR RESTORATION PROJECT
1,TYNGSBOROUGH,MIDDLESEX,Massachusetts,1879,CHARLES GEORGE RECLAMATION TRUST LANDFILL
1,CHESHIRE,NEW HAVEN,Connecticut,6410,CHESHIRE GROUND WATER CONTAMINATION
1,BERLIN,COOS,New Hampshire,3570,CHLOR-ALKALI FACILITY (FORMER)
1,NORTH HAMPTON,ROCKINGHAM,New Hampshire,3840,COAKLEY LANDFILL
1,FARMINGTON,STRAFFORD,New Hampshire,3835,COLLINS & AIKMAN PLANT (FORMER)
1,WILLISTON,CHITTENDEN,Vermont,5495,COMMERCE STREET PLUME
1,DANVERS,ESSEX,Massachusetts,1923,CREESE & COOK TANNERY (FORMER)
1,LYNDON,CALEDONIA,Vermont,5851,DARLING HILL DUMP
1,GLOCESTER,PROVIDENCE,Rhode Island,2828,DAVIS (GSR) LANDFILL
1,SMITHFIELD,PROVIDENCE,Rhode Island,2828,DAVIS LIQUID WASTE
1,NORTH KINGSTOWN,WASHINGTON,Rhode Island,2818,DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER
1,DOVER,STRAFFORD,New Hampshire,3820,DOVER MUNICIPAL LANDFILL
1,DURHAM,MIDDLESEX,Connecticut,6422,DURHAM MEADOWS
1,MEDDYBEMPS,WASHINGTON,Maine,4657,EASTERN SURPLUS
1,CORINNA,PENOBSCOT,Maine,4928,EASTLAND WOOLEN MILL
1,STRAFFORD,ORANGE,Vermont,5070,ELIZABETH MINE
1,VERSHIRE,ORANGE,Vermont,5079,ELY COPPER MINE
1,MILFORD,HILLSBOROUGH,New Hampshire,3055,FLETCHER'S PAINT WORKS & STORAGE
1,FORT DEVENS,MIDDLESEX,Massachusetts,1433,FORT DEVENS
1,SUDBURY,MIDDLESEX,Massachusetts,1775,FORT DEVENS-SUDBURY TRAINING ANNEX
1,PLAINFIELD,WINDHAM,Connecticut,6374,GALLUP'S QUARRY
1,PITTSFIELD,BERKSHIRE,Massachusetts,1201,GE - HOUSATONIC RIVER
1,GROVELAND,ESSEX,Massachusetts,1834,GROVELAND WELLS
1,BEDFORD,MIDDLESEX,Massachusetts,1730,HANSCOM FIELD/HANSCOM AIR FORCE BASE
1,MANSFIELD,BRISTOL,Massachusetts,2048,HATHEWAY & PATTERSON
1,HAVERHILL,ESSEX,Massachusetts,1830,HAVERHILL MUNICIPAL LANDFILL
