Incidence Rate Report for Tennessee by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Tennessee(6,10)",47000,***,114.4,112.8,116,4259,stable,-6.5,-13,0.6
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Benton County(6,10)",47005,***,158.8,127.9,196.2,20,stable,-11.4,-30.6,13.1
"Henry County(6,10)",47079,***,153.2,131.7,177.9,38,stable,4.7,-14.4,28.2
"Carroll County(6,10)",47017,***,149.3,125.5,176.8,29,falling,-11.3,-20.2,-1.4
"Shelby County(6,10)",47157,***,148.6,143.2,154.1,642,stable,-7,-13.9,0.5
"Williamson County(6,10)",47187,***,140.7,129.9,152.1,143,stable,-1.8,-17.9,17.4
"Humphreys County(6,10)",47085,***,140.5,112.5,174.3,18,stable,-16.4,-39.6,15.6
"Hamilton County(6,10)",47065,***,132.8,125.6,140.3,271,stable,-2.5,-18.8,17
"Tipton County(6,10)",47167,***,131.4,113.2,151.6,41,stable,-6.7,-20.8,9.9
"Fayette County(6,10)",47047,***,129.1,110.4,150.4,37,stable,-8.4,-20.7,5.9
"Scott County(6,10)",47151,***,128.9,102.2,160.8,17,falling,-9.7,-12.1,-7.3
"Madison County(6,10)",47113,***,126.1,112.8,140.6,69,stable,-6.1,-20.1,10.4
"Hardeman County(6,10)",47069,***,125.4,101.5,153.5,21,stable,16.5,-12.1,54.4
"Lauderdale County(6,10)",47097,***,125,99.4,155.3,18,stable,-11.8,-41.9,33.9
"Knox County(6,10)",47093,***,123.8,117.5,130.4,301,falling,-10.4,-17.2,-3
"Dickson County(6,10)",47043,***,123.5,105.3,144,35,stable,-9.6,-22.6,5.5
"Marshall County(6,10)",47117,***,122.4,99.5,149.1,22,stable,-3.7,-16.6,11.1
"Cumberland County(6,10)",47035,***,121.9,108.7,136.6,67,falling,-12.2,-22.1,-1
"Smith County(6,10)",47159,***,120.5,92.9,154.2,14,stable,-9.8,-32.4,20.3
"Anderson County(6,10)",47001,***,118.1,105.1,132.5,62,stable,-13.2,-34.7,15.4
"Obion County(6,10)",47131,***,118.1,97.7,141.9,25,stable,10.5,-15.4,44.2
"Robertson County(6,10)",47147,***,118,102.2,135.7,43,stable,-9.1,-19.3,2.4
"Sumner County(6,10)",47165,***,117.7,107.9,128.2,114,stable,-6.7,-23.7,14
"Montgomery County(6,10)",47125,***,117.6,105.7,130.4,78,stable,-8.8,-17.9,1.2
"Weakley County(6,10)",47183,***,117.4,96.9,141.2,24,stable,-7.4,-19.7,6.7
"Haywood County(6,10)",47075,***,116.8,88.7,151.5,13,stable,8.6,-19.9,47.2
"Davidson County(6,10)",47037,***,115.7,110,121.6,337,stable,-6,-13.8,2.6
"Perry County(6,10)",47135,***,115.4,78.8,165.4,7,stable,-1.9,-29.6,36.7
"Sevier County(6,10)",47155,***,115,103.1,128.1,72,falling,-13.8,-23.4,-3
"Union County(6,10)",47173,***,114.8,88.8,146.8,15,stable,-10.1,-36.7,27.8
"Rutherford County(6,10)",47149,***,114.6,105.6,124.2,133,stable,-6.3,-15.1,3.6
"Loudon County(6,10)",47105,***,114.3,100.1,130.4,50,stable,-6.4,-24.1,15.4
"Gibson County(6,10)",47053,***,113.7,97.3,132.3,35,stable,-5.1,-16.8,8.2
"Cannon County(6,10)",47015,***,113.2,84.2,150,11,stable,-12.1,-25.8,4
"Crockett County(6,10)",47033,***,112,81.9,150.2,10,stable,3.1,-23,38
"Cheatham County(6,10)",47021,***,111.6,91.2,135.3,24,stable,-1.5,-13.2,11.9
"Maury County(6,10)",47119,***,110.9,97.8,125.4,55,stable,1.2,-9,12.5
"Warren County(6,10)",47177,***,110.5,91.9,131.8,26,stable,-5.3,-19.3,11.1
"Wilson County(6,10)",47189,***,109.2,98.4,121,81,stable,1.8,-6.4,10.8
"Grainger County(6,10)",47057,***,107.4,85.9,133.5,18,stable,-5.1,-26.9,23.3
"Blount County(6,10)",47009,***,106.8,97,117.4,91,falling,-10.8,-19.8,-0.8
"Marion County(6,10)",47115,***,106.5,86.7,130,22,stable,5.3,-13,27.3
"Trousdale County(6,10)",47169,***,105,68.6,155.9,6,rising,13.5,1.1,27.6
"Claiborne County(6,10)",47025,***,103.9,84.9,126.4,23,stable,-13.7,-30.3,6.7
"Macon County(6,10)",47111,***,103,78.7,132.6,13,stable,-0.1,-32,46.9
"Hancock County(6,10)",47067,***,102.6,66.8,154.4,5,stable,15.8,-34.1,103.8
"Bedford County(6,10)",47003,***,102.5,85.3,122.2,26,stable,-2.2,-19.8,19.4
"DeKalb County(6,10)",47041,***,101.9,77.3,132.4,13,stable,-10,-40.2,35.4
"Hamblen County(6,10)",47063,***,100.1,86.2,115.7,38,stable,-5.1,-19.3,11.5
"Morgan County(6,10)",47129,***,99.9,77.6,127.2,15,stable,1,-14.4,19.2
"White County(6,10)",47185,***,99.4,79.7,123,18,stable,-6.6,-37.2,38.8
"Chester County(6,10)",47023,***,98.5,72.2,131.8,10,stable,-4.7,-28.6,27.2
"Roane County(6,10)",47145,***,97.8,84.7,112.8,42,stable,-9.1,-32,21.6
"Unicoi County(6,10)",47171,***,97.7,75.1,126,13,stable,7.4,-36.7,82.3
"Campbell County(6,10)",47013,***,97.4,81.2,116.4,27,stable,-16.7,-35.8,8.1
"Stewart County(6,10)",47161,***,97.1,70.8,131.4,9,stable,-7.1,-39.3,42.4
"Sullivan County(6,10)",47163,***,96.7,88.6,105.4,109,stable,-8,-28.7,18.8
"Hardin County(6,10)",47071,***,95.7,76.6,118.9,18,stable,4,-20.9,36.6
"Washington County(6,10)",47179,***,95,85.5,105.3,76,falling,-16.3,-29.5,-0.7
"Bledsoe County(6,10)",47007,***,94.9,68.3,129.3,9,stable,-19.8,-47.7,23.2
"Jefferson County(6,10)",47089,***,94.8,81.1,110.6,35,stable,-2.8,-18.6,16
"Dyer County(6,10)",47045,***,94.8,77,115.6,21,stable,0.2,-5.1,5.8
"McNairy County(6,10)",47109,***,94.4,75,117.9,17,stable,-2.5,-21,20.4
"Hickman County(6,10)",47081,***,93.8,72.3,119.9,14,stable,-10.9,-41.5,35.8
"Wayne County(6,10)",47181,***,93.6,69.8,123.6,11,stable,-3.6,-40.4,56
"McMinn County(6,10)",47107,***,92.6,78.7,108.4,33,stable,-19,-37.3,4.5
"Bradley County(6,10)",47011,***,92.5,81.7,104.5,55,falling,-17.5,-19.4,-15.6
"Greene County(6,10)",47059,***,92.3,80,106.1,44,stable,-5,-16.8,8.4
"Meigs County(6,10)",47121,***,91.3,63.6,128.5,8,stable,-6.7,-31.3,26.8
"Monroe County(6,10)",47123,***,90.6,75.8,107.7,29,stable,-6.1,-15.5,4.4
"Houston County(6,10)",47083,***,89.8,58.6,134.3,5,stable,-29.6,-54.4,8.9
"Henderson County(6,10)",47077,***,89.8,70.6,113,16,stable,-7,-20.7,9
"Sequatchie County(6,10)",47153,***,89.1,64.5,121.3,9,stable,14.3,-3.6,35.4
"Lawrence County(6,10)",47099,***,88.9,73.2,107.2,23,stable,-10.6,-29,12.5
"Coffee County(6,10)",47031,***,88.2,74.4,104,30,stable,4.6,-4.6,14.6
"Fentress County(6,10)",47049,***,86.9,64.6,115.4,11,stable,6.2,-40.4,89.1
"Franklin County(6,10)",47051,***,86.8,71.9,104.3,25,stable,9.3,-3.8,24.2
"Hawkins County(6,10)",47073,***,86.7,73.9,101.3,35,falling,-14.4,-23.9,-3.8
"Overton County(6,10)",47133,***,85.2,66,109.1,14,stable,-5.2,-23.9,18
"Polk County(6,10)",47139,***,84.6,63,112.6,11,stable,-21.5,-56.6,41.8
"Giles County(6,10)",47055,***,83.2,66.1,104,17,stable,3.5,-20.7,35.2
"Putnam County(6,10)",47141,***,82.5,70.5,96,35,stable,-2,-14.7,12.5
"Clay County(6,10)",47027,***,81.7,52.8,124.3,5,stable,3.6,-32.2,58.5
"Rhea County(6,10)",47143,***,81.2,64.8,100.7,18,stable,-2.9,-27.1,29.3
"Moore County(6,10)",47127,***,80.6,49.6,128.5,4,stable,-1.9,-49.6,90.7
"Cocke County(6,10)",47029,***,79.5,64.3,97.7,20,stable,0.4,-22.5,30.1
"Van Buren County(6,10)",47175,***,78.2,45.6,130.5,4,stable,-3.4,-49.4,84.3
"Grundy County(6,10)",47061,***,75.9,53.6,106,8,stable,5,-18.1,34.6
"Jackson County(6,10)",47087,***,74.4,50.9,107.2,7,stable,-10.7,-33.4,19.8
"Lincoln County(6,10)",47103,***,73.7,58.2,92.3,16,stable,-5.4,-27,22.7
"Lewis County(6,10)",47101,***,71.3,47,105.1,6,stable,-17.4,-50.2,36.9
"Carter County(6,10)",47019,***,70.2,59,83.2,29,stable,-8.3,-24.6,11.5
"Lake County(6,10)",47095,***,67.1,37.6,112.2,3,*,*,*,*
"Johnson County(6,10)",47091,***,67.1,48.6,91.2,9,stable,6.2,-30.4,62.1
"Decatur County(6,10)",47039,***,65.3,44,95.4,6,stable,-7.9,-27,16.3
"Pickett County(6,10)",47137,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:23 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
