Incidence Rate Report for Tennessee by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Tennessee(6,10)",47000,***,75.7,74.9,76.6,5845,stable,-0.1,-1.4,1.2
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Claiborne County(6,10)",47025,***,113.7,99.9,129.2,51,stable,3.4,-13.9,24.2
"Campbell County(6,10)",47013,***,112.1,100,125.4,65,stable,3.6,-13.5,24.1
"Trousdale County(6,10)",47169,***,109.7,81.4,145.3,10,stable,4.9,-25.6,48.1
"Union County(6,10)",47173,***,108.3,90.2,129.4,27,stable,10.3,-6.5,30
"Scott County(6,10)",47151,***,106.1,89.3,125.5,29,stable,-6,-15.9,5.2
"Carroll County(6,10)",47017,***,106,92,121.7,43,stable,5.5,-11.8,26.1
"Overton County(6,10)",47133,***,105.8,90.4,123.4,35,stable,2.7,-14.1,22.8
"Lewis County(6,10)",47101,***,104.8,83.8,130.1,18,stable,5.3,-24.5,47.1
"Perry County(6,10)",47135,***,103.2,78.9,133.7,13,rising,14.9,2.1,29.2
"Hancock County(6,10)",47067,***,103,75.9,137.9,10,stable,-0.6,-30.8,42.8
"Hawkins County(6,10)",47073,***,102.9,93,113.7,82,stable,0.8,-7.6,9.9
"Benton County(6,10)",47005,***,102.8,85.7,122.9,27,stable,-4.2,-25.4,23.1
"Hardeman County(6,10)",47069,***,102.7,87.5,119.9,34,stable,10.9,-0.4,23.6
"Polk County(6,10)",47139,***,102.6,85.1,123,25,stable,2.2,-19.6,29.9
"Morgan County(6,10)",47129,***,99.8,83.8,118.2,29,stable,3.9,-7.6,16.9
"Cheatham County(6,10)",47021,***,98.2,85,113.1,43,stable,0.6,-8.7,11
"Sequatchie County(6,10)",47153,***,98.2,79.3,120.7,20,stable,-4.6,-18.2,11.3
"Cocke County(6,10)",47029,***,98.1,86.2,111.5,51,stable,-1.1,-10.5,9.3
"Rhea County(6,10)",47143,***,97.9,84.9,112.5,42,stable,-0.9,-13.2,13
"Marion County(6,10)",47115,***,97,83.6,112.1,40,stable,-1.9,-30.3,38.2
"McNairy County(6,10)",47109,***,96.9,83.3,112.4,37,stable,2.7,-9.8,17
"Pickett County(6,10)",47137,***,96.7,67.9,136,8,stable,-13,-42.2,31
"Hickman County(6,10)",47081,***,96.2,81.1,113.4,30,stable,11.8,-5.1,31.6
"Lake County(6,10)",47095,***,95.3,68.6,129.7,9,stable,-2.8,-53.4,102.8
"Fentress County(6,10)",47049,***,95.2,79,114.2,26,stable,10.3,-1.1,23.1
"Meigs County(6,10)",47121,***,94.4,74.3,118.9,17,stable,-0.7,-24.1,29.9
"Stewart County(6,10)",47161,***,93.7,75.2,116.1,18,stable,-9.2,-29,16.1
"Decatur County(6,10)",47039,***,93.7,74.2,117.5,17,stable,3.7,-22.6,39
"Houston County(6,10)",47083,***,93.2,69.9,122.8,11,stable,5.4,-23.1,44.6
"Monroe County(6,10)",47123,***,93,82.5,104.7,60,stable,5,-13,26.7
"Bledsoe County(6,10)",47007,***,92.8,73.8,115.7,17,stable,0.7,-10.1,12.7
"Marshall County(6,10)",47117,***,92.7,79.1,108,35,stable,3,-8.7,16.3
"Henderson County(6,10)",47077,***,92,78.4,107.6,33,stable,-9.9,-28.9,14.2
"Humphreys County(6,10)",47085,***,91.5,75.9,109.8,25,stable,-3.8,-32.6,37.2
"Macon County(6,10)",47111,***,91.2,75.8,109,26,stable,0.5,-10.5,12.9
"Jackson County(6,10)",47087,***,91.1,72.2,114.3,17,stable,-0.1,-14.8,17.2
"Hardin County(6,10)",47071,***,90.5,77.4,105.5,36,stable,-1.5,-13.1,11.5
"Dickson County(6,10)",47043,***,89.8,79.3,101.4,54,stable,3.3,-11.1,20.1
"White County(6,10)",47185,***,89.6,76.4,104.7,34,stable,-2.7,-18.2,15.7
"Greene County(6,10)",47059,***,88.2,80,97.1,89,stable,-4.6,-10.7,1.9
"Lauderdale County(6,10)",47097,***,88.2,73.9,104.5,28,stable,7.3,-13.4,33
"Johnson County(6,10)",47091,***,85.8,70.6,103.9,23,stable,2.2,-36.4,64.3
"Roane County(6,10)",47145,***,85.5,76.7,95.2,72,stable,-3.1,-18.5,15.3
"Robertson County(6,10)",47147,***,85.4,76.1,95.5,65,stable,-5,-20.9,14
"Tipton County(6,10)",47167,***,83.6,74,94.2,57,stable,-6.2,-18.1,7.4
"Grundy County(6,10)",47061,***,83.4,66.2,104.2,17,stable,-4.7,-17,9.5
"Grainger County(6,10)",47057,***,81.8,68.5,97.4,28,stable,7.7,-19.1,43.5
"DeKalb County(6,10)",47041,***,81.8,66.2,100.1,20,stable,4.9,-13.5,27.1
"Lawrence County(6,10)",47099,***,81.6,71.3,93,46,stable,-0.5,-5.5,4.7
"Wayne County(6,10)",47181,***,81.4,65.9,99.9,20,stable,16.3,-5,42.4
"Henry County(6,10)",47079,***,80.9,70.1,93.1,42,falling,-10.5,-16.5,-4
"Warren County(6,10)",47177,***,80.6,69.9,92.7,41,stable,-3.4,-14.2,8.8
"Sevier County(6,10)",47155,***,80.6,73.6,88.2,103,stable,-1,-9.3,8
"Montgomery County(6,10)",47125,***,80.6,73.8,87.8,111,stable,-1.8,-11,8.4
"Hamblen County(6,10)",47063,***,79.8,71.3,89.1,66,stable,2.1,-17.3,26
"Dyer County(6,10)",47045,***,79.4,68.4,91.8,38,stable,2.9,-9.3,16.6
"Giles County(6,10)",47055,***,79.3,67.5,92.9,33,stable,-2.5,-15.4,12.4
"Bradley County(6,10)",47011,***,79.2,72.3,86.7,99,stable,-0.7,-15.6,16.8
"Gibson County(6,10)",47053,***,79.2,69.8,89.6,52,stable,-0.4,-20.3,24.6
"Smith County(6,10)",47159,***,79.2,63.6,97.7,19,stable,-0.7,-27.7,36.5
"McMinn County(6,10)",47107,***,78.8,69.9,88.6,59,stable,-1.3,-6.7,4.4
"Blount County(6,10)",47009,***,78.4,72.6,84.7,137,stable,0.2,-9.8,11.4
"Coffee County(6,10)",47031,***,78.3,69.1,88.4,54,stable,-9,-20.5,4.2
"Weakley County(6,10)",47183,***,77.9,66.3,91.1,34,stable,-1.8,-18.7,18.6
"Maury County(6,10)",47119,***,77.5,69.8,85.8,77,stable,4.2,-11.7,22.8
"Unicoi County(6,10)",47171,***,77.3,63.5,93.9,23,stable,-9.9,-19,0.3
"Cumberland County(6,10)",47035,***,76.4,68.6,84.9,80,stable,2.2,-13.8,21.1
"Putnam County(6,10)",47141,***,76.3,68.3,85,68,stable,-0.5,-9.4,9.2
"Sullivan County(6,10)",47163,***,76,71,81.3,180,stable,5.6,-1.6,13.5
"Chester County(6,10)",47023,***,75.8,60,94.6,16,stable,-3.1,-17.4,13.7
"Crockett County(6,10)",47033,***,75.7,58.8,96.2,14,stable,13.9,-6.5,38.8
"Carter County(6,10)",47019,***,75.1,66.9,84.2,63,stable,-0.5,-15.4,17
"Loudon County(6,10)",47105,***,74.1,65.8,83.4,63,stable,-3.7,-18.5,13.9
"Bedford County(6,10)",47003,***,73.9,63.8,85.2,39,stable,-2.4,-20,19
"Madison County(6,10)",47113,***,73.8,66.8,81.3,85,stable,4.8,-5,15.5
"Obion County(6,10)",47131,***,73.1,61.9,86,32,stable,7.1,-20.4,44.1
"Davidson County(6,10)",47037,***,72.4,69.3,75.5,446,stable,-0.1,-2.2,2.1
"Franklin County(6,10)",47051,***,72.1,62.7,82.8,43,stable,2.7,-13.4,21.8
"Clay County(6,10)",47027,***,71.8,52,98.2,9,stable,-4.2,-29.5,30.1
"Washington County(6,10)",47179,***,71.6,65.8,77.9,115,stable,0.8,-6,8.1
