Incidence Rate Report for Texas by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Texas(6,10)",48000,Yes,38.1,37.8,38.4,9670,falling,-1.1,-1.7,-0.5
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Hall County(6,10)",48191,No,67.4,37.4,115.3,3,*,*,*,*
"Dallam County(6,10)",48111,No,65.3,37.2,105.2,3,*,*,*,*
"Brooks County(6,10)",48047,No,64.3,43.4,92.7,6,stable,21.1,-26.8,100.5
"Lavaca County(6,10)",48285,No,62.9,49.8,78.7,18,stable,4,-26.1,46.5
"Wilbarger County(6,10)",48487,No,62.6,45.7,83.8,10,stable,6.6,-35.2,75.3
"La Salle County(6,10)",48283,No,59.3,36.8,90.8,4,stable,9.2,-21.1,51.2
"Moore County(6,10)",48341,No,56.8,42.5,74.2,11,stable,6.1,-25.3,50.6
"Newton County(6,10)",48351,No,56.4,41.9,74.8,11,stable,0.5,-27.6,39.4
"DeWitt County(6,10)",48123,No,55.9,44,70.3,16,stable,2.3,-16.9,25.9
"Jasper County(6,10)",48241,No,54.6,45.2,65.5,25,stable,4.6,-3.3,13.3
"Comanche County(6,10)",48093,No,54.4,41.1,71.4,12,stable,4.5,-16.6,31.1
"Starr County(6,10)",48427,No,54.3,45.8,63.8,29,stable,18.3,-10.3,55.9
"Lamar County(6,10)",48277,No,53.2,45.4,62.1,35,rising,12,2.1,22.8
"Franklin County(6,10)",48159,No,52.7,37.2,73.2,8,stable,-20.3,-48.2,22.5
"Eastland County(6,10)",48133,No,52.7,40.6,67.6,14,stable,3.3,-20.7,34.5
"Dawson County(6,10)",48115,No,51.7,36.1,71.7,7,stable,-1.4,-35.1,49.7
"Wheeler County(6,10)",48483,No,51.2,30.4,81.9,4,stable,9.1,-52.5,150.7
"Henderson County(6,10)",48213,No,51.2,45.3,57.7,59,stable,2.7,-1.3,6.9
"Victoria County(6,10)",48469,No,50.7,44.5,57.5,50,rising,3.4,0.8,6
"Wharton County(6,10)",48481,No,50.5,41.9,60.4,25,stable,-4.1,-12.3,4.8
"Andrews County(6,10)",48003,No,50,35,69.1,7,stable,12,-21.7,60.3
"Young County(6,10)",48503,No,50,38.1,64.8,13,stable,6.5,-23.9,48.9
"Karnes County(6,10)",48255,No,50,35.9,67.9,8,stable,-3.7,-21.3,17.7
"Terry County(6,10)",48445,No,49.8,35,69,7,stable,-8.7,-28.6,16.9
"Polk County(6,10)",48373,No,49.6,41.9,58.3,32,stable,2.2,-13.4,20.7
"Chambers County(6,10)",48071,No,49.4,39.3,61.3,18,stable,7.1,-29.9,63.7
"Gregg County(6,10)",48183,No,49,43.7,54.8,65,stable,-2.4,-11.8,8
"Archer County(6,10)",48009,No,48.3,30.7,72.8,5,stable,-9.1,-44.3,48.3
"Reeves County(6,10)",48389,No,47.7,33,66.8,7,stable,-5.2,-30.1,28.5
"Zapata County(6,10)",48505,No,47.2,31.5,67.7,6,stable,-7.1,-28.7,20.9
"Hale County(6,10)",48189,No,47.2,37.5,58.6,17,stable,-2.7,-14,10
"Wise County(6,10)",48497,No,47.1,39.9,55.2,32,stable,0.7,-2.2,3.8
"Refugio County(6,10)",48391,No,47.1,29.8,71.9,5,stable,2.7,-29.7,50
"Fannin County(6,10)",48147,No,46.8,38,57.2,21,stable,-0.7,-19.8,23
"Shelby County(6,10)",48419,No,46.6,36.4,59,15,stable,-9.1,-24.4,9.4
"Grayson County(6,10)",48181,No,46.6,41.8,51.8,72,stable,4.9,-16.7,32.1
"Nacogdoches County(6,10)",48347,No,46.5,39.2,54.9,30,stable,5.1,-16.9,32.9
"Navarro County(6,10)",48349,No,46.1,38.7,54.7,28,stable,-12.5,-26.4,4.1
"Jack County(6,10)",48237,No,46,29.7,68.7,5,stable,-1.5,-31.9,42.4
"Orange County(6,10)",48361,No,46,40.1,52.5,45,stable,0.4,-14.8,18.2
"Madison County(6,10)",48313,No,46,31.8,64.4,7,stable,-7.1,-35.6,34.1
"Palo Pinto County(6,10)",48363,No,45.9,36.1,57.6,16,stable,-1.1,-8.2,6.6
"Hamilton County(6,10)",48193,No,45.8,29.2,69.3,6,stable,38.6,-15.3,126.6
"Hill County(6,10)",48217,No,45.7,37.2,55.8,21,stable,11.1,-5.9,31.2
"Brown County(6,10)",48049,No,45.7,37.5,55.3,23,stable,3.4,-7.9,16.1
"Trinity County(6,10)",48455,No,45.7,33.8,61.2,11,stable,-24.7,-48.2,9.5
"Callahan County(6,10)",48059,No,45.6,32.6,62.7,9,stable,-17.5,-49.2,33.8
