Incidence Rate Report for Utah by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Utah(3,8)",49000,***,27.6,26.6,28.6,647,falling,-0.9,-1.2,-0.6
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
Grand County(7),49019,***,50.8,33.6,74.1,6,*,*,*,*
"Carbon County(7,8)",49007,***,41.4,30.4,55.1,10,stable,0.3,-1.6,2.2
"Duchesne County(7,8)",49013,***,40.1,27.8,55.9,7,stable,-1.5,-3.8,1
"Tooele County(7,8)",49045,***,35.7,28,44.7,16,falling,-1.7,-3,-0.3
"Emery County(7,8)",49015,***,33.1,19.7,52.2,4,stable,0,-2.8,2.9
Millard County(7),49027,***,32.8,21.1,49.1,5,*,*,*,*
"Weber County(7,8)",49057,***,32,28.6,35.6,69,stable,-0.9,-1.8,0
"Salt Lake County(7,8)",49035,***,31.5,29.8,33.3,271,falling,-0.6,-1,-0.2
"Iron County(7,8)",49021,***,30.3,23.2,38.9,13,stable,-1.6,-3.6,0.5
"Washington County(7,8)",49053,***,28.1,24.9,31.6,58,falling,-3.7,-6.7,-0.7
"Sanpete County(7,8)",49039,***,28,19.9,38.3,8,stable,-0.9,-3.4,1.6
"Uintah County(7,8)",49047,***,27.8,19.4,38.3,7,falling,-10.7,-18.5,-2
Kane County(7),49025,***,26.7,14.9,46.2,3,*,*,*,*
"Sevier County(7,8)",49041,***,26,17.7,37.1,6,stable,-0.4,-2.2,1.5
"Davis County(7,8)",49011,***,24.1,21.4,27.1,58,stable,-0.8,-1.8,0.2
Wasatch County(7),49051,***,23.6,14.9,35.2,5,*,*,*,*
"Utah County(7,8)",49049,***,19,16.9,21.2,61,falling,-1.2,-1.9,-0.4
"Summit County(7,8)",49043,***,18.6,11.7,27.9,6,falling,-3.1,-5.9,-0.2
"Cache County(7,8)",49005,***,15.8,12.1,20.1,13,stable,0.3,-1.6,2.2
"Box Elder County(7,8)",49003,***,15,10.6,20.7,8,stable,-1.6,-3.4,0.2
Beaver County(7),49001,***,* ,*, *,3 or fewer,*,*,*,*
Daggett County(7),49009,***,* ,*, *,3 or fewer,*,*,*,*
Garfield County(7),49017,***,* ,*, *,3 or fewer,*,*,*,*
Juab County(7),49023,***,* ,*, *,3 or fewer,*,*,*,*
Morgan County(7),49029,***,* ,*, *,3 or fewer,*,*,*,*
Piute County(7),49031,***,* ,*, *,3 or fewer,*,*,*,*
Rich County(7),49033,***,* ,*, *,3 or fewer,*,*,*,*
San Juan County(7),49037,***,* ,*, *,3 or fewer,*,*,*,*
Wayne County(7),49055,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:09 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
3 Source: SEER November 2017 submission.  State Cancer Registry also receives funding from CDC's National Program of Cancer Registries.,,,,,,,,,,
7 Source: SEER November 2017 submission.,,,,,,,,,,
