Incidence Rate Report for Virginia by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Virginia(6,10)",51000,***,102.8,101.4,104.2,4616,stable,-6,-13.8,2.6
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Petersburg City(6,10)",51730,***,218.9,188,253.7,38,stable,-8.5,-21.9,7.1
"Nottoway County(6,10)",51135,***,169.4,136.2,209,18,falling,-19.3,-32.9,-3
"Greensville County(6,10)",51081,***,164.9,123.8,215.9,12,stable,-12.6,-40.8,29.1
"Emporia City(6,10)",51595,***,164.6,106.8,244.4,5,stable,-22.9,-43.8,5.8
"Prince George County(6,10)",51149,***,162.8,137.6,191.2,33,falling,-12.4,-19.5,-4.8
"Sussex County(6,10)",51183,***,160.6,122.5,207.9,13,stable,-6.8,-32.5,28.5
"Brunswick County(6,10)",51025,***,158.7,127.5,196,19,stable,-0.2,-13.6,15.1
"Charles City County(6,10)",51036,***,157.5,113.8,216.5,9,stable,4.6,-24.8,45.7
"Surry County(6,10)",51181,***,155.9,109.7,218.6,8,stable,-11,-51.7,63.8
"Mathews County(6,10)",51115,***,153,116.9,201.1,13,stable,-17.5,-36.9,8
"Portsmouth City(6,10)",51740,***,147.9,132.5,164.6,71,stable,4.4,-16.6,30.7
"Hopewell City(6,10)",51670,***,146.5,116.2,182.3,17,stable,-4.3,-26.9,25.3
"Franklin City(6,10)",51620,***,146.4,102.8,204.3,8,stable,12.3,-6,34.1
"Gloucester County(6,10)",51073,***,144.5,123.4,168.4,36,stable,-8.2,-28.2,17.5
"Lunenburg County(6,10)",51111,***,143.6,110.7,184.5,14,stable,-15.7,-45.9,31.6
"James City County(6,10)",51095,***,143.4,129.2,159,77,stable,-6.6,-14,1.5
"Richmond City(6,10)",51760,***,142.6,131.8,154.1,142,stable,-5.6,-12.6,2
"Hampton City(6,10)",51650,***,141.8,129.5,155,104,falling,-9.5,-16.7,-1.7
"Williamsburg City(6,10)",51830,***,141.5,103.6,190.2,10,stable,0,-21,26.7
"Goochland County(6,10)",51075,***,140.1,115.3,169.7,24,falling,-8.1,-12.1,-3.9
"Mecklenburg County(6,10)",51117,***,138.8,119.1,161.6,37,stable,-10.3,-24.7,6.8
"Staunton City(6,10)",51790,***,137,111.9,166.8,21,falling,-16,-27.1,-3.2
"Northumberland County(6,10)",51133,***,134.8,107.6,170.4,19,stable,-1.7,-29.1,36.3
"Dinwiddie County(6,10)",51053,***,133.3,109.7,160.8,24,stable,-7.6,-22.3,10
"Amelia County(6,10)",51007,***,132.2,100.1,172.9,12,falling,-28.5,-46,-5.3
"Chesterfield County(6,10)",51041,***,131.4,123.6,139.6,236,falling,-11,-15.6,-6.1
"Suffolk City(6,10)",51800,***,130.3,115.5,146.6,61,stable,-6,-19.2,9.4
"Colonial Heights City(6,10)",51570,***,129.6,100.6,165,14,stable,3.8,-25.4,44.3
"Henrico County(6,10)",51087,***,127.3,119.5,135.5,209,stable,-7.1,-22.5,11.4
"Caroline County(6,10)",51033,***,127.2,104.3,154,23,stable,-4.9,-20.7,14
"Waynesboro City(6,10)",51820,***,125,98.6,156.6,16,stable,-9.3,-20.7,3.6
"Newport News City(6,10)",51700,***,124.2,113.3,135.8,102,stable,-3.2,-9.3,3.4
"Fredericksburg City(6,10)",51630,***,124,94.8,159.1,13,stable,-3.3,-44.9,69.9
"New Kent County(6,10)",51127,***,123.7,97.4,155.7,17,falling,-14,-25.5,-0.7
"Halifax County with South Boston City(6,10)",51083,***,123.5,105,144.9,33,stable,15.6,-6.9,43.5
"Northampton County(6,10)",51131,***,122.2,93.8,158.8,13,stable,-3.4,-37.1,48.4
"Norfolk City(6,10)",51710,***,122,111.9,132.7,118,stable,-7.1,-18,5.1
"Westmoreland County(6,10)",51193,***,120.9,95.9,151.6,17,stable,-4.2,-27.1,26
