Incidence Rate Report for West Virginia by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"West Virginia(6,10)",54000,No,47,45.8,48.3,1141,stable,-0.2,-2.5,2.3
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Calhoun County(6,10)",54013,No,64.8,44.9,91.8,7,stable,-1.3,-20.9,23.1
"Ritchie County(6,10)",54085,No,64.1,47.2,86.1,10,stable,-13,-29.2,6.9
"Mingo County(6,10)",54059,No,62.8,50.6,77.1,20,rising,18.8,2.6,37.6
"Webster County(6,10)",54101,No,61,42.2,86,8,stable,1.6,-45.3,88.4
"Logan County(6,10)",54045,No,58.1,48.5,69.3,27,stable,2.9,-9.9,17.6
"Gilmer County(6,10)",54021,No,57.4,38.2,83.6,6,stable,-9.1,-36.8,30.7
"Clay County(6,10)",54015,No,55.8,38.3,79.2,7,stable,-6.1,-29.7,25.5
"Preston County(6,10)",54077,No,54.8,45.4,65.8,25,stable,-4.5,-15.3,7.7
"Hancock County(6,10)",54029,No,54,44.6,65.1,24,stable,3.7,-15.8,27.7
"Roane County(6,10)",54087,No,53.8,39.5,71.9,10,stable,-8.7,-30.4,19.8
"Wirt County(6,10)",54105,No,53.6,31.4,86.4,4,stable,42.6,-4.6,112.9
"Tucker County(6,10)",54093,No,53.1,34.9,79,6,stable,-3.8,-49.6,83.7
"Lewis County(6,10)",54041,No,53,40.3,68.8,12,stable,-11.7,-25.5,4.7
"Marion County(6,10)",54049,No,52.7,45.3,61,39,stable,-9,-25.9,11.7
"Fayette County(6,10)",54019,No,52.5,44.5,61.7,32,stable,-3.7,-28.2,29.1
"Hampshire County(6,10)",54027,No,52.5,41.5,65.7,17,stable,-4.5,-14.1,6.2
"Braxton County(6,10)",54007,No,52.2,38.9,69.3,11,stable,-13.3,-47.1,42.2
"McDowell County(6,10)",54047,No,52.2,40.7,66.2,15,stable,0.3,-10.1,11.9
"Boone County(6,10)",54005,No,51.2,40,64.8,15,stable,12.3,-13.8,46.2
"Marshall County(6,10)",54051,No,51.2,42.3,61.7,24,stable,-13.8,-30.7,7.1
"Greenbrier County(6,10)",54025,No,50.1,41.3,60.4,25,stable,7.5,-15,36.1
"Wetzel County(6,10)",54103,No,50,37.9,65.3,12,stable,-8.3,-20.6,5.9
"Pendleton County(6,10)",54071,No,50,31.8,76,6,stable,-3.9,-44.7,67.3
"Lincoln County(6,10)",54043,No,49.8,38.4,63.7,14,stable,-5,-28.4,26
"Nicholas County(6,10)",54067,No,49.6,39.6,61.5,18,stable,-1.6,-22.1,24.4
"Harrison County(6,10)",54033,No,49.3,43,56.4,46,stable,3,-12.4,21
"Randolph County(6,10)",54083,No,49.1,39.7,60.3,20,stable,-6.4,-26.3,18.9
"Mason County(6,10)",54053,No,48.8,39.1,60.4,18,stable,10.5,-17.1,47.2
"Grant County(6,10)",54023,No,48.3,34.6,66.5,9,stable,1.8,-22.1,33.1
"Berkeley County(6,10)",54003,No,48.2,42.4,54.5,55,stable,2.7,-7.5,13.9
"Tyler County(6,10)",54095,No,47.5,32.3,68.6,6,stable,15.9,-23.8,76.4
"Raleigh County(6,10)",54081,No,47.3,41.4,53.9,49,stable,6.6,-8.4,24
"Mercer County(6,10)",54055,No,46.8,40.4,54.1,41,stable,-3.7,-18.8,14.1
"Cabell County(6,10)",54011,No,46.5,41.1,52.5,56,stable,4.7,-13.3,26.5
"Monroe County(6,10)",54063,No,46.2,34.4,61.7,10,stable,-11.8,-46.7,45.9
"Wood County(6,10)",54107,No,45.8,40.3,52,52,stable,-3.4,-12.8,7.1
"Wayne County(6,10)",54099,No,45.5,37.7,54.5,25,stable,4.7,-5.4,15.8
"Taylor County(6,10)",54091,No,45.5,33.7,60.5,10,stable,11.2,-22.3,59.3
