Incidence Rate Report for Wisconsin by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Wisconsin(6,10)",55000,***,111.6,110,113.2,3815,stable,-5.3,-12.4,2.4
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Vilas County(6,10)",55125,***,168.2,143.1,197.8,36,stable,-14.9,-28.1,0.7
"Oneida County(6,10)",55085,***,141.7,123.5,162.5,45,falling,-15.8,-24.3,-6.3
"Washington County(6,10)",55131,***,135.1,123.9,147.2,112,stable,-0.8,-9.9,9.3
"Taylor County(6,10)",55119,***,134.4,108.7,165.1,19,stable,1,-25.8,37.6
"Milwaukee County(6,10)",55079,***,131.5,126.6,136.6,586,stable,-3.1,-12.3,7.1
"Racine County(6,10)",55101,***,128.6,119.2,138.6,146,stable,-4.6,-15.8,8.2
"Ashland County(6,10)",55003,***,126.8,98.2,162,14,stable,-13.3,-26.3,1.9
"Ozaukee County(6,10)",55089,***,125.1,112.4,139.1,74,stable,-6.1,-17.2,6.4
"Forest County(6,10)",55041,***,124.4,91.3,168.2,10,stable,-7.1,-37.1,37.1
"Waukesha County(6,10)",55133,***,120.9,114.8,127.3,309,stable,-3.9,-13.8,7.1
"Washburn County(6,10)",55129,***,120.6,95.1,152.4,16,stable,6.4,-24.7,50.5
"Wood County(6,10)",55141,***,120,106.7,134.7,60,stable,-7.8,-19.7,5.9
"Price County(6,10)",55099,***,119.8,93.9,152.8,15,stable,-3.8,-29,30.4
"Walworth County(6,10)",55127,***,119.6,107.4,132.9,74,stable,-7.2,-14.6,0.8
"Outagamie County(6,10)",55087,***,119,109,129.6,112,stable,-0.5,-10.2,10.2
"Iron County(6,10)",55051,***,118.3,82.4,172.7,7,stable,-19.4,-41.2,10.4
"Kenosha County(6,10)",55059,***,117,106.8,128,102,stable,-0.8,-5.9,4.7
"Clark County(6,10)",55019,***,117,97.1,140.1,25,stable,-3.6,-28.9,30.8
"Vernon County(6,10)",55123,***,116.7,96.8,139.9,25,stable,-7.1,-16.8,3.8
"Fond du Lac County(6,10)",55039,***,116.2,104.4,129,74,stable,3.7,-8.4,17.4
"Brown County(6,10)",55009,***,116.1,107.8,124.7,157,stable,-6.2,-21.9,12.6
"Buffalo County(6,10)",55011,***,114.2,87.3,148.4,13,stable,6.6,-19.5,41.3
"Sheboygan County(6,10)",55117,***,113.7,102.9,125.5,84,stable,-5,-17.4,9.2
"Crawford County(6,10)",55023,***,113.7,88.6,144.8,14,stable,-4.3,-19.3,13.5
