Breast,New Hampshire,New Hampshire,33000,***,143.9
Breast,District of Columbia,District of Columbia,11001,***,139.7
Breast,Massachusetts,Massachusetts,25000,***,137.6
Breast,Rhode Island,Rhode Island,44000,***,135.3
Breast,South Dakota,South Dakota,46000,***,134.3
,,,,,
Breast,Arkansas,Arkansas,5000,***,114.7
Breast,Arizona,Arizona,4000,***,112.9
Breast,Wyoming,Wyoming,56000,***,112.6
Breast,Texas,Texas,48000,***,111.7
Breast,Puerto Rico,Puerto Rico,72001,***,93.2
,,,,,
Colon & Rectum,Mississippi,Mississippi,28000,No,48.4
Colon & Rectum,West Virginia,West Virginia,54000,No,47
Colon & Rectum,North Dakota,North Dakota,38000,No,45.7
Colon & Rectum,Illinois,Illinois,17000,No,43.9
Colon & Rectum,Arkansas,Arkansas,5000,No,43.6
,,,,,
Colon & Rectum,Rhode Island,Rhode Island,44000,Yes,35.9
Colon & Rectum,Oregon,Oregon,41000,Yes,34.8
Colon & Rectum,Colorado,Colorado,8000,Yes,33.8
Colon & Rectum,Arizona,Arizona,4000,Yes,33.6
Colon & Rectum,Wyoming,Wyoming,56000,Yes,33.3
,,,,,
Lung & Bronchus,West Virginia,West Virginia,54000,***,80.3
Lung & Bronchus,Arkansas,Arkansas,5000,***,78
Lung & Bronchus,Tennessee,Tennessee,47000,***,75.7
Lung & Bronchus,Mississippi,Mississippi,28000,***,75
Lung & Bronchus,Missouri,Missouri,29000,***,74.2
,,,,,
Lung & Bronchus,Idaho,Idaho,16000,***,50.7
Lung & Bronchus,Arizona,Arizona,4000,***,49.3
Lung & Bronchus,Wyoming,Wyoming,56000,***,44.5
Lung & Bronchus,Colorado,Colorado,8000,***,43.3
Lung & Bronchus,Puerto Rico,Puerto Rico,72001,***,17.7
,,,,,
Prostate,Puerto Rico,Puerto Rico,72001,***,146.6
Prostate,District of Columbia,District of Columbia,11001,***,143.5
Prostate,Delaware,Delaware,10000,***,136.1
Prostate,New York,New York,36000,***,131.7
Prostate,Mississippi,Mississippi,28000,***,130.6
,,,,,
Prostate,Maine,Maine,23000,***,93.6
Prostate,Indiana,Indiana,18000,***,92.7
Prostate,Vermont,Vermont,50000,***,92
Prostate,Alaska,Alaska,2900,***,79.6
Prostate,Arizona,Arizona,4000,***,78.6
