Incidence Rate Report for California by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"California(3,8)",6000,***,43.3,43.1,43.6,16864,falling,-3.9,-4.4,-3.3
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Lake County(7,8)",6033,***,73.9,66.3,82.3,73,falling,-2.7,-4,-1.4
"Del Norte County(7,8)",6015,***,67,55,81,23,stable,-1.4,-4.3,1.5
"Yuba County(7,8)",6115,***,62.6,54.3,71.7,43,falling,-3.9,-6.2,-1.5
"Tehama County(7,8)",6103,***,62.3,55,70.4,54,falling,-3.8,-5.3,-2.2
"Amador County(7,8)",6005,***,61.1,52.8,70.6,41,stable,-1.2,-2.6,0.2
"Shasta County(7,8)",6089,***,60.3,56.1,64.8,157,falling,-2.7,-3.7,-1.7
"Glenn County(7,8)",6021,***,60.1,48.8,73.4,20,stable,-0.8,-3.9,2.5
"Butte County(7,8)",6007,***,58.6,54.6,62.8,168,falling,-2.4,-3.2,-1.6
"Humboldt County(7,8)",6023,***,55.8,50.6,61.4,91,falling,-2.6,-3.8,-1.3
"Siskiyou County(7,8)",6093,***,55.2,47.7,63.9,40,falling,-2.4,-4.1,-0.6
"Sacramento County(7,8)",6067,***,55.2,53.5,56.9,818,falling,-1.9,-2.3,-1.6
"Solano County(7,8)",6095,***,54.2,51.1,57.4,247,falling,-2.2,-3,-1.4
"San Joaquin County(7,8)",6077,***,53,50.5,55.6,350,falling,-2.3,-3.1,-1.5
"Trinity County(7,8)",6105,***,52.6,38.9,70.4,12,falling,-4.9,-8.3,-1.3
"Sutter County(7,8)",6101,***,51.5,45.5,58,54,falling,-2.6,-3.7,-1.5
