Incidence Rate Report for Colorado by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Colorado(6,10)",8000,***,43.3,42.5,44.1,2295,falling,-3,-4.4,-1.5
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Baca County(6,10)",8009,***,69,40.7,112.6,4,*,*,*,*
"Prowers County(6,10)",8099,***,61.7,44.5,83.7,9,stable,-8.7,-27.3,14.6
"Lincoln County(6,10)",8073,***,59.2,35.8,93,4,stable,26.5,-18,95.1
"Gilpin County(6,10)",8047,***,58.3,31.1,100,4,stable,-6.3,-41.2,49.3
"Phillips County(6,10)",8095,***,57.6,34.8,92.4,4,stable,6.9,-18.6,40.4
"Morgan County(6,10)",8087,***,55.8,44.9,68.5,19,stable,-9.5,-33,22.2
"Mesa County(6,10)",8077,***,54.1,49.5,59,104,stable,1,-12.5,16.4
"Adams County(6,10)",8001,***,52.9,49.5,56.4,197,stable,-2.8,-8.4,3.1
"Kit Carson County(6,10)",8063,***,52.3,34.8,76.3,6,stable,-8.7,-47.6,59
"Garfield County(6,10)",8045,***,50.5,41.6,60.6,25,stable,12.4,-9.2,39.3
"Huerfano County(6,10)",8055,***,49.5,34.2,73.3,7,stable,-9.2,-38.6,34.2
"Fremont County(6,10)",8043,***,49.3,42.2,57.5,35,stable,-0.1,-25.5,33.8
"Pueblo County(6,10)",8101,***,49,44.7,53.5,101,stable,0.6,-4.8,6.3
