County,Latitude,Longitude
Alabama,30.6389408,-87.3413599
US ,32.3182314,-86.902298
Pickens County,37.09024,-95.712891
Conecuh County,34.9046217,-82.6483442
Bibb County,31.501571,-86.9824288
Autauga County,32.7865735,-83.7199136
Butler County,32.5791817,-86.4996546
Bullock County,39.440463,-84.5222189
Greene County,32.0573536,-85.7256372
Dallas County,39.697399,-83.8897057
Marion County,32.8024682,-96.8350999
Monroe County,29.2787765,-82.12784
Lamar County,43.2841246,-77.7452081
Dale County,33.75694,-95.6457951
Russell County,31.4645298,-85.684578
Clarke County,36.9904385,-82.0842901
Tuscaloosa County,33.9519347,-83.357567
Choctaw County,33.3227653,-87.460397
Jefferson County,33.9851472,-95.5197394
Marengo County,39.5800298,-105.2662931
St. Clair County,32.2459085,-87.7763333
Lowndes County,43.016179,-82.6483442
Blount County,30.8600022,-83.2934086
Covington County,35.6710541,-83.8473015
Sumter County,31.3066438,-86.4996546
Chilton County,28.6747526,-82.0842901
Pike County,32.944392,-86.6611083
Madison County,41.3361875,-75.0611147
Baldwin County,38.9041402,-89.9253233
Crenshaw County,30.6010744,-87.7763333
Shelby County,31.6671872,-86.3376761
Colbert County,35.1268552,-89.9253233
Montgomery County,34.7117567,-87.8942451
Coffee County,39.1547426,-77.2405153
Limestone County,35.4576849,-86.0529604
Mobile County,31.5461078,-96.663812
Chambers County,30.6082227,-88.2461183
Geneva County,29.7524956,-94.6863782
Cullman County,31.0990456,-85.684578
Escambia County,34.2011537,-86.8220341
Lee County,30.6389408,-87.3413599
Elmore County,26.6630286,-81.9534815
Clay County,32.5647083,-86.0121573
Franklin County,29.9943564,-81.7787021
Morgan County,40.0154745,-82.9931607
Etowah County,41.0576176,-111.6183755
Perry County,34.0455341,-86.0529604
Houston County,40.371376,-77.2405153
Calhoun County,32.4219655,-83.634843
Talladega County,33.7701576,-85.80766
Jackson County,33.4231716,-86.1344697
Tallapoosa County,38.9914998,-94.315422
Barbour County,32.9201244,-85.8486236
Cleburne County,31.8172896,-85.354965
Walker County,35.4605769,-92.0665197
Fayette County,30.6815394,-95.6457951
Winston County,33.4502206,-84.4802606
Cherokee County,34.1690087,-87.3413599
Randolph County,34.2514526,-84.4802606
Lauderdale County,35.7449531,-79.8296743
Hale County,34.8840876,-87.658113
Henry County,34.1064941,-101.8891721
Wilcox County,33.4347963,-84.1435136
Macon County,31.9611759,-83.4643551
Marshall County,35.1197519,-83.336188
Lawrence County,34.3652297,-86.3376761
Washington County,40.957855,-80.365865
DeKalb County,45.5469616,-123.1386021
Coosa County,33.7956441,-84.2278796
Alaska,40.0154745,-82.9931607
US ,64.2008413,-149.4936733
North Slope Borough,37.09024,-95.712891
Yukon-Koyukuk Census Area,69.0578758,-152.8628274
Dillingham Census Area,65.8443666,-153.4302993
Northwest Arctic Borough,59.8067792,-157.7242585
Bethel Census Area,67.2872981,-160.0342624
Wade Hampton Census Area,61.093446,-160.8640773
Nome Census Area,62.1458336,-162.891919
Wrangell-Petersburg Census Area,64.8329974,-164.256602
Prince of Wales-Outer Ketchikan Census Area,56.4708333,-132.3766666
Ketchikan Gateway Borough,55.3242244,-132.6044581
Kenai Peninsula Borough,55.5103345,-131.389286
Matanuska-Susitna Borough,60.0858486,-151.382264
Anchorage Municipality,62.2599347,-150.1729153
Southeast Fairbanks Census Area,61.2180556,-149.9002778
Valdez-Cordova Census Area,63.9603869,-143.6296999
Fairbanks North Borough,61.4787707,-144.1147195
Kodiak Island Borough,64.9526102,-146.4744154
Juneau City and Borough,57.5369343,-153.2659352
Aleutians East Borough,58.3019444,-134.4197221
Aleutians West Census Area,55.5388006,-161.8988535
Bristol Bay Borough,52.3232697,-174.1596072
Denali Borough,58.7578504,-156.7792687
Haines Borough,63.8257173,-149.7317835
Lake and Peninsula Borough,59.1392237,-135
Sitka City and Borough,58.0458356,-156.5982286
Skagway-Hoonah-Angoon Census Area,57.0530556,-135.33
Yakutat City and Borough,58.3176505,-136.0390896
Arizona,65.8443666,-153.4302993
US ,34.0489281,-111.0937311
Graham County,37.09024,-95.712891
Maricopa County,33.076805,-109.7591675
Yavapai County,33.2917968,-112.4291464
Mohave County,34.6463981,-112.4291464
Coconino County,35.2143346,-113.7632828
Pima County,35.6647545,-111.4752851
Pinal County,32.057499,-111.6660725
Yuma County,32.8162061,-111.2845025
Cochise County,32.6527533,-113.9536466
Navajo County,31.828458,-109.949686
Gila County,35.4019765,-110.1402594
Santa Cruz County,33.6370567,-110.5215459
Greenlee County,37.0453988,-121.9579578
La Paz County,33.2405598,-109.2831531
Apache County,34.0061091,-113.9536466
Arkansas,33.6370567,-110.5215459
US ,35.20105,-91.8318334
Perry County,37.09024,-95.712891
Lee County,40.371376,-77.2405153
Dallas County,26.6630286,-81.9534815
Woodruff County,32.8024682,-96.8350999
Conway County,35.1215846,-91.135302
Washington County,35.2727492,-92.6983868
Marion County,45.5469616,-123.1386021
Phillips County,29.2787765,-82.12784
Pulaski County,34.4611206,-90.8675134
Ashley County,34.7538615,-92.2236667
Clark County,33.1565939,-91.7538817
Little River County,36.0795613,-115.094045
Clay County,60.907072,-135.681783
Lincoln County,29.9943564,-81.7787021
Baxter County,35.4637028,-81.2078164
Benton County,36.3261815,-92.3813621
Drew County,44.6281686,-123.3873877
Grant County,33.5156463,-91.7538817
Faulkner County,47.1981147,-119.3732456
Jackson County,35.1035858,-92.3813621
Crawford County,38.9914998,-94.315422
Cleburne County,41.6661391,-80.2767327
Prairie County,35.4605769,-92.0665197
Union County,34.7636336,-91.5983959
Craighead County,34.9338651,-80.543845
Carroll County,35.8260959,-90.6773046
Mississippi County,39.5423418,-77.0564464
Desha County,36.8661576,-89.3226954
Saline County,33.8773585,-91.443469
Garland County,34.5708215,-92.539603
Madison County,34.5559285,-93.1779659
White County,38.9041402,-89.9253233
Bradley County,34.6567728,-83.7199136
Lonoke County,35.1937778,-84.8567932
Izard County,34.7591647,-91.9099238
Ouachita County,36.1610924,-91.9099238
Randolph County,33.5828512,-92.9375739
Miller County,35.7449531,-79.8296743
Cleveland County,33.3335556,-93.8655303
Sebastian County,35.361354,-81.6035062
Sharp County,35.2260397,-94.315422
Jefferson County,36.1675974,-91.443469
Boone County,39.5800298,-105.2662931
Poinsett County,38.9940572,-84.7315563
Montgomery County,35.6078586,-90.6393702
Van Buren County,39.1547426,-77.2405153
Howard County,42.2459665,-86.0121573
Lawrence County,39.2873463,-76.964306
Franklin County,40.957855,-80.365865
Scott County,40.0154745,-82.9931607
Cross County,44.6834072,-93.5407909
Lafayette County,40.9276239,-73.8558481
Polk County,42.6293203,-90.0746767
Greene County,27.8617347,-81.6911559
Columbia County,39.697399,-83.8897057
Pike County,33.5098514,-82.2583297
Pope County,41.3361875,-75.0611147
Fulton County,45.5472257,-95.4363717
Stone County,33.8033965,-84.3962535
Yell County,36.7748882,-93.4599326
Crittenden County,35.0810824,-93.3388917
Johnson County,35.3021443,-90.3748354
Chicot County,38.845412,-94.8520636
Searcy County,33.3419551,-91.2891036
Hempstead County,35.9721,-92.6983868
Arkansas County,33.6530112,-93.6623239
Independence County,34.2354138,-91.2891036
Monroe County,35.8174139,-91.5983959
Hot Spring County,43.2841246,-77.7452081
St. Francis County,34.3393795,-92.9775558
Newton County,34.9926533,-90.7152749
Logan County,33.5544296,-83.8473015
Sevier County,40.3899679,-83.8473015
Nevada County,35.8271682,-83.5070203
Calhoun County,39.1346666,-121.1710389
California,38.845412,-94.8520636
US ,39.0182028,-121.8107079
Glenn County,37.09024,-95.712891
Contra Costa County,39.6437813,-122.4467238
Imperial County,37.8534093,-121.9017954
Del Norte County,33.0113694,-115.4733554
San Benito County,41.7076287,-123.9659708
Placer County,36.5760883,-120.9876321
Tehama County,39.0915751,-120.8039474
Monterey County,40.0982197,-122.174605
Solano County,36.3136201,-121.3541631
San Bernardino County,38.3104969,-121.9017954
Inyo County,34.9592083,-116.419389
Riverside County,36.3091865,-117.5495846
Shasta County,33.9532966,-117.3961192
Butte County,40.7908864,-121.8474493
Santa Cruz County,39.6253952,-121.5370003
San Luis Obispo County,37.0453988,-121.9579578
Mono County,35.3102296,-120.4357631
El Dorado County,37.9218608,-118.9528645
Nevada County,38.7426376,-120.4357631
San Mateo County,39.1346666,-121.1710389
Santa Clara County,37.4337342,-122.4014193
Alameda County,37.3336581,-121.8907041
San Diego County,37.6016892,-121.7195459
Napa County,32.7157305,-117.1610966
Marin County,38.5024689,-122.2653887
Kern County,38.083403,-122.7633036
Humboldt County,35.4937274,-118.8596804
Orange County,40.7450055,-123.8695086
Ventura County,33.7174708,-117.8311428
Amador County,34.3704884,-119.1390642
San Joaquin County,38.3488921,-120.7740931
Los Angeles County,37.9175935,-121.1710389
Santa Barbara County,34.0522265,-118.2436596
Sacramento County,34.4208321,-119.6982057
Tulare County,38.47467,-121.3541631
Trinity County,36.1341739,-118.8596804
Kings County,40.6329485,-123.0622553
Madera County,36.0988489,-119.8815203
Calaveras County,37.251926,-119.6962677
Sonoma County,38.1960477,-120.6805037
Siskiyou County,38.5779555,-122.9888319
Fresno County,41.7743261,-122.5770126
Plumas County,36.9858984,-119.2320784
Yolo County,39.9926832,-120.8039474
San Francisco County,38.7646021,-121.9017954
Stanislaus County,37.7749295,-122.4194155
Yuba County,37.5090711,-120.9876321
Tuolumne County,39.2547027,-121.3998995
