Incidence Rate Report for Maryland by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Maryland(6,10)",24000,***,125.7,123.9,127.5,4019,stable,-4,-8.9,1.2
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Wicomico County(6,10)",24045,***,149.6,135.1,165.3,82,stable,-7.3,-20.8,8.5
"Prince Georges County(6,10)",24033,***,147,141.5,152.7,607,stable,-2.3,-12.6,9.1
"Baltimore City(6,10)",24510,***,144.5,138.1,151,421,stable,-5.6,-10.9,0.1
"Charles County(6,10)",24017,***,141.7,128.8,155.4,102,stable,3.7,-12.5,23
"Dorchester County(6,10)",24019,***,141.5,120.5,165.7,33,stable,-13.3,-32.1,10.8
"Kent County(6,10)",24029,***,135.7,110.7,166,21,stable,-6.1,-29.2,24.6
"Harford County(6,10)",24025,***,131,122.6,139.9,192,stable,-3.9,-12.6,5.6
"Cecil County(6,10)",24015,***,127.4,114.2,141.8,75,stable,4.3,-6.2,15.9
"Baltimore County(6,10)",24005,***,127.4,122.7,132.1,597,stable,-1.5,-9.9,7.7
"Talbot County(6,10)",24041,***,122.3,105.3,141.9,40,stable,-10.2,-21.2,2.4
"Anne Arundel County(6,10)",24003,***,121.4,115.7,127.3,368,falling,-6.3,-10.5,-1.9
"Caroline County(6,10)",24011,***,120.2,98.9,145,24,stable,-11.9,-22.4,0
"Calvert County(6,10)",24009,***,118.6,104.9,133.8,60,stable,-5.2,-16.2,7.4
"Worcester County(6,10)",24047,***,116.2,102.5,131.8,53,stable,2.2,-16,24.5
"Carroll County(6,10)",24013,***,115.5,106,125.7,118,stable,-2.1,-21.7,22.3
"Montgomery County(6,10)",24031,***,111.4,107.4,115.6,602,falling,-5.9,-9.3,-2.2
"Somerset County(6,10)",24039,***,109.6,87.5,135.9,18,stable,-3.8,-8.9,1.6
"Howard County(6,10)",24027,***,109.3,101.9,117.2,177,stable,-10.1,-22.6,4.4
"Frederick County(6,10)",24021,***,105.2,96.9,113.9,132,stable,-6,-24.7,17.3
"Queen Annes County(6,10)",24035,***,104.3,88.9,121.8,35,falling,-9.1,-16.3,-1.3
"Allegany County(6,10)",24001,***,103.6,91.2,117.4,51,stable,4.9,-10.6,23.2
"Washington County(6,10)",24043,***,95.8,86.9,105.5,86,stable,-2.8,-17.7,14.8
"St. Marys County(6,10)",24037,***,89.2,78.4,101,52,stable,-3.4,-17.6,13.2
"Garrett County(6,10)",24023,***,80.3,63.9,100.1,17,rising,14.1,3.1,26.2
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:52 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
