Incidence Rate Report for South Dakota by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"South Dakota(6,10)",46000,***,58.1,56,60.3,584,stable,-0.6,-4.5,3.4
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Douglas County(6,10)",46043,***,97.4,63,149.4,5,stable,-18.6,-40.1,10.7
"Miner County(6,10)",46097,***,86.8,48.7,149.3,3,*,*,*,*
"McCook County(6,10)",46087,***,83.4,57.3,119,7,*,*,*,*
"Shannon County(6,10)",46113,***,76.8,51.1,109.8,6,stable,9.1,-10.4,32.9
"Dewey County(6,10)",46041,***,75.7,43.8,120.9,3,*,*,*,*
"Union County(6,10)",46127,***,73.3,56.5,93.9,13,stable,-11.9,-33.5,16.7
"Clay County(6,10)",46027,***,72.8,52.2,98.9,8,stable,1.6,-32.3,52.3
"Brule County(6,10)",46015,***,72.3,46.7,108,5,stable,-6.3,-23.2,14.3
"Kingsbury County(6,10)",46077,***,72,48.2,106,6,stable,19.3,-8.5,55.5
"Minnehaha County(6,10)",46099,***,70.2,64.7,76.1,124,stable,2,-9.9,15.5
"Grant County(6,10)",46051,***,64.8,45.2,91.7,7,stable,2.2,-39,71
"Butte County(6,10)",46019,***,62.8,45.6,85.1,9,stable,3.6,-32.5,59.1
"Davison County(6,10)",46035,***,62.6,49.5,78.2,17,stable,4.3,-26.8,48.6
"Gregory County(6,10)",46053,***,61.7,39.3,96.3,5,stable,-27.5,-48.1,1.3
"Fall River County(6,10)",46047,***,61.2,43.7,86.3,8,stable,3.8,-35.6,67.2
"Spink County(6,10)",46115,***,60.8,40.4,89.4,6,stable,17.9,-29.1,96.2
"Potter County(6,10)",46107,***,60.3,33.8,110.8,3,*,*,*,*
"Pennington County(6,10)",46103,***,59.9,54,66.4,77,stable,-7.4,-16.5,2.6
"Brown County(6,10)",46013,***,58.7,49.3,69.5,29,stable,-3.1,-26.5,27.7
"Clark County(6,10)",46025,***,58.4,33.8,97.7,3,*,*,*,*
"Turner County(6,10)",46125,***,57.7,39.5,82.5,7,stable,-4.9,-24.7,20
"Meade County(6,10)",46093,***,57.3,45.5,71.5,17,stable,1.7,-8.5,13
"Brookings County(6,10)",46011,***,56.6,44.4,70.9,15,stable,-4.4,-43,60.2
"Codington County(6,10)",46029,***,54.2,43.5,66.9,18,stable,6.9,-3.4,18.2
"Lincoln County(6,10)",46083,***,54,43.9,65.4,22,stable,-2.3,-25.3,27.9
"Yankton County(6,10)",46135,***,53.9,42.6,67.5,16,stable,-0.1,-20.7,25.8
"Hamlin County(6,10)",46057,***,53.9,31.9,85.9,4,stable,-0.3,-34.1,50.7
"Beadle County(6,10)",46005,***,52.6,40,68.1,12,stable,16,-31.4,96.1
"Charles Mix County(6,10)",46023,***,51.5,35.1,73.7,7,stable,-5.6,-10.9,0
"Lawrence County(6,10)",46081,***,50.6,40.3,63.1,17,stable,1.8,-16.6,24.1
"Moody County(6,10)",46101,***,50.3,31,78.3,4,stable,7.9,-48.8,127.3
"Day County(6,10)",46037,***,49.3,31.6,76.4,5,rising,42.8,9.7,86
"Lake County(6,10)",46079,***,46.9,33.1,65.2,8,stable,5.1,-46,104.6
"Deuel County(6,10)",46039,***,46.8,26.6,79.5,3,*,*,*,*
"Hughes County(6,10)",46065,***,46.6,34.1,62.3,10,stable,1.1,-18.8,25.8
"Tripp County(6,10)",46123,***,46.2,26.9,75.7,4,stable,20.4,-26.8,98.2
"Walworth County(6,10)",46129,***,43.5,27.1,69,4,stable,-20.3,-50.4,27.9
"Custer County(6,10)",46033,***,40.3,26.7,60.6,6,stable,-1.3,-28.6,36.3
"Bon Homme County(6,10)",46009,***,37.2,22.1,60,4,stable,-9.6,-34.6,25
"Hutchinson County(6,10)",46067,***,37.1,23,58.6,4,falling,-14.3,-26.3,-0.4
