Incidence Rate Report for Wisconsin by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Wisconsin(6,10)",55000,***,60,59.1,60.8,4132,falling,-2,-2.8,-1.3
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Forest County(6,10)",55041,***,90.3,70.1,115.8,14,stable,-13.5,-42,28.9
"Adams County(6,10)",55001,***,88.8,75.8,104.2,35,stable,7.4,-6.9,24
"Monroe County(6,10)",55081,***,80.6,70.2,92.1,45,stable,-0.1,-20.3,25.2
"Oneida County(6,10)",55085,***,80.5,70.7,91.6,51,stable,-5.1,-14.1,4.9
"Rusk County(6,10)",55107,***,79.9,64.4,98.8,19,stable,0.9,-5.3,7.6
"Douglas County(6,10)",55031,***,78.9,68.4,90.6,43,stable,1,-7,9.7
"Marquette County(6,10)",55077,***,76.5,61.6,94.6,20,stable,-0.1,-22.2,28.2
"Kenosha County(6,10)",55059,***,72,66.3,78,124,stable,-4,-10.9,3.4
"Washburn County(6,10)",55129,***,71.4,57.3,88.6,19,stable,1.4,-4.1,7.3
"Vilas County(6,10)",55125,***,71.3,60.6,84.3,32,stable,-2.5,-17.1,14.7
"Burnett County(6,10)",55013,***,70.8,57,88,20,stable,-5.4,-25,19.4
"Price County(6,10)",55099,***,70.7,56,89.1,17,stable,7.4,-24.4,52.7
"Milwaukee County(6,10)",55079,***,70.5,68.1,73,669,stable,-2,-6.5,2.6
"Florence County(6,10)",55037,***,70.4,47.2,106.3,6,stable,-4.5,-31.4,33
"Iron County(6,10)",55051,***,69.5,50.2,97.9,9,falling,-19,-33.1,-2
